fpid,doi,list_of_std,selection_criteria,ma_specified_objective,search_databases,search_string,nb_std_per_step,quantitative_results_described,statistical_methods_described,individual_effect_sizes,individual_std_weighted,dataset_available,confidence_intervals,method_of_data_extraction,heterogeneity_of_results_analyzed,funding_sources_mentioned,publication_bias_analyzed,quality_score_perc,impact_matrix
cover and catch crops,10.1080/03650340.2021.1937607,1,"(a) at least one of the targeted fruit tree variables (yield and quality indicators) was reported under both ground cover management and clean tillage (bare soil) management; (b) only field studies were chosen; (c) only the latest observations were taken to meet the standard of independence of samples, when variables were measured at multiple time points; (d) multiple ground cover management types, cover crop species, fruit tree species, cultivation durations, and tree ages in one study were considered as independent observations.",1,1,0,0,1,1,0,1,0,1,1,1,1,0,0.6875,carbon sequestration
cover and catch crops,10.1111/1365-2664.13124,1,"1) less than three spatially independent replicates per treatment level, (2) vineyards under plastic or in greenhouses, and (3) treatments not directly manipulating soil or vegetation management in the vineyards (e.g. application of synthetic or external mulches or the use of different fungicide or insecticide treatments) were excluded. in addition, only studies, which reported means and any dispersion measure of the dependent variable (e.g. sd or sem), were used. we contacted the authors of recently published papers with missing data of variance or additional information like irrigation regime of the treatments.",1,1,1,1,1,1,1,1,0,1,1,1,1,1,0.9375,carbon sequestration
cover and catch crops,10.1111/gcb.14658,1,"1) soc was measured in field experiments (to estimate the potential of biochar to increase soil carbon, we also included soil incubation and pot experiments with regard to biochar use); 2) observations were conducted on croplands excluding orchards and pastures; 3) ancillary information was provided, such as experiment duration, replication, and sampling depth; and 4) other agronomic management practices were included besides the three target management practices in this study.",1,1,0,0,1,1,0,1,0,1,1,1,1,1,0.75,carbon sequestration
cover and catch crops,10.1007/s10113-018-1447-y,1,"we selected empirical case studies which measured ecosystem services-related properties both for conservation (treatment) and conventional (control) management options. this step excluded pure simulation modeling studies and reviews. we focused on papers reporting results from the mediterranean basin but included six well-designed papers (see the caption of supplementary fig. sf1) reporting from mediterranean climate regions outside the basin (i.e., south and south west australia, the cape of south africa, central chile, and california.",1,1,1,1,0,0,1,0,1,0,1,0,1,0,0.625,crop yield
cover and catch crops,10.1007/s11104-018-3810-7,1,"the authors selected those studies that reported the effects on main crop yield and p uptake/p concentration, soil p and/or soil biological parameters related to p cycling (phosphatase activity, microbial biomass p, or abundance of amf) and included a control treatment without cover crops. phosphorus-mobilizing carboxylates are rarely measured in field studies and could not be included in the meta-analysis. we used only studies with cover crops and main crops grown in rotation, excluding intercropping or living mulch. greenhouse experiments were excluded, as were agroforestry and grassland studies. soil biological properties and available p were determined after termination of the cover crop or during growth of the main crop. experimental factors such as main crop species and/or other factors (e.g., soils, tillage) and data from different years were treated as separate experiments within a study.",1,1,1,0,1,1,0,1,1,1,1,1,1,0,0.8125,crop yield
cover and catch crops,10.1016/j.agee.2005.07.003,1,"studies compiled in our legume covercrop yield database had the following characteristics: (1) winter legume cover crop followed by an unfertilized cash crop compared to the control, (2) cash crop production every year, (3) no manure or other n additions applied during any phase of the diversified rotation, and (4) cover crop biomass incorporated into the soil or killed before crop planting, with no biomass removal. they excluded studies  if  legume  treatments  had  excessive applications of inorganic n fertilizer or if the green manures were being compared to a zero n control. 
only legume cover crops are considered for this analysis (cash crop after non-legume cover crops is fertilized, so non-legume cover crop were removed in our analysis).",1,1,0,0,1,1,0,0,0,0,1,0,1,0,0.5,crop yield
cover and catch crops,10.1016/j.agee.2013.04.018,1,"(i) study of nitrate leaching (nl) in an irrigated agricultural cropping system; (ii) study for at least one growing season; (iii) conducted under field conditions; (iv) nl was measured in terms of mass of n lost (i.e. no3-n concentration and the volume of water leached were both considered). studies that determined the risk of nl through soil or soil solution no3-n concentrations, were not considered as these might give a skewed view of nl. even if the study relied on computer modeling to simulate components of the water balance or solute transport, the studies were selected if data collected under field conditions were the major component of the results. a further selection was conducted by critical examination of these papers for inclusion and exclusion from the data-set, following quality criteria that ensure statistical power avoiding unconscious bias (hedges et al., 1999). these criteria were that: (i) the experimental design had to be sufficiently detailed to determine all critical aspects of the treatments, plot size and recent history, irrigation systems and fertilizer management; (ii) studies reflected typical regional practice; and (iii) in most cases included treatment replicates. in some cases exceptions were made to this final criterion.",1,1,0,1,1,1,0,1,0,1,1,0,1,0,0.6875,crop yield
cover and catch crops,10.1016/j.agee.2015.01.023,1,"1. the study was carried out in denmark, sweden, finland or norway. 2. the main crops were spring wheat, spring barley, and oats. 3. catch crops were undersown in spring. 4. the study had an appropriate control group (i.e., one with no catch crop). 5. the study assessed the effects of undersown catch crops on total n leaching, nitrate n leaching, soil nitrate n or inorganic n, grain yield, or grain n content. 6. responses to catch crops were recorded as either original data for each experimental year or as means of treatments (i.e., with undersown catch crops) and controls (i.e., with no catch crops) for the duration of the experiment with standard deviations and sample sizes (number of years).",1,1,1,0,1,1,1,1,0,1,1,1,1,0,0.8125,crop yield
cover and catch crops,10.1016/j.agsy.2019.102736,1,"1) laboratory or greenhouse studies were excluded, and only studies performed in field conditions and carried out in a mediterranean climate were chosen; 2) when several papers included data from the same experiment, the longest study with the most soil and crop variables was chosen.",1,1,1,0,1,1,1,1,1,1,1,0,1,0,0.8125,crop yield
cover and catch crops,10.1016/j.agwat.2021.107085,1,"i. field studies that reported soil water content, cover crops grown between the harvesting of a previous cash crop and planting of a succeeding cash crop, and cash crops with similar management practices, such as irrigation, fertilization, and tillage, were selected for the study. studies conducted on greenhouse and pot experiments were excluded. studies that included cover crop as an intercrop with other crops were also excluded.
ii. data included comparison of cover crops vs. no cover crop (fallow) in a region with similar soil and climatic conditions. studies with the no control treatment were discarded.
iii. treatments were replicated at least three times, and mean values were shown with standard deviation (sd) or standard error (se).
iv. in humid and subhumid regions, two to three crops could be grown in a year. in such cases, only data for those crops that were exclusively stated as cover crops were used for analysis. data for crops used as supplemental cash crops in a year were excluded.
subjected to these criteria, 117 studies from 99 publications from studies conducted across the world were selected for the meta-analysis",1,1,0,0,1,1,0,1,0,1,1,1,1,0,0.6875,crop yield
cover and catch crops,10.1016/j.landusepol.2019.104204,1,"1) it reported the results of an experiment in the mediterranean forests, woodlands, and scrub biome or the central valley of california
2) it compared a winter cover crop with a winter fallow, followed by a food crop in spring or summer (annual food crops in arable fields, including cereals, fruits, and vegetables, but not perennial food crops in orchards
or vineyards)
3) it reported the mean effect on an ecosystem service metric.",1,1,1,1,1,1,0,1,1,1,1,0,1,1,0.875,soil nutrients
cover and catch crops,10.1016/j.landusepol.2019.104204,1,"1) it reported the results of an experiment in the mediterranean forests, woodlands, and scrub biome or the central valley of california
2) it compared a winter cover crop with a winter fallow, followed by a food crop in spring or summer (annual food crops in arable fields, including cereals, fruits, and vegetables, but not perennial food crops in orchards
or vineyards)
3) it reported the mean effect on an ecosystem service metric.",1,1,1,1,1,1,0,1,1,1,1,0,1,1,0.875,crop yield
cover and catch crops,10.1016/j.still.2017.03.005,1,"an experiment had to meet the following criteria: 1) it had to be performed by an official institution under field conditions, 2) management practices had to be similar to those applied under production scenarios, 3) a control treatment under bare fallow had to be compared against at least one cover crop treatment, 4) the cover crop species had to be identified, 5) treatments could differ only in fallow-cover crop management and all other factors (grain crop, varieties, fertilization, etc.) had to be similar, 6) the experimental design had to be clearly described (in three cases we contacted the authors of the experiments for some additional missing information), 7) average and number of replications of the control and the cover crop treatments had to be reported for at least one of the following variables: soil bulk density, soil penetration resistance, structural stability, infiltration, organic carbon content, nitrate-n level, available water content, or yield of soybean or corn, 8) experiment duration and time of measurement had to be indicated, 9) sampling depth of soil properties had to be specified. report of treatment variances was not considered as a requisite in this selection because these were not included in many sources and this would have made the meta-analysis impossible. in around 12% of cases (across all variables and experiments) standard deviation or standard errors were available for the control and cover crop treatments, in which case they were extracted. usually, variability of the reported means was included in one or two studies for each addressed variable.",1,1,1,0,1,1,0,1,1,1,1,1,1,0,0.8125,crop yield
cover and catch crops,10.1016/j.still.2020.104575,1,not specified,1,1,0,0,1,1,0,0,1,1,1,1,1,0,0.625,crop yield
cover and catch crops,10.1080/03650340.2021.1937607,1,"(a) at least one of the targeted fruit tree variables (yield and quality indicators) was reported under both ground cover management and clean tillage (bare soil) management; (b) only field studies were chosen; (c) only the latest observations were taken to meet the standard of independence of samples, when variables were measured at multiple time points; (d) multiple ground cover management types, cover crop species, fruit tree species, cultivation durations, and tree ages in one study were considered as independent observations.",1,1,0,0,1,1,0,1,0,1,1,1,1,0,0.6875,crop yield
cover and catch crops,10.1111/1365-2664.13124,1,"1) less than three spatially independent replicates per treatment level, (2) vineyards under plastic or in greenhouses, and (3) treatments not directly manipulating soil or vegetation management in the vineyards (e.g. application of synthetic or external mulches or the use of different fungicide or insecticide treatments) were excluded. in addition, only studies, which reported means and any dispersion measure of the dependent variable (e.g. sd or sem), were used. we contacted the authors of recently published papers with missing data of variance or additional information like irrigation regime of the treatments.",1,1,1,1,1,1,1,1,0,1,1,1,1,1,0.9375,crop yield
cover and catch crops,10.2134/agronj2017.12.0752,1,"research results reported weed biomass, density, or percentage control following a cover crop (cc) and for another weed control option.
the other weed control option (no cover crop, ncc) was specified and could be use of herbicide or tillage for weed control. all physical weed control methods were grouped as tillage including weeding by hand or hoeing.
time periods of evaluating weed control were indicated; specifically weed data collected at time of cc termination through to 7 wap.
studies conducted in field settings and treatments were randomized with replications.  the experimental designs of these studies were either randomized complete blocks or split-plot designs with three to eight replications. 
yield data for main crop following the use of cover crop for weed control might be reported; study was not excluded if no yield was reported.
sufficient information was provided to estimate standard deviation (sd) of mean values for weed biomass, weed density, weed control (%), and/or main crop yield as treatment effects of cc and ncc.",1,1,1,1,1,1,1,0,0,1,1,1,0,0,0.75,crop yield
cover and catch crops,10.2134/jeq2018.03.0107,1,"238 observations from 28 studies.  (i) the study compared winter cover crop treatments with no cover crop (control); (ii) no3− leaching was measured during at least the cover crop growth period or for the entire year (during both cover crop and cash crop phases); (iii) cumulative no3− leaching was calculated using both no3− concentrations in the soil solution and the drainage volume; (iv) the study was conducted under natural field conditions (i.e., model-based simulation and indoor lysimeter studies were excluded); (v) all other factors (soil, management, and climate) for each pairwise comparison between no cover crop and cover crop treatments were the same; and (vi) the experimental design, approach, and sampling protocols were clearly described. we excluded studies in which the potential risk of no3− leaching was assessed by comparing profile soil n over the cover crop season. studies with a long history of pasture prior to the experimental year were also excluded because of the potential legacy effect of previous pasture or forage crops on no3− leaching that could mask the true cover crop effect. similarly, studies that were conducted on recently constructed drainage lysimeters or monoliths using disturbed soils were also discarded because the disturbed soil structure in these monoliths could influence drainage characteristics and, hence, no3− leaching. we also excluded studies in which the treatment combinations impeded sole comparison between no cover crop and cover crop treatments.",1,1,1,0,1,1,1,1,0,1,1,1,1,1,0.875,crop yield
cover and catch crops,10.2135/cropsci2018.10.0603,1,"exclusion criteria: means for cover crop or no-cover crop treatments were not included, cotton yield or weed growth were not reported, article was a duplicate, article did not contain primary data (review or book), or they were not obtainable using interlibrary loan services (five articles). we did not include intercropping (cover crops grown simultaneously with cotton) studies, nor did we include studies that used weed count as the response variable. for the weed biomass effect size (es), if an experiment included both weed and weed-free fallow no-cover-crop controls, we used the weed fallow no-cover-crop control in our analysis. if an experiment included herbicides applied over all treatments in season, we excluded the weed biomass es but included the cotton biomass es. we identified 104 articles that met our screening criteria (a full citation list and details of primary studies are provided in the supplemental material). papers spanned 48 yr and were in english and portuguese languages. treatment means and number of replications (sample sizes) were collected for each study. for publications reporting means for more than one no-cover-crop (control) treatment in a nonfactorial experiment, we used the no-cover-crop control that most closely approximated the cover crop treatment. if replications were given as a range, we used the smallest value. for studies that did not report number of replications, we used n = 1 unless lsd or ses were provided, in which case we used n = 2.",1,1,0,0,1,1,0,1,0,1,1,1,0,1,0.6875,crop yield
cover and catch crops,10.2489/jswc.72.3.226,0,"1. yield records came from corn following a cover crop treatment, and corn following no cover (nc). 2. yields were reported in more than one year or location. 3. enough information was provided to compute study variances. 4. the studies were conducted in the
united states or canada.",1,1,1,1,1,1,1,1,0,1,1,1,1,1,0.875,crop yield
cover and catch crops,10.1007/s10705-017-9836-z,1,"only studies conducted in field conditions that were at least one growing season in duration were included. the authors included cover crop studies that measured n2o emissions from cover crop growth periods, cash crop growth periods or both, and examined these sub-groups separately.",1,1,1,0,1,1,0,0,1,1,1,0,1,0,0.6875,ghg emissions
cover and catch crops,10.1016/j.atmosenv.2018.12.046,1,"the field measurements were usually conducted by using non steady-state chambers. a study that used an intact soil cores technique in an olive orchard (maris et al., 2015) was also included. the consecutive measurement periods ranged from one whole growing season to four years in respective studies. gas fluxes were measured in tree rows and the alleyways between tree rows to account for spatial variation; and area-weighted cumulative emissions and efs were calculated. in cases where cumulative emissions were not reported directly (ge et al., 2015; pang et al., 2019), mean fluxes on an hourly or daily basis were extrapolated to the whole year or growing season.",1,1,0,0,1,1,0,1,1,1,1,0,1,0,0.6875,ghg emissions
cover and catch crops,10.1016/j.still.2019.04.020,1,"only studies that reported both n2o and co2 emissions, cover crops grown between harvesting and planting of cash crops, and cash crops with similar management practices, such as irrigation, fertilization, and tillage practices were selected for the study. studies that lack mean values, replications, and standard error or standard deviation ofthe mean were discarded.",1,1,1,0,1,1,0,1,0,1,1,0,1,0,0.6875,ghg emissions
cover and catch crops,10.1016/j.still.2020.104575,1,not specified,1,1,0,0,1,1,0,0,1,1,1,1,1,0,0.625,ghg emissions
cover and catch crops,10.2489/jswc.69.6.471,1,"this combination of key terms resulted in approximately  five  thousand  papers. to reduce the number of papers included in the meta-analysis, the following criteria were applied: 
1) studies in which the cover crop is not harvested and is grown between the harvest and planting of cash crops. 
2) studies reporting n2o measurements. 
3) studies with a control treatment varying only in the inclusion of a cover crop and keeping all other management practices such as tillage and n additions equal. 
4) studies that provided enough information (standard errors, standard deviations, coefficients of variation, etc.) about experimental error either in the published paper or in information that was provided by the authors when contacted to allow for an estimate of within study variance.
5) studies published before december of 2012.",1,1,1,1,1,1,1,1,0,1,1,0,1,0,0.8125,ghg emissions
cover and catch crops,10.1007/s11356-020-08322-1,1,"(1) studied nitrate leaching in vegetable fields rather than in soil columns or pot experiments; (2) carried out study for at least one growing season; and (3) measured nitrate leaching in terms of mass of n lost by suction cup, lysimeter, or soil sample methods.",1,1,0,0,1,1,0,1,1,1,1,0,1,0,0.6875,nutrient leaching and run-off
cover and catch crops,10.1007/s13593-016-0397-3,0,"(1) a measure of potential nitrogen loss during (i.e., leachate nitrogen) or at the conclusion (i.e., inorganic soil nitrogen) of a fallow period in annual croplands (this included most grain and vegetable crops but excluded most forages, cellulosic bioenergy crops, and tree fruits) and (2) a comparison of at least one planted annual cover crop treatment and a weedy fallow treatment that did not receive any tillage or chemical application to suppress weed growth. studies were included regardless of tillage (conservation vs. conventional tillage) or management (organic vs. conventional) system, although conservation tillage and organic systems were under-represented in the final data set (two studies for each system). other studies were culled because the measure of inorganic soil nitrogen occurred after cover crops and weeds had been terminated and incorporated into the soil (the decomposition of residues confounded estimates of potential nitrogen losses). the species of cover crop and dominant weed species in the weedy fallow treatment were extracted from each study when available; cover crop species were later grouped by legumes and nonlegumes for analysis. in cases where mixtures of cover crops were planted, the treatment was grouped according to the dominant species in the mixture (e.g., a mixture of 70 % nonlegume cover crops and 30 % legume cover crops was grouped with nonlegumes for analysis).",1,1,1,0,1,1,0,1,0,1,1,1,1,0,0.6875,nutrient leaching and run-off
cover and catch crops,10.1016/j.agee.2005.07.003,1,"studies compiled in our legume covercrop yield database had the following characteristics: (1) winter legume cover crop followed by an unfertilized cash crop compared to the control, (2) cash crop production every year, (3) no manure or other n additions applied during any phase of the diversified rotation, and (4) cover crop biomass incorporated into the soil or killed before crop planting, with no biomass removal. they excluded studies  if  legume  treatments  had  excessive applications of inorganic n fertilizer or if the green manures were being compared to a zero n control. 
only legume cover crops are considered for this analysis (cash crop after non-legume cover crops is fertilized, so non-legume cover crop were removed in our analysis).",1,1,0,0,1,1,0,0,0,0,1,0,1,0,0.5,nutrient leaching and run-off
cover and catch crops,10.1016/j.agee.2013.04.018,1,"(i) study of nitrate leaching (nl) in an irrigated agricultural cropping system; (ii) study for at least one growing season; (iii) conducted under field conditions; (iv) nl was measured in terms of mass of n lost (i.e. no3-n concentration and the volume of water leached were both considered). studies that determined the risk of nl through soil or soil solution no3-n concentrations, were not considered as these might give a skewed view of nl. even if the study relied on computer modeling to simulate components of the water balance or solute transport, the studies were selected if data collected under field conditions were the major component of the results. a further selection was conducted by critical examination of these papers for inclusion and exclusion from the data-set, following quality criteria that ensure statistical power avoiding unconscious bias (hedges et al., 1999). these criteria were that: (i) the experimental design had to be sufficiently detailed to determine all critical aspects of the treatments, plot size and recent history, irrigation systems and fertilizer management; (ii) studies reflected typical regional practice; and (iii) in most cases included treatment replicates. in some cases exceptions were made to this final criterion.",1,1,0,1,1,1,0,1,0,1,1,0,1,0,0.6875,nutrient leaching and run-off
cover and catch crops,10.1016/j.agee.2015.01.023,1,"1. the study was carried out in denmark, sweden, finland or norway. 2. the main crops were spring wheat, spring barley, and oats. 3. catch crops were undersown in spring. 4. the study had an appropriate control group (i.e., one with no catch crop). 5. the study assessed the effects of undersown catch crops on total n leaching, nitrate n leaching, soil nitrate n or inorganic n, grain yield, or grain n content. 6. responses to catch crops were recorded as either original data for each experimental year or as means of treatments (i.e., with undersown catch crops) and controls (i.e., with no catch crops) for the duration of the experiment with standard deviations and sample sizes (number of years).",1,1,1,0,1,1,1,1,0,1,1,1,1,0,0.8125,nutrient leaching and run-off
cover and catch crops,10.1016/j.catena.2020.105085,1,"the case studies were chosen following the strict quality criteria: (a) the experiments or observations were conducted under field conditions (i.e., no laboratory, rainfall simulation or runoff simulation experiments, etc.); (b) both the ground cover and control (clean tillage or bare ground management) treatments were included in each case study, and the two treatments were exposed to the same environmental conditions; (c) the targeted article contained at least one response variable (runoff or soil loss or nutrients loss observations); (d) when the variable was measured at multiple time points, the average value was calculated to meet the accurate observation results; (e) multiple ground cover species in one study were considered as independent observations.",1,1,1,0,1,1,1,0,1,1,1,1,1,0,0.8125,nutrient leaching and run-off
cover and catch crops,10.1016/j.landusepol.2019.104204,1,"1) it reported the results of an experiment in the mediterranean forests, woodlands, and scrub biome or the central valley of california
2) it compared a winter cover crop with a winter fallow, followed by a food crop in spring or summer (annual food crops in arable fields, including cereals, fruits, and vegetables, but not perennial food crops in orchards
or vineyards)
3) it reported the mean effect on an ecosystem service metric.",1,1,1,1,1,1,0,1,1,1,1,0,1,1,0.875,nutrient leaching and run-off
cover and catch crops,10.1016/j.still.2020.104575,1,not specified,1,1,0,0,1,1,0,0,1,1,1,1,1,0,0.625,nutrient leaching and run-off
cover and catch crops,10.2134/jeq2018.03.0107,1,"238 observations from 28 studies.  (i) the study compared winter cover crop treatments with no cover crop (control); (ii) no3− leaching was measured during at least the cover crop growth period or for the entire year (during both cover crop and cash crop phases); (iii) cumulative no3− leaching was calculated using both no3− concentrations in the soil solution and the drainage volume; (iv) the study was conducted under natural field conditions (i.e., model-based simulation and indoor lysimeter studies were excluded); (v) all other factors (soil, management, and climate) for each pairwise comparison between no cover crop and cover crop treatments were the same; and (vi) the experimental design, approach, and sampling protocols were clearly described. we excluded studies in which the potential risk of no3− leaching was assessed by comparing profile soil n over the cover crop season. studies with a long history of pasture prior to the experimental year were also excluded because of the potential legacy effect of previous pasture or forage crops on no3− leaching that could mask the true cover crop effect. similarly, studies that were conducted on recently constructed drainage lysimeters or monoliths using disturbed soils were also discarded because the disturbed soil structure in these monoliths could influence drainage characteristics and, hence, no3− leaching. we also excluded studies in which the treatment combinations impeded sole comparison between no cover crop and cover crop treatments.",1,1,1,0,1,1,1,1,0,1,1,1,1,1,0.875,nutrient leaching and run-off
cover and catch crops,10.2489/jswc.69.6.471,1,"this combination of key terms resulted in approximately  five  thousand  papers. to reduce the number of papers included in the meta-analysis, the following criteria were applied: 
1) studies in which the cover crop is not harvested and is grown between the harvest and planting of cash crops. 
2) studies reporting n2o measurements. 
3) studies with a control treatment varying only in the inclusion of a cover crop and keeping all other management practices such as tillage and n additions equal. 
4) studies that provided enough information (standard errors, standard deviations, coefficients of variation, etc.) about experimental error either in the published paper or in information that was provided by the authors when contacted to allow for an estimate of within study variance.
5) studies published before december of 2012.",1,1,1,1,1,1,1,1,0,1,1,0,1,0,0.8125,nutrient leaching and run-off
cover and catch crops,10.1002/ael2.20022,1,"the authors included weed biomass (wbio), weed density (wden), and cash-crop yield as response variables. they recorded values in a paired format, requiring each pair of response variables to be measured in the same crop at the same time with all aspects
of management held constant except for a treatment of a fall-planted cc. ancillary data included geographical location, climate, and soil characteristics of the study site; cashcrop and cc management including species, tillage system, planting and termination methods and dates; and experimental information such as timing of weed measurements and type of weed. the complete database is published and available on iowa state university’s datashare platform. fifteen articles fit our criteria, producing 123 response
ratios for wbio and 119 response ratios for wden.",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,pests and diseases
cover and catch crops,10.1016/j.landusepol.2019.104204,1,"1) it reported the results of an experiment in the mediterranean forests, woodlands, and scrub biome or the central valley of california
2) it compared a winter cover crop with a winter fallow, followed by a food crop in spring or summer (annual food crops in arable fields, including cereals, fruits, and vegetables, but not perennial food crops in orchards
or vineyards)
3) it reported the mean effect on an ecosystem service metric.",1,1,1,1,1,1,0,1,1,1,1,0,1,1,0.875,pests and diseases
cover and catch crops,10.1016/j.still.2020.104575,1,not specified,1,1,0,0,1,1,0,0,1,1,1,1,1,0,0.625,pests and diseases
