fpid,doi,impact_matrix,factor1_title,factor1_direction,factor2_title,factor2_direction,factor3_title,factor3_direction,factor4_title,factor4_direction,factor5_title,factor5_direction,factor6_title,factor6_direction,factor7_title,factor7_direction,factor8_title,factor8_direction
Grazing management,10.1002/eco.1934,Soil physico-chemical quality,Mean annual precipitation,Infiltration was negatively related to mean annual precipitation.,Mean annual precipitation/mean annual potential evapotranspiration,Infiltration was negatively related to the ratio mean annual precipitation (PPT) / mean annual evapotranspiration potential (PET).,Soil texture,Infiltration effect size had a significant logarithmic relation with percentage of sand.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grassland management,10.1002/ecy.2905,Grassland production,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Intercropping,10.1002/evl3.206,Pests and diseases,Crop/cultivar combinations,Genetic diversity reduced parasitism more when cultivars were mixed unevenly,Crop type,The negative effect of genetic diversity on parasitism was stronger for cereal crops (Poaceae) than for noncereal crops,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mulching,10.1002/jsfa.11248,Crop yield,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mulching,10.1002/jsfa.11248,Water use,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agroforestry practices and systems,10.1002/ldr.3136,Carbon sequestration,age of agroforest,Level of increase of soil carbon depends on tree ages (level of increase higher with younger trees) and on soil depth (level of increase higher in the uppermost 60-80cm).,Soil type,"The increases of soil C stocks in AF compared with controls were influenced by complex interactions among these factors: soil properties (texture, pH, and P and N content), climate (temperature and precipitation), and vegetation (tree density and cover percentage).",pedo-climate,"The increases of soil C stocks in AF compared with controls were influenced by complex interactions among these factors: soil properties (texture, pH, and P and N content), climate (temperature and precipitation), and vegetation (tree density and cover percentage).",tree-density,"The increases of soil C stocks in AF compared with controls were influenced by complex interactions among these factors: soil properties (texture, pH, and P and N content), climate (temperature and precipitation), and vegetation (tree density and cover percentage).",NA,NA,NA,NA,NA,NA,NA,NA
Agroforestry practices and systems; Landscape features,10.1002/ldr.3258,Soil erosion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Landscape features,10.1002/ldr.3424,Carbon sequestration,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Landscape features,10.1002/ldr.3424,Crop yield,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Landscape features,10.1002/ldr.3424,Soil erosion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
No tillage and reduced tillage,10.1002/ldr.3470,Carbon sequestration,Time,Stronger effect with time,Soil depth,Stronger effect at 0-10cm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
No tillage and reduced tillage,10.1002/ldr.3470,Soil physico-chemical quality,Time,Stronger effect with time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
No tillage and reduced tillage,10.1002/ldr.3470,Soil water retention,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crop residue management,10.1002/ldr.3492,Carbon sequestration,Crop type,"There was a highly significant increase in SOC under rice paddy due to RR by 16.5% (P < .05), compared with other crops. Significant increase by 57.2% in active organic carbon under maize than that under rice or wheat (P < .05).",Crop rotation,Positive impact on SOC and active organic carbon decreased when RR was combined with crop rotation.,Mineral N fertiliser amount applied,"Within medium nitrogen fertilisation input (150–250 kg N ha−1), RR increased more SOC and active organic carbon compared with other nitrogen fertilisation inputs levels.",Duration of treatment,"Over the long term >10 years), RR increased SOC and active organic carbon.",Sampling depth,"In comparison with deeper than 20-cm soil depth, relatively higher increments in SOC and active organic carbon by RR were observed at 0- to 20-cm soil depth.",Proportion of residues retained,"Compared with 100% in rate of RR, reducing the amount of RR (retained parts of residues) could enhance the effects of RR to increase active organic carbon. However, lower SOC was observed under reduced amount of RR as compared with 100% amount of RR.","Soil chemical, biological, and physical quality","The increase in SOC may primarily be attributed to increases in the active C pool, especially for particulate organic carbon (r = .88, P < .05) and microbial biomass carbon (r = .60, P < .05). In addition, alleviation in soil compaction and increased soil available nitrogen also enhanced SOC under RR. Among the SOC fractions, active organic carbon was positively related to microbial biomass carbon (r = .65, P < .05). Dissolved organic carbon was significantly and positively related to labile organic carbon.",Tillage,The results presented herein showed higher increases in SOC and active organic carbon under RR combined with conventional tillage rather than no-till.
Crop residue management,10.1002/ldr.3492,Crop yield,Crop type,Significant increases by 8.9% in crop yield were higher under maize than that under rice or wheat (P < .05).,Tillage intensity,The highest increments in crop yield (9.5%) were observed under residues retention when combined with no-till.,Mineral N fertiliser amount applied,"Within medium NFI (150–250 kg N ha−1), RR increased more crop yield compared with other NFI levels.",Duration of treatment,"Over the medium term (5-10 years), RR significantly increased crop yields.",Proportion of residues retained,"Compared with 100% in rate of retained residues, reducing the amount of RR (retained parts of residues) could enhance the effects of RR to increase crop yield.","Soil N, P and organic carbon","Crop yield was significantly and positively related to AN, TP, AP, and AK (P < .05), albeit with low correlation coefficients.",NA,NA,NA,NA
Crop residue management,10.1002/ldr.3492,GHG emissions,Crop type,The significant increase by 41.0% in N2O emission were the most sensitive for maize among crop species (P < .05).,Crop rotation,The increased emission of CH4 was enhanced for regions in which RR was adopted with than without crop rotation. Significant increase of 18.4% in N2O emission was observed in regions where resisdues retention was adopted with crop rotation (P < .05).,Tillage intensity,Increases in CH4 and N2O emissions were observed in residues retention combined with conventional tillage.,Mineral N fertiliser amount applied,"The highest emissions of CH4 and N2O occurred under RR in combination with higher and medium nitrogen fertiliser input (150-250, and >250 kg N/ha).",Duration of treatment,"Over the short term (<5 years), residues retention (RR) did not significantly increase N2O emission. Over the medium term (5-10 years), RR significantly increased N2O emission. Over the long term (>10 years), RR sharply increased CH4 emission.",Proportion of residues retained,"Compared with 100% in rate of retained residues (RR), reducing the amount of RR (retained parts of residues) could enhance the effects of RR to decrease CH4 emission. However, more N2O emission were observed under reduced amount of RR as compared with 100% amount of RR.",NA,NA,NA,NA
Crop residue management,10.1002/ldr.3492,Soil biological quality,Soil carbon sequestration,"Microbial biomass carbon was positively related to dissolved organic carbon, labile organic carbon, and particulate organic carbon fractions of the soil.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crop residue management,10.1002/ldr.3492,Soil nutrients,Crop type,"There was also a highly significant increase in AN, TP, AP, and TK under rice paddy due to RR by 11.5%, 10.1%, 32.3%, and 6.4%, respectively (P < .05), compared with other crops. With adoption of RR in wheat (Triticum aestivum L.) cultivation, significant increases observed in TN (12.9%) and AK (15.1%) were the highest among crop species (P < .05). Additionally, a significant decrease in soil C:N ratio by 2.7% was observed with RR under wheat.",Crop rotation,"The increase TP in response to RR could be enhanced by the regions that combined residues retention (RR) with crop rotation than those without crop rotation. However, increase in soil nutrient concentration decreased with RR.",Tillage intensity,"Among the positive effects observed under residues retention (RR) when combined with conventional tillage were highest increments in TP (13.3%) and AK (12.5%). Furthermore, the highest increments in TN (10.8%) and AN (14.5%) were observed under RR when combined with that under rotary tillage. Significant increase in C:N ratio (8.6%) and the highest increments in AP (45.8%) were observed under RR when combined with subsoiling tillage.",Mineral N fertiliser amount applied,"RR increased more AK under less NFI (<150 kg N ha−1), when compared with that for other NFI level. Within medium NFI (150–250 kg N ha−1), RR increased more TK compared with other NFI levels. However, significant decrease in C:N ratio was observed under RR only when combined with higher NFI (>250 kg N ha−1).",Duration of treatment,"Over the medium term (5-10 years), RR significantly increased crop yields along with TN, AN, TP, TK, and AK (P < .05). Over the long term (>10 years), RR increased AP.",Sampling depth,"In comparison with deeper than 20-cm soil depth, relatively higher increments in AP by RR were observed at 0- to 20-cm soil depth but higher TN, AN, and AK were observed for deeper than 20 cm than that at 0- to 20-cm depth.",Proportion of residues retained,"Compared with 100% in rate of RR, reducing the amount of RR (retained parts of residues) could enhance the effects of RR to increase AN. However, lower other soil nutrients were observed under reduced amount of RR as compared with 100% amount of RR.",Soil properties,"TN was significantly and positively related with AN, TP, AP, TK, AK, microbial biomass carbon (MBC), and dissolved organic carbon but negatively related with C:N ratio and bulk density (BD). Furthermore, AN was positively related with MBC and soil porosity but negatively related with BD. TP was positively related with MBC but negatively related with BD."
Crop residue management,10.1002/ldr.3492,Soil physico-chemical quality,Crop type,"With adoption of RR in wheat (Triticum aestivum L.) cultivation, significant increases observed in SA (17.3%) were the highest among crop species (P < .05). The significant decrease by 2.9% in soil pH was the most sensitive for maize among crop species (P < .05).",Crop rotation,"For the positive effects, the increases in soil porosity and soil aggregation in response to residues retention (RR) could be enhanced by the regions that combined RR with crop rotation than those without crop rotation. However, decreases in bulk density decreased with RR. In contrast, for regions combined with crop rotation, RR significantly reduced soil pH by 1.3%.",Tillage intensity,"Among the positive effects observed under RR when combined with conventional tillage were significant decrease in bulk density (3.4%), the highest increments in soil porosity (5.6%) and aggregation (16.4%). Furthermore, when combined with rotary tillage, soil pH was significantly increased by 0.2% (P < .05).",Mineral N fertiliser amount applied,"Residues retention decreased more bulk density and increased more soil aggregation under less nitrogen fertiliser imputs (<150 kg N/ha), when compared with that for other level of nitrogen fertiliser input. However, significant increase in soil pH was observed with medium and higher inputs (>250 kg N/ha).",Duration of treatment,"Over the short term (<5 years), RR significantly increased soil aggregation (P < .05). Over the long term (>10 years), RR decreased bulk density and soil pH, and increased soil porosity.",Sampling depth,"In comparison with deeper than 20-cm soil depth, relatively higher increments in soil porosity by RR were observed at 0- to 20-cm soil depth. However, lower bulk density was observed for deeper than 20 cm than that at 0- to 20-cm depth. In addition, soil pH decreased significantly only at 0- to 20-cm soil depth by 1.6%.",Proportion of residues retained,"Compared with 100% in rate of residues retained, reducing the amount of RR (retained parts of residues) could enhance the effects of RR to increase soil aggragation and decrease bulk density. However, lower soil pH was observed under reduced amount of RR as compared with 100% amount of RR.",Soil physical properties,"There were also relationships among soil physical properties, such as a significant negative relationship was observed between bulk density with soil porosity (r = −.50, P < .05) and soil water content (r = −.25, P < .05)."
Crop residue management,10.1002/ldr.3492,Soil water retention,Soil physical properties,"There were also relationships among soil physical properties, such as a significant negative relationship was observed between bulk density with soil porosity (r = −.50, P < .05) and soil water content (r = −.25, P < .05).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
No tillage and reduced tillage,10.1002/saj2.20260,Carbon sequestration,Temperature,Increase,Soil depth,Decrease,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
No tillage and reduced tillage,10.1002/saj2.20260,Soil nutrients,Legume in rotation,Increase,Soil depth,Decrease,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crop residue management,10.1002/saj2.20261,Soil biological quality,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Organic farming systems,10.1007/978-3-319-00915-5_3,Biodiversity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leguminous crops,10.1007/978-3-319-58789-9_4,Carbon sequestration,Agroforestry type,"Level of increase of soil carbon depends on the type of agroforestry (alley cropping, improved fallow, mulching or parkland).",Soil type,Level of increase of soil carbon depends on soil characteristics.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leguminous crops,10.1007/978-3-319-58789-9_4,Soil nutrients,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leguminous crops,10.1007/978-94-007-0394-0_9,Crop yield,Time after tree establishment,Increase in yield is more apparent from the third year after tree establishment and onwards. Rainfall and soil fertility:  The results from the meta-analysis indicate that they are generally best-performing in low to medium potential sites in terms of rainfall and fertility.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Water-saving irrigation practices in non-flooded lands,10.1007/s00271-008-0141-0,Water use,Crop type,"Restricting the analysis to grapevine, the species with the largest number of studies, revealed no benefit of partial root-zone drying.",Crop type,"Restricting the analysis to grapevine, the species with the largest number of studies, revealed no benefit of partial root-zone drying.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
No irrigation,10.1007/s00271-020-00696-x,Water use,Crop type,"Center pivot irrigation: Corn had a 46% change (n = 10; CI 0.47–4.60; p value: 0.514) in WUE compared to the dryland control, while cotton had a 71% change (n = 52; CI 1.09–2.67; p value: 0.02). Sorghum had the greatest response to irrigation with a change of 160% n = 111; CI 1.76–3.83; p value: < 0.001) and wheat had the smallest mean effect change of 29% (n = 62; CI 0.61–2.74; p value: 0.511). Surface drip irrigation: Effects for WUE between the irrigation treatments and the dryland control in corn and sorghum were quite large with a 260% change
n = 10: CI p value: 0.036) and 341% change (n = 12; CI 1–19.56; p value: 0.051), respectively. Results for cotton showed a much smaller effect with a 63% change (n = 16; CI 0.67–3.98; p value: 0.285) in WUE.",Irrigation amount,"Center pivot irrigation: Low and high irrigation capacities were similar with a change of 73% n = 113; CI: 1 0.21–2.46; p value: 0.002) and 61% (n = 47; CI 0.73–3.54; p value: 0.238), respectively. Average amounts of water applied had the greatest effect of 175% n = 75; CI 1.71–4.41; p value: < 0.001).",Annual precipitation,"Center pivot irrigation: WUE improved in dry and wet years, with changes of 101% (n = 133; CI 1.41–2.85; p value: 0.114) and 123% (n = 55; CI 1.30–3.84; p value: 0.004), respectively. Average rainfall conditions had the smallest effect of 65% n = 47; CI 0.89–3.09; p value: < 0.001). Surface drip irrigation: The addition of rain fall 
with SDI had the biggest change in dry years of 223% n = 12; CI 0.85–12.29; p value: 0.085) and comparable effects between average and wet rainfall years with changes of 127% n = 22; CI 1.00–5.14; p value: 0.050) and 134% (n = 6; CI 0.43–12.69; p value: 0.324).",Soil type,Center pivot irrigation: Olton loam had a negative effect of - 5% (n = 24; CI 0.33–2.73; p value: 0.927) while Pullman clay loam and Pullman silty clay loam had increases in WUE of 84% (n = 196; CI 1.35–2.50; p value: < 0.001) and 250% (n = 15; CI 1.89–6.49; p value: < 0.001). Surface drip irrigation: Abilene clay loam soils had a 41% (n = 12; CI 0.51–3.84; p value: 0.507) in WUE compared to a 268% (n= 28; CI 1.59–8.54; p value: 0.002) change in WUE on Pullman clay loam soils.,Planting time,"Center pivot irrigation: Crops planted early had a greater change in effects compared to crops planted on time, with changes of 118% (n = 128; CI 1.43–3.33; p value: < 0.001) and 87% (n = 107; CI 1.32–2.63; p value: < 0.001), respectively. Surface drif irrigation: Early planting increased WUE by 285% (n = 15; CI 1.17–12.63; p value: 0.026) compared to a 106% (n = 25; CI 0.95–4.43; p value: 0.066) change with crops planted on time.",Mineral N fertiliser amount applied,Center pivot irrigation: Low and medium nitrogen application amounts had similar effects with a 95% (n = 53; CI 1.13–3.36; p value: 0.017) and 82% (n = 100; CI 1.24–2.68; p value: 0.002) change relative to the rainfed control. High amounts of nitrogen had a 133% (n = 82; CI 1.42–3.85; p value: 0.001) change. Surface drip irrigation: Low amounts of nitrogen application had a much greater response on WUE with a change of 282% n = 17; CI 1.37–10.62; p value: 0.010). Medium nitrogen application had a change on WUE of 86% (n = 23; CI 0.81–4.27; p value: 0.145).,Year of study,"Center pivot irrigation: Water use efficiency generally improved over time as studies planted from 2010 to 2015 had a greater water response than studies planted between 1990 and 1995. The largest change in WUE was 264% (n = 9; CI 1.66–8.00; p value: 0.001) from studies with experiments planted the most recently. Studies with experiments planted between 2000 and 2005 had the second largest change of 157% (n = 52; CI 1.44–4.58; p value: 0.001). Studies planted between 2005 and 2010 had an unexpectedly small change. Surface drip irrigation: Studies published from 1990 to 1995 and 2000 to 2005 had similar effects with changes of 260% (n = 12; CI 1.09–11.88; p value: 0.036) and 277% (n = 16; CI 1.15–12.32; p value: 0.0287), respectively. Studies with experiments planted more recently between 2010 and 2015 had a 41% n = 12; CI 0.51–3.84; p value: 0.507) change on WUE.",NA,NA
Crop rotation,10.1007/s00374-021-01580-2,Carbon sequestration,Duration of treatment,"The longterm use of crop rotation (>10y) increases SOC stability by increasing the proportion of aromatic and carbonyl groups, while the O-alkyl groups are decreased compared with those studies employing crop rotation for 6 years.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Soil amendment with biochar,10.1007/s10021-018-0248-y,GHG emissions,Soil type,"When averaged across all studies in paddy soils, biochar amendment significantly decreased CH4 release rates by 12% (CI − 26 to − 3%), largely attributed to incubation and pot studies. Biochar amendment significantly decreased CH4 releases from upland soils by 72% (CI − 97 to − 44%). When averaged all studies on upland soils acting as a sink of CH4, biochar amendment consistently decreased soil CH4 uptake in both incubation and pot studies.",Scale of experiment,"Paddy soils showed the weakest negative response of CH4 release (− 4%, CI − 6 to 11%) in field studies.  Decreased CH4 releases from upland soils was overwhelmingly contributed by incubation studies (− 226%, CI − 243 to − 191%).  Biochar amendment consistently decreased soil CH4 uptake in both incubation and pot studies, but slightly increased soil CH4 uptake in field studies,",Soil texture,"For soils acting as a source of CH4, soil CH4 release were significantly increased in soils with fine texture (+34%, CI 8–62%), in contrast to negative responses (decrease) in soils with medium (− 170, CI − 214 to − 126%) or coarse texture (− 32%, CI − 78 to − 12%).  For upland soils as a sink of CH4, soil CH4 uptake rates were significantly decreased following biochar amendment over all investigated soil textures and the strongest negative response occurred in soils with medium texture (− 129, CI − 144 to − 78%).",Soil pH,"Across all observations, experimental soils were divided into acid, neutral, and alkaline soils, corresponding to soil pH < 6.5, 6.6–7.5, and > 7.5, respectively. For soils acting as source of CH4, biochar significantly decreased soil CH4 release rates by 128% (CI 96–142%) in neutral soils, in contrast to a less decrease in alkaline soils or significant increase in acid soils. For upland soils acting as sink of CH4, biochar amendment significantly decreased CH4 uptake rates both in acid and neutral soils. The decrease in CH4 uptake rates was the greatest in neutral soils (− 1640, CI − 185 to − 122%), against minor positive responses in alkaline soils (+11, CI − 3 to 27%).
",N-fertilisation,"Biochar amendment significantly decreased soil CH4 release rates by 115% (CI 99–131%) for unfertilized soils, as a contrast to a minor decrease in soil CH4 release for fertilized soils (− 9%, CI − 14 to 1%). Similarly, the biochar-induced decrease in CH4 uptake of upland soils was weakened by fertilizer application. Biochar combined with synthetic and organic N fertilizer led to a decrease by 39% (CI 26–47%) and 8% (CI 2–13%) in CH4 release rates, respectively, whereas biochar combined with compound N fertilizer (N-P-K) incurred a significant positive response (+28%, CI 22–39%). Significant negative effects on soil CH4 uptake for synthetic N (− 25%, CI − 41 to − 17%) but positive effects for organic N fertilizer (+20%, CI 18–23%).",Biochar application rate,"The response of soil CH4 release to biochar amendment generally decreased with biochar rates, shifting from the highest positive response at rates less than 20 t ha−1 (+28%, CI 24–37%) to the lowest negative response at rates of over 60 t ha−1 (− 186%, CI − 241 to − 152%). Similarly, for upland soils acting as a sink of CH4, the response of soil CH4 uptake rates to biochar also presented a declined trend with biochar rates, from the insignificant increase effect (+9%, CI − 1 to 13%) at the amended rate lower than 20 t ha−1 to the largest decrease effect (− 171%, CI − 222 to − 143%) at an amended rate over 60 t ha−1 .",Biochar feedstock,"Significant negative responses were found to wood, biowaste, ligneous and herbage materials as feedstock sources, contrary to significant positive responses to manure-derived biochar (+21%, CI 19–28%). For upland soils as a sink of CH4, soil CH4 uptake rates were significantly decreased across wood, ligneous and herbage feedstock materials, whereas slightly increased using manure as feedstock sources (+8%, CI − 5 to 12%).",Biochar C/N ratio and pH,"Responses of soil CH4 release to biochar amendment shifted from the highest positive response to biochar with the C/N ratio of below 50 (+57%, CI 43–79%) to the lowest negative response to biochar with the C/N ratio of above 300 (− 168%, CI − 214 to − 147%). For upland soils acting as a sink of CH4, negative responses of soil CH4 uptake to biochar amendment consistently increased with the C/N ratio of biochar, but there was no significant difference in size of effect among them. Acidic and slightly alkaline biochar (pH 7.0–8.5) significantly increased CH4 release rates by 23 and 21% respectively, whereas highly alkaline biochar (pH 8.6–10 or > 10) led to a significant decrease by 99% or had no significant effect on CH4 release (Figure 6C). For upland soils as a sink of CH4, soil CH4 uptake significantly and negatively responded to acid (− 124%, CI − 141 to − 87%) and extremely alkaline biochar (− 25%, CI − 79 to − 20%), as a contrast with positive response to slightly (+9%, CI 2–15%) and highly alkaline (+14%, CI 12–18%) biochar."
Cover and catch crops; No irrigation,10.1007/s10113-018-1447-y,Carbon sequestration,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mulching; Cover and catch crops; No irrigation,10.1007/s10113-018-1447-y,Crop yield,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cover and catch crops,10.1007/s10113-018-1447-y,Soil erosion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mulching; No irrigation,10.1007/s10113-018-1447-y,Soil water retention,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agroforestry practices and systems; Landscape features,10.1007/s10113-021-01798-8,Carbon sequestration,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leguminous crops,10.1007/s10311-017-0698-z,Crop yield,Fertilisation rate,The estimated mean yield ratios decreased significantly as a function of the N fertilization rate applied to subsequent cereals (p < 0.05). The positive effects of oilseeds and grain legumes on yields of subsequent cereals became negligible when the mean N fertilization exceeded 150 kg N ha−1 (this threshold was reduced to 98 kg N ha−1 when only oilseeds were considered and was equal to 153 kg N ha−1 when only grain legumes were considered).,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mulching,10.1007/s10333-022-00900-y,Crop yield,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agroforestry practices and systems,10.1007/s10457-017-0147-9,Carbon sequestration,Perennial species,NA,site,NA,soil type,NA,previous land use,NA,climate,NA,soil depth,NA,agroforestry type,NA,NA,NA
Agroforestry practices and systems,10.1007/s10457-020-00494-6,Farming system productivity,Tree density,Tree density affects forage yields; lower densities can match open pasture production.,tree species,NA,forage types,NA,"Tree height, diameter, and biomass yield",affects productivity comparisons between silvopastures and conventional systems.,livestock species,NA,NA,NA,NA,NA,NA,NA
Wetland conservation and restoration,10.1007/s10530-021-02540-5,GHG emissions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
