"fpid","doi","population","intervention","intervention_matrix","control","control_matrix","metric","metric_positive_effect","effect_size","impact_matrix","impact_positive_effect","positive","negative","no_effect","uncertain","results_level","results_qtype","results_statistics","results_1","results_2","results_3","results_nb_of_trials","results_nb_of_papers","results_threshold","i_c_shift","metric_std2","metric_unit","sustainability_outcome","f_pclass_tier0","policy_class_codes","policy_class_names","scale","population_name1","population_value1","population_name2","population_value2","population_name3","population_value3","population_name4","population_value4","population_name5","population_value5","population_name6","population_value6"
"Grassland management","10.1111/geb.13196","Semi-natural grasslands","No fertilisation","No fertilisation","NPK fertilisation + micronutrients","Fertilisation","Plant biomass","increase","Cohen's d (standardized difference) comparing the considered metrics between intervention and control","Grassland production","increase",0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Net primary productivity",NA,"Agricultural production","Grassland and grazing","F112|","Ban on mineral fertilisers (F112)","Global",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Grassland management","10.1111/geb.13196","Semi-natural grasslands","No fertilisation","No fertilisation","NK fertilisation + micronutrients","Fertilisation","Plant biomass","increase","Cohen's d (standardized difference) comparing the considered metrics between intervention and control","Grassland production","increase",0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Net primary productivity",NA,"Agricultural production","Grassland and grazing","F112|","Ban on mineral fertilisers (F112)","Global",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Grassland management","10.1111/geb.13196","Semi-natural grasslands","No fertilisation","No fertilisation","PK fertilisation + micronutrients","Fertilisation","Plant biomass","increase","Cohen's d (standardized difference) comparing the considered metrics between intervention and control","Grassland production","increase",0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Net primary productivity",NA,"Agricultural production","Grassland and grazing","F114|","Ban on P fertilisers (F114)","Global",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Grassland management","10.1111/geb.13196","Semi-natural grasslands","No fertilisation","No fertilisation","K fertilisation + micronutrients","Fertilisation","Plant biomass","increase","Cohen's d (standardized difference) comparing the considered metrics between intervention and control","Grassland production","increase",0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Net primary productivity",NA,"Agricultural production","Grassland and grazing","F112|","Ban on mineral fertilisers (F112)","Global",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wetland conservation and restoration","10.1002/aqc.889","Coastal estuaries invaded by Spartina alterniflora","Crushing and herbicide application","Restoration by management of invasive plant species","Before or no mechanical control","No management of invasive species","Density of Spartina species","decrease","Cohen's d (standardized difference) comparing the considered metrics between intervention and control","Pests and diseases","decrease",1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"weed",NA,"Biodiversity","Landscape features management","L521","Wetland restoration (L521)","Global",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wetland conservation and restoration","10.1002/aqc.889","Coastal estuaries invaded by Spartina alterniflora","Crushing only","Restoration by management of invasive plant species","Before or no mechanical control","No management of invasive species","Density of Spartina species","decrease","Cohen's d (standardized difference) comparing the considered metrics between intervention and control","Pests and diseases","decrease",1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"weed",NA,"Biodiversity","Landscape features management","L521","Wetland restoration (L521)","Global",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wetland conservation and restoration","10.1002/aqc.889","Coastal estuaries invaded by Spartina alterniflora","Cut and dalapon application","Restoration by management of invasive plant species","Before or no cutting","No management of invasive species","Density of Spartina species","decrease","Cohen's d (standardized difference) comparing the considered metrics between intervention and control","Pests and diseases","decrease",1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"weed",NA,"Biodiversity","Landscape features management","L521","Wetland restoration (L521)","Global",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wetland conservation and restoration","10.1002/aqc.889","Coastal estuaries invaded by Spartina anglica","Cut and dalapon application","Restoration by management of invasive plant species","Before or no cutting","No management of invasive species","Density of Spartina species","decrease","Cohen's d (standardized difference) comparing the considered metrics between intervention and control","Pests and diseases","decrease",1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"weed",NA,"Biodiversity","Landscape features management","L521","Wetland restoration (L521)","Global",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wetland conservation and restoration","10.1002/aqc.889","Coastal estuaries invaded by Spartina anglica","Cut and glyphosate application","Restoration by management of invasive plant species","Before or no cutting","No management of invasive species","Density of Spartina species","decrease","Cohen's d (standardized difference) comparing the considered metrics between intervention and control","Pests and diseases","decrease",0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"weed",NA,"Biodiversity","Landscape features management","L521","Wetland restoration (L521)","Global",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wetland conservation and restoration","10.1002/aqc.889","Coastal estuaries invaded by Spartina anglica","Cut and smother","Restoration by management of invasive plant species","Before or no cutting","No management of invasive species","Density of Spartina species","decrease","Cohen's d (standardized difference) comparing the considered metrics between intervention and control","Pests and diseases","decrease",1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"weed",NA,"Biodiversity","Landscape features management","L521","Wetland restoration (L521)","Global",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wetland conservation and restoration","10.1002/aqc.889","Coastal estuaries invaded by Spartina alterniflora","Cut only","Restoration by management of invasive plant species","Before or no cutting","No management of invasive species","Density of Spartina species","decrease","Cohen's d (standardized difference) comparing the considered metrics between intervention and control","Pests and diseases","decrease",1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"weed",NA,"Biodiversity","Landscape features management","L521","Wetland restoration (L521)","Global",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wetland conservation and restoration","10.1002/aqc.889","Coastal estuaries invaded by Spartina anglica","Cut only","Restoration by management of invasive plant species","Before or no cutting","No management of invasive species","Density of Spartina species","decrease","Cohen's d (standardized difference) comparing the considered metrics between intervention and control","Pests and diseases","decrease",0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"weed",NA,"Biodiversity","Landscape features management","L521","Wetland restoration (L521)","Global",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wetland conservation and restoration","10.1002/aqc.889","Coastal estuaries invaded by Spartina alterniflora","Disking","Restoration by management of invasive plant species","Before or no mechanical control","No management of invasive species","Density of Spartina species","decrease","Cohen's d (standardized difference) comparing the considered metrics between intervention and control","Pests and diseases","decrease",1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"weed",NA,"Biodiversity","Landscape features management","L521","Wetland restoration (L521)","Global",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wetland conservation and restoration","10.1002/aqc.889","Coastal estuaries invaded by Spartina anglica","Glyphosate only","Restoration by management of invasive plant species","Before or no herbicide application","No management of invasive species","Density of Spartina species","decrease","Cohen's d (standardized difference) comparing the considered metrics between intervention and control","Pests and diseases","decrease",0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"weed",NA,"Biodiversity","Landscape features management","L521","Wetland restoration (L521)","Global",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wetland conservation and restoration","10.1002/aqc.889","Coastal estuaries invaded by Spartina alterniflora","Glyphosate, aerial applied","Restoration by management of invasive plant species","Before or no herbicide application","No management of invasive species","Density of Spartina species","decrease","Cohen's d (standardized difference) comparing the considered metrics between intervention and control","Pests and diseases","decrease",0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"weed",NA,"Biodiversity","Landscape features management","L521","Wetland restoration (L521)","Global",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wetland conservation and restoration","10.1002/aqc.889","Coastal estuaries invaded by Spartina alterniflora","Glyphosate, ground applied","Restoration by management of invasive plant species","Before or no herbicide application","No management of invasive species","Density of Spartina species","decrease","Cohen's d (standardized difference) comparing the considered metrics between intervention and control","Pests and diseases","decrease",1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"weed",NA,"Biodiversity","Landscape features management","L521","Wetland restoration (L521)","Global",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wetland conservation and restoration","10.1002/aqc.889","Coastal estuaries invaded by Spartina alterniflora","Glyphosate, ground applied (no weter)","Restoration by management of invasive plant species","Before or no herbicide application","No management of invasive species","Density of Spartina species","decrease","Cohen's d (standardized difference) comparing the considered metrics between intervention and control","Pests and diseases","decrease",1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"weed",NA,"Biodiversity","Landscape features management","L521","Wetland restoration (L521)","Global",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wetland conservation and restoration","10.1002/aqc.889","Coastal estuaries invaded by Spartina alterniflora","Glyphosate, ground applied with wetter/surfactant","Restoration by management of invasive plant species","Before or no herbicide application","No management of invasive species","Density of Spartina species","decrease","Cohen's d (standardized difference) comparing the considered metrics between intervention and control","Pests and diseases","decrease",1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"weed",NA,"Biodiversity","Landscape features management","L521","Wetland restoration (L521)","Global",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wetland conservation and restoration","10.1002/aqc.889","Coastal estuaries invaded by Spartina anglica","Glyphosate, with mixture B surfactant","Restoration by management of invasive plant species","Before or no herbicide application","No management of invasive species","Density of Spartina species","decrease","Cohen's d (standardized difference) comparing the considered metrics between intervention and control","Pests and diseases","decrease",1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"weed",NA,"Biodiversity","Landscape features management","L521","Wetland restoration (L521)","Global",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wetland conservation and restoration","10.1002/aqc.889","Coastal estuaries invaded by Spartina anglica","Glyphosate, with R–11 surfactant","Restoration by management of invasive plant species","Before or no herbicide application","No management of invasive species","Density of Spartina species","decrease","Cohen's d (standardized difference) comparing the considered metrics between intervention and control","Pests and diseases","decrease",0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"weed",NA,"Biodiversity","Landscape features management","L521","Wetland restoration (L521)","Global",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wetland conservation and restoration","10.1002/aqc.889","Coastal estuaries invaded by Spartina alterniflora","Herbicide treatment (2,2,-DPA)","Restoration by management of invasive plant species","Before or no herbicide application","No management of invasive species","Density of Spartina species","decrease","Cohen's d (standardized difference) comparing the considered metrics between intervention and control","Pests and diseases","decrease",0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"weed",NA,"Biodiversity","Landscape features management","L521","Wetland restoration (L521)","Global",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wetland conservation and restoration","10.1002/aqc.889","Coastal estuaries invaded by Spartina alterniflora","Herbicide treatment (Amitrole-T)","Restoration by management of invasive plant species","Before or no herbicide application","No management of invasive species","Density of Spartina species","decrease","Cohen's d (standardized difference) comparing the considered metrics between intervention and control","Pests and diseases","decrease",0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"weed",NA,"Biodiversity","Landscape features management","L521","Wetland restoration (L521)","Global",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wetland conservation and restoration","10.1002/aqc.889","Coastal estuaries invaded by Spartina alterniflora","Herbicide treatment (Diuron)","Restoration by management of invasive plant species","Before or no herbicide application","No management of invasive species","Density of Spartina species","decrease","Cohen's d (standardized difference) comparing the considered metrics between intervention and control","Pests and diseases","decrease",0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"weed",NA,"Biodiversity","Landscape features management","L521","Wetland restoration (L521)","Global",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wetland conservation and restoration","10.1002/aqc.889","Coastal estuaries invaded by Spartina alterniflora","Horse and cattle herbivory","Restoration by management of invasive plant species","Before or no herbivory","No management of invasive species","Density of Spartina species","decrease","Cohen's d (standardized difference) comparing the considered metrics between intervention and control","Pests and diseases","decrease",0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"weed",NA,"Biodiversity","Landscape features management","L521","Wetland restoration (L521)","Global",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wetland conservation and restoration","10.1002/aqc.889","Coastal estuaries invaded by Spartina alterniflora","Imazapyr only","Restoration by management of invasive plant species","Before or no herbicide application","No management of invasive species","Density of Spartina species","decrease","Cohen's d (standardized difference) comparing the considered metrics between intervention and control","Pests and diseases","decrease",1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"weed",NA,"Biodiversity","Landscape features management","L521","Wetland restoration (L521)","Global",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wetland conservation and restoration","10.1002/aqc.889","Coastal estuaries invaded by Spartina alterniflora","Imazapyr with wetter/surfactant","Restoration by management of invasive plant species","Before or no herbicide application","No management of invasive species","Density of Spartina species","decrease","Cohen's d (standardized difference) comparing the considered metrics between intervention and control","Pests and diseases","decrease",1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"weed",NA,"Biodiversity","Landscape features management","L521","Wetland restoration (L521)","Global",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wetland conservation and restoration","10.1002/aqc.889","Coastal estuaries invaded by Spartina alterniflora","Paraquat","Restoration by management of invasive plant species","Before or no herbicide application","No management of invasive species","Density of Spartina species","decrease","Cohen's d (standardized difference) comparing the considered metrics between intervention and control","Pests and diseases","decrease",0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"weed",NA,"Biodiversity","Landscape features management","L521","Wetland restoration (L521)","Global",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wetland conservation and restoration","10.1002/aqc.889","Coastal estuaries invaded by Spartina alterniflora","Winter tilling","Restoration by management of invasive plant species","Before or no mechanical control","No management of invasive species","Density of Spartina species","decrease","Cohen's d (standardized difference) comparing the considered metrics between intervention and control","Pests and diseases","decrease",1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"weed",NA,"Biodiversity","Landscape features management","L521","Wetland restoration (L521)","Global",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Leguminous crops","10.1038/s41598-020-74736-z","Grassland","P fertilization in grassland/legumes mixtures or in grassland monoculture","Legumes in improving grassland for forage or grazing","Grass monoculture without P fertilization","No grassland improvement","Grassland yield","increase","Difference of the considered metrics between intervention and control","Grassland production","increase",1,0,0,0,"Grand-mean",NA,NA,NA,NA,NA,NA,NA,NA,0,"Net primary productivity",NA,"Agricultural production","Crop rotation and diversification","G2X+R121+F41X","Grassland management (G2X) Cultivation of Nitrogen fixing/protein crops (R121) Use of specific mineral fertilizer types (F41X)","Global",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Leguminous crops","10.1016/j.agee.2016.01.005","Multiple crops","Legume replacing rice in the rice–wheat rotation or legumes included in maize-wheat rotation","Legumes in rotations","Non-legume in rotations","Non-legumes in rotations","Annual rate of increase of soil organic carbon","increase","Difference of the considered metrics between intervention and control","Carbon sequestration","increase",1,0,0,0,"Grand-mean",NA,NA,NA,NA,NA,NA,NA,NA,0,"Organic carbon sequestration rate (soil)",NA,"Carbon sequestration","Crop rotation and diversification","R11+R121","Crop rotation (R11) Cultivation of Nitrogen fixing/protein crops (R121)","Indo-Gangetic Plains","Pedo-climatic zone","Tropical agro-eco-systems","Geographical coverage","Indo-Gangetic plains","treatment duration","75% of trials: medium-term (7 years) and 25%of trials: short term (3 years)","soil sampling depth","75% of trials: 40 cm; 25% of trials: 105 cm",NA,NA,NA,NA
"Intercropping","10.1016/j.eja.2017.09.009","Multiple crops","Intercropping","Crop mixture cropping","Monoculture","monoculture","Yield stability (Coefficient of variation - %CV)","increase","Difference of the considered metrics between intervention and control","Crop yield","increase",1,0,0,0,"Grand-mean",NA,NA,NA,NA,NA,NA,NA,NA,0,"Crop yield stability",NA,"Agricultural production","Crop rotation and diversification","R15","Mixed cropping / intercropping  (R15)","Global",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Green manure","10.1007/s11104-008-9547-y","Maize in West, East and Southern Africa","Fertilization using legume cover crops as green manure","Cover crop as green manure","Bare soil without mineral-N fertilization","No cover crop","Maize grain yield","increase","Difference of the considered metrics between intervention and control","Crop yield","increase",1,0,0,0,"Grand-mean",NA,NA,NA,NA,NA,NA,NA,NA,0,"Crop yield (grain)",NA,"Agricultural production","Fertilisation and soil amendments","R121+F44+S23X","Cultivation of Nitrogen fixing/protein crops (R121) Use of green manure  (F44) Cover crops (S23X)","West, East and southern Africa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Organic farming systems","10.1111/gcb.13513","Long-term studies (minimum 5 years) assessing the performance of organic systems in comparison to conventional systems.","Organic agriculture: a cropping system in which inorganic fertilizers are largely replaced with organic amendments (including farm yard manure and green manure) and in which synthetic pesticides are generally not used (overall practices vary widely, depending upon local guidelines).","Organic cropping systems","Conventional systems","Conventional system","Stock of Nitrogen, Phosphorous and Sulfur in soil","increase","Difference of the considered metrics between intervention and control","Soil nutrients","increase",0,0,0,1,"Grand-mean",NA,NA,NA,NA,NA,NA,NA,NA,0,"Soil nutrients","kg /m2","Soil health","Organic farming","O1X","Organic farming (O1X)","Global",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
