fpid,doi,population,intervention,intervention_matrix,control,control_matrix,f_pclass_tier0,policy_class_codes,policy_class_names
Wetland conservation and restoration,10.1002/aqc.889,Coastal estuaries invaded by Spartina alterniflora,Crushing only,Restoration by management of invasive plant species,Before or no mechanical control,No management of invasive species,Landscape features management,L521,Wetland restoration (L521)
Wetland conservation and restoration,10.1002/aqc.889,Coastal estuaries invaded by Spartina alterniflora,Cut and dalapon application,Restoration by management of invasive plant species,Before or no cutting,No management of invasive species,Landscape features management,L521,Wetland restoration (L521)
Wetland conservation and restoration,10.1002/aqc.889,Coastal estuaries invaded by Spartina anglica,Cut and dalapon application,Restoration by management of invasive plant species,Before or no cutting,No management of invasive species,Landscape features management,L521,Wetland restoration (L521)
Wetland conservation and restoration,10.1002/aqc.889,Coastal estuaries invaded by Spartina anglica,Cut and glyphosate application,Restoration by management of invasive plant species,Before or no cutting,No management of invasive species,Landscape features management,L521,Wetland restoration (L521)
Wetland conservation and restoration,10.1002/aqc.889,Coastal estuaries invaded by Spartina anglica,Cut and smother,Restoration by management of invasive plant species,Before or no cutting,No management of invasive species,Landscape features management,L521,Wetland restoration (L521)
Wetland conservation and restoration,10.1002/aqc.889,Coastal estuaries invaded by Spartina alterniflora,Cut only,Restoration by management of invasive plant species,Before or no cutting,No management of invasive species,Landscape features management,L521,Wetland restoration (L521)
Wetland conservation and restoration,10.1002/aqc.889,Coastal estuaries invaded by Spartina anglica,Cut only,Restoration by management of invasive plant species,Before or no cutting,No management of invasive species,Landscape features management,L521,Wetland restoration (L521)
Wetland conservation and restoration,10.1002/aqc.889,Coastal estuaries invaded by Spartina alterniflora,Disking,Restoration by management of invasive plant species,Before or no mechanical control,No management of invasive species,Landscape features management,L521,Wetland restoration (L521)
Wetland conservation and restoration,10.1002/aqc.889,Coastal estuaries invaded by Spartina anglica,Glyphosate only,Restoration by management of invasive plant species,Before or no herbicide application,No management of invasive species,Landscape features management,L521,Wetland restoration (L521)
Wetland conservation and restoration,10.1002/aqc.889,Coastal estuaries invaded by Spartina alterniflora,"Glyphosate, aerial applied",Restoration by management of invasive plant species,Before or no herbicide application,No management of invasive species,Landscape features management,L521,Wetland restoration (L521)
Wetland conservation and restoration,10.1002/aqc.889,Coastal estuaries invaded by Spartina alterniflora,"Glyphosate, ground applied",Restoration by management of invasive plant species,Before or no herbicide application,No management of invasive species,Landscape features management,L521,Wetland restoration (L521)
Wetland conservation and restoration,10.1002/aqc.889,Coastal estuaries invaded by Spartina alterniflora,"Glyphosate, ground applied (no weter)",Restoration by management of invasive plant species,Before or no herbicide application,No management of invasive species,Landscape features management,L521,Wetland restoration (L521)
Wetland conservation and restoration,10.1002/aqc.889,Coastal estuaries invaded by Spartina alterniflora,"Glyphosate, ground applied with wetter/surfactant",Restoration by management of invasive plant species,Before or no herbicide application,No management of invasive species,Landscape features management,L521,Wetland restoration (L521)
Wetland conservation and restoration,10.1002/aqc.889,Coastal estuaries invaded by Spartina anglica,"Glyphosate, with mixture B surfactant",Restoration by management of invasive plant species,Before or no herbicide application,No management of invasive species,Landscape features management,L521,Wetland restoration (L521)
Wetland conservation and restoration,10.1002/aqc.889,Coastal estuaries invaded by Spartina anglica,"Glyphosate, with R–11 surfactant",Restoration by management of invasive plant species,Before or no herbicide application,No management of invasive species,Landscape features management,L521,Wetland restoration (L521)
Wetland conservation and restoration,10.1002/aqc.889,Coastal estuaries invaded by Spartina alterniflora,"Herbicide treatment (2,2,-DPA)",Restoration by management of invasive plant species,Before or no herbicide application,No management of invasive species,Landscape features management,L521,Wetland restoration (L521)
Wetland conservation and restoration,10.1002/aqc.889,Coastal estuaries invaded by Spartina alterniflora,Herbicide treatment (Amitrole-T),Restoration by management of invasive plant species,Before or no herbicide application,No management of invasive species,Landscape features management,L521,Wetland restoration (L521)
Wetland conservation and restoration,10.1002/aqc.889,Coastal estuaries invaded by Spartina alterniflora,Herbicide treatment (Diuron),Restoration by management of invasive plant species,Before or no herbicide application,No management of invasive species,Landscape features management,L521,Wetland restoration (L521)
Wetland conservation and restoration,10.1002/aqc.889,Coastal estuaries invaded by Spartina alterniflora,Horse and cattle herbivory,Restoration by management of invasive plant species,Before or no herbivory,No management of invasive species,Landscape features management,L521,Wetland restoration (L521)
Wetland conservation and restoration,10.1002/aqc.889,Coastal estuaries invaded by Spartina alterniflora,Imazapyr only,Restoration by management of invasive plant species,Before or no herbicide application,No management of invasive species,Landscape features management,L521,Wetland restoration (L521)
Wetland conservation and restoration,10.1002/aqc.889,Coastal estuaries invaded by Spartina alterniflora,Imazapyr with wetter/surfactant,Restoration by management of invasive plant species,Before or no herbicide application,No management of invasive species,Landscape features management,L521,Wetland restoration (L521)
Wetland conservation and restoration,10.1002/aqc.889,Coastal estuaries invaded by Spartina alterniflora,Paraquat,Restoration by management of invasive plant species,Before or no herbicide application,No management of invasive species,Landscape features management,L521,Wetland restoration (L521)
Wetland conservation and restoration,10.1002/aqc.889,Coastal estuaries invaded by Spartina alterniflora,Winter tilling,Restoration by management of invasive plant species,Before or no mechanical control,No management of invasive species,Landscape features management,L521,Wetland restoration (L521)
Leguminous crops,10.1038/s41598-020-74736-z,Grassland,P fertilization in grassland/legumes mixtures or in grassland monoculture,Legumes in improving grassland for forage or grazing,Grass monoculture without P fertilization,No grassland improvement,Crop rotation and diversification,G2X+R121+F41X,Grassland management (G2X) Cultivation of Nitrogen fixing/protein crops (R121) Use of specific mineral fertilizer types (F41X)
Leguminous crops,10.1016/j.agee.2016.01.005,Multiple crops,Legume replacing rice in the rice–wheat rotation or legumes included in maize-wheat rotation,Legumes in rotations,Non-legume in rotations,Non-legumes in rotations,Crop rotation and diversification,R11+R121,Crop rotation (R11) Cultivation of Nitrogen fixing/protein crops (R121)
Intercropping,10.1016/j.eja.2017.09.009,Multiple crops,Intercropping,Crop mixture cropping,Monoculture,monoculture,Crop rotation and diversification,R15,Mixed cropping / intercropping  (R15)
Green manure,10.1007/s11104-008-9547-y,"Maize in West, East and Southern Africa",Fertilization using legume cover crops as green manure,Cover crop as green manure,Bare soil without mineral-N fertilization,No cover crop,Fertilisation and soil amendments,R121+F44+S23X,Cultivation of Nitrogen fixing/protein crops (R121) Use of green manure  (F44) Cover crops (S23X)
Organic farming systems,10.1111/gcb.13513,Long-term studies (minimum 5 years) assessing the performance of organic systems in comparison to conventional systems.,"Organic agriculture: a cropping system in which inorganic fertilizers are largely replaced with organic amendments (including farm yard manure and green manure) and in which synthetic pesticides are generally not used (overall practices vary widely, depending upon local guidelines).",Organic cropping systems,Conventional systems,Conventional system,Organic farming,O1X,Organic farming (O1X)
Organic farming systems,10.1111/gcb.13513,Long-term studies (minimum 5 years) assessing the performance of organic systems in comparison to conventional systems.,"Organic agriculture: a cropping system in which inorganic fertilizers are largely replaced with organic amendments (including farm yard manure and green manure) and in which synthetic pesticides are generally not used (overall practices vary widely, depending upon local guidelines).",Organic cropping systems,Conventional systems,Conventional system,Organic farming,O1X,Organic farming (O1X)
Agroforestry practices and systems,10.1016/j.agee.2016.04.011,"Arable land and pasture land, mainly in the tropics and subtropics. Some temperate and mediterranean data are present.",Agroforestry (all tree-crop co-existence types),All agroforestry types (aggregated),Agricultural land with assumed 0 C sequestration rate,Land use without trees,Landscape features management,L3X,Agroforestry (L3X)
Agroforestry practices and systems,10.1016/j.agee.2016.04.011,"arable land and pasture land, mainly in the tropics and subtropics. Some temperate and mediterranean data are present.",Rotational agroforestry,Sequential rotation of tree-plantation and crops,Agricultural land with assumed 0 C sequestration rate,Land use without trees,Landscape features management,L32X,Silvicultural systems (L32X)
Agroforestry practices and systems,10.1016/j.agee.2016.04.011,"arable land and pasture land, mainly in the tropics and subtropics. Some temperate and mediterranean data are present.",Home gardens,Agro-silvopastoral systems,Agricultural land with assumed 0 C sequestration rate,Land use without trees,Landscape features management,L32X+R14+R15,"Silvicultural systems (L32X), Crop diversification (R14), Mixed cropping / intercropping (R15)"
Agroforestry practices and systems,10.1016/j.agee.2016.04.011,"arable land and pasture land, mainly in the tropics and subtropics. Some temperate and mediterranean data are present.",Live fences,Landscape woody features,Agricultural land with assumed 0 C sequestration rate,Land use without trees,Landscape features management,L11X,Hedgerows/individual or group of trees/ trees in line (L11X)
Agroforestry practices and systems,10.1016/j.agee.2016.04.011,"arable land and pasture land, mainly in the tropics and subtropics. Some temperate and mediterranean data are present.",Agroforestry (all tree-crop co-existence types),All agroforestry types (aggregated),Agricultural land with assumed 0 C sequestration rate,Land use without trees,Landscape features management,L3X,Agroforestry (L3X)
Agroforestry practices and systems,10.1016/j.agee.2016.04.011,"arable land and pasture land, mainly in the tropics and subtropics. Some temperate and mediterranean data are present.",Rotational agroforestry,Sequential rotation of tree-plantation and crops,Agricultural land with assumed 0 C sequestration rate,Land use without trees,Landscape features management,L32X,Silvicultural systems (L32X)
Agroforestry practices and systems,10.1016/j.agee.2016.04.011,"arable land and pasture land, mainly in the tropics and subtropics. Some temperate and mediterranean data are present.",Agroforestry (all tree-crop co-existence types),All agroforestry types (aggregated),Agricultural land with assumed 0 C sequestration rate,Land use without trees,Landscape features management,L3X,Agroforestry (L3X)
Agroforestry practices and systems,10.1016/j.agee.2016.04.011,"arable land and pasture land, mainly in the tropics and subtropics. Some temperate and mediterranean data are present.",Improved fallow,Other system,Agricultural land with assumed 0 C sequestration rate,Land use without trees,Landscape features management,L3X+R13X,"Agroforestry (L3X), Land laying fallow (R13X)"
Agroforestry practices and systems,10.1016/j.agee.2016.04.011,"arable land and pasture land, mainly in the tropics and subtropics. Some temperate and mediterranean data are present.",Intercropping,Silvoarable systems,Agricultural land with assumed 0 C sequestration rate,Land use without trees,Landscape features management,L32X,Silvicultural systems (L32X)
Agroforestry practices and systems,10.1016/j.agee.2016.04.011,"arable land and pasture land, mainly in the tropics and subtropics. Some temperate and mediterranean data are present.",Rotational woodlots,Sequential rotation of tree-plantation and crops,Agricultural land with assumed 0 C sequestration rate,Land use without trees,Landscape features management,L32X+R11,"Silvicultural systems (L32X), Crop rotation (R11)"
Agroforestry practices and systems,10.1016/j.agee.2016.04.011,"arable land and pasture land, mainly in the tropics and subtropics. Some temperate and mediterranean data are present.",Shaded perennial-crop systems,Other system,Agricultural land with assumed 0 C sequestration rate,Land use without trees,Landscape features management,L32X,Silvicultural systems (L32X)
Agroforestry practices and systems,10.1016/j.agee.2016.04.011,"arable land and pasture land, mainly in the tropics and subtropics. Some temperate and mediterranean data are present.",Silvopastoral agroforestry systems,Silvopastoral systems,Agricultural land with assumed 0 C sequestration rate,Land use without trees,Landscape features management,"L31X,L3X+G1X","Silvopastoral systems (L31X), Agroforestry (L3X), Grazing management (G1X)"
Agroforestry practices and systems,10.1016/j.agee.2016.04.011,"arable land and pasture land, mainly in the tropics and subtropics. Some temperate and mediterranean data are present.","Tree plantations on arable land (sequential, not simultaneous)",Sequential rotation of tree-plantation and crops,Agricultural land without trees,Land use without trees,Landscape features management,L3X,Agroforestry (L3X)
Agroforestry practices and systems,10.1016/j.agee.2016.04.011,"arable land and pasture land, mainly in the tropics and subtropics. Some temperate and mediterranean data are present.",Rotational agroforestry,Sequential rotation of tree-plantation and crops,Agricultural land with assumed 0 C sequestration rate,Land use without trees,Landscape features management,L32X,Silvicultural systems (L32X)
Agroforestry practices and systems,10.1016/j.agee.2016.04.011,"arable land and pasture land, mainly in the tropics and subtropics. Some temperate and mediterranean data are present.",Agroforestry (all types),All agroforestry types (aggregated),arable land without trees,Land use without trees,Landscape features management,L3X,Agroforestry (L3X)
Agroforestry practices and systems,10.1016/j.agee.2016.04.011,"arable land and pasture land, mainly in the tropics and subtropics. Some temperate and mediterranean data are present.",Improved fallow,Other system,arable land without trees,Land use without trees,Landscape features management,L3X+R13X,"Agroforestry (L3X), Land laying fallow (R13X)"
Agroforestry practices and systems,10.1016/j.agee.2016.04.011,"arable land and pasture land, mainly in the tropics and subtropics. Some temperate and mediterranean data are present.",Shaded perennial-crop systems,Other system,arable land without trees,Land use without trees,Landscape features management,L32X,Silvicultural systems (L32X)
Agroforestry practices and systems,10.1016/j.agee.2016.04.011,"arable land and pasture land, mainly in the tropics and subtropics. Some temperate and mediterranean data are present.",Agroforestry (all types),All agroforestry types (aggregated),arable land without trees,Land use without trees,Landscape features management,L3X,Agroforestry (L3X)
Agroforestry practices and systems,10.1016/j.agee.2016.04.011,"arable land and pasture land, mainly in the tropics and subtropics. Some temperate and mediterranean data are present.",Improved fallow,Other system,arable land without trees,Land use without trees,Landscape features management,L3X+R13X,"Agroforestry (L3X), Land laying fallow (R13X)"
Agroforestry practices and systems,10.1016/j.agee.2016.04.011,"arable land and pasture land, mainly in the tropics and subtropics. Some temperate and mediterranean data are present.",Shaded perennial-crop systems,Other system,arable land without trees,Land use without trees,Landscape features management,L32X,Silvicultural systems (L32X)
Agroforestry practices and systems,10.1016/j.agee.2016.04.011,"arable land and pasture land, mainly in the tropics and subtropics. Some temperate and mediterranean data are present.",Agroforestry (all types),All agroforestry types (aggregated),arable land without trees,Land use without trees,Landscape features management,L3X,Agroforestry (L3X)
Agroforestry practices and systems,10.1016/j.agee.2016.04.011,"arable land and pasture land, mainly in the tropics and subtropics. Some temperate and mediterranean data are present.",Intercropping,Other system,arable land without trees,Land use without trees,Landscape features management,L32X,Silvicultural systems (L32X)
Agroforestry practices and systems,10.1016/j.agee.2016.04.011,"arable land and pasture land, mainly in the tropics and subtropics. Some temperate and mediterranean data are present.",Shaded perennial-crop systems,Other system,arable land without trees,Land use without trees,Landscape features management,L32X,Silvicultural systems (L32X)
Agroforestry practices and systems,10.1016/j.agee.2016.04.011,"arable land and pasture land, mainly in the tropics and subtropics. Some temperate and mediterranean data are present.",Agroforestry (all types),All agroforestry types (aggregated),arable land without trees,Land use without trees,Landscape features management,L3X,Agroforestry (L3X)
Agroforestry practices and systems,10.1016/j.agee.2016.04.011,"arable land and pasture land, mainly in the tropics and subtropics. Some temperate and mediterranean data are present.",Improved fallow,Other system,arable land without trees,Land use without trees,Landscape features management,L3X+R13X,"Agroforestry (L3X), Land laying fallow (R13X)"
Agroforestry practices and systems,10.1016/j.agee.2016.04.011,"arable land and pasture land, mainly in the tropics and subtropics. Some temperate and mediterranean data are present.",Intercropping,Silvoarable systems,arable land without trees,Land use without trees,Landscape features management,L32X,Silvicultural systems (L32X)
Agroforestry practices and systems,10.1016/j.agee.2016.04.011,"arable land and pasture land, mainly in the tropics and subtropics. Some temperate and mediterranean data are present.",Shaded perennial-crop systems,Other system,arable land without trees,Land use without trees,Landscape features management,L32X,Silvicultural systems (L32X)
Agroforestry practices and systems,10.1016/j.agee.2016.04.011,"arable land and pasture land, mainly in the tropics and subtropics. Some temperate and mediterranean data are present.",Agroforestry (all types),All agroforestry types (aggregated),arable land without trees,Land use without trees,Landscape features management,L3X,Agroforestry (L3X)
Agroforestry practices and systems,10.1016/j.agee.2016.04.011,"arable land and pasture land, mainly in the tropics and subtropics. Some temperate and mediterranean data are present.",Agroforestry (all types),All agroforestry types (aggregated),arable land without trees,Land use without trees,Landscape features management,L3X,Agroforestry (L3X)
Agroforestry practices and systems,10.1016/j.agee.2016.04.011,"arable land and pasture land, mainly in the tropics and subtropics. Some temperate and mediterranean data are present.",Improved fallow,Other system,arable land without trees,Land use without trees,Landscape features management,L3X+R13X,"Agroforestry (L3X), Land laying fallow (R13X)"
Agroforestry practices and systems,10.1016/j.agee.2016.04.011,"arable land and pasture land, mainly in the tropics and subtropics. Some temperate and mediterranean data are present.",Intercropping,Silvoarable systems,arable land without trees,Land use without trees,Landscape features management,L32X,Silvicultural systems (L32X)
Agroforestry practices and systems,10.1016/j.agee.2016.04.011,"arable land and pasture land, mainly in the tropics and subtropics. Some temperate and mediterranean data are present.",Shaded perennial-crop systems,Other system,arable land without trees,Land use without trees,Landscape features management,L32X,Silvicultural systems (L32X)
Agroforestry practices and systems,10.1016/j.agee.2016.04.011,"arable land and pasture land, mainly in the tropics and subtropics. Some temperate and mediterranean data are present.",Agroforestry (all types),All agroforestry types (aggregated),Agricultural land with assumed 0 C sequestration rate,Land use without trees,Landscape features management,L3X,Agroforestry (L3X)
Green manure,10.1016/j.fcr.2009.11.014,Maize in SubSaharan Africa,"Fertilization using cover crops as green manure (sunhemp, velvetbean, sesbania, gliciridia)",Cover crop as green manure,"Bare soil without mineral-N fertilization
",No cover crop,Fertilisation and soil amendments,F44+S23X,Use of green manure  (F44) Cover crops (S23X)
Leguminous crops,10.1016/j.fcr.2009.11.014,Maize,"Fertilization using cover crops as green manure (sunhemp, velvetbean, sesbania, gliciridia)",Legume cover crops/green manure,"Bare soil without mineral-N fertilization
",No cover crop,Crop rotation and diversification,R121+F44+S23X,Cultivation of Nitrogen fixing/protein crops (R121) Use of green manure  (F44) Cover crops (S23X)
Intercropping,10.1016/j.eja.2019.125987,Multiple crops,Intercropping,Crop mixture cropping,Monoculture,monoculture,Crop rotation and diversification,R15,Mixed cropping / intercropping  (R15)
Leguminous crops,10.1016/j.eja.2019.125987,Multiple crops,Intercropping with legumes,Legumes in intercropping/mixed cropping,Monoculture,No intercropping,Crop rotation and diversification,R121+R15,Cultivation of Nitrogen fixing/protein crops (R121) Mixed cropping / intercropping  (R15)
Leguminous crops,10.1016/j.eja.2019.125987,Multiple crops,Intercropping with non-legumes,Non-legumes in intercropping/mixed cropping,Monoculture,No intercropping,Crop rotation and diversification,R15,Mixed cropping / intercropping  (R15)
Green manure,10.1016/j.jaridenv.2011.10.011,"Millet, sorghum and maize in West Africa",Fertilization using cover crops as green manure,Cover crop as green manure,Bare soil without mineral-N fertilization,No cover crop,Fertilisation and soil amendments,F44+S23X,Use of green manure  (F44) Cover crops (S23X)
Green manure,10.1016/j.jaridenv.2011.10.011,"Millet, sorghum and maize in West Africa",Fertilization using cover crops as green manure,Cover crop as green manure,Bare soil without mineral-N fertilization,No cover crop,Fertilisation and soil amendments,F44+S23X,Use of green manure  (F44) Cover crops (S23X)
Green manure,10.1016/j.jaridenv.2011.10.011,"Millet, sorghum and maize in West Africa",Fertilization using cover crops as green manure,Cover crop as green manure,Bare soil without mineral-N fertilization,No cover crop,Fertilisation and soil amendments,F44+S23X,Use of green manure  (F44) Cover crops (S23X)
Organic fertilisation,10.1111/gcb.12438,Arable land and pastureland,Fertilisation using manure alone,Organic fertilisation,No fertilisation,No fertilisation,Fertilisation and soil amendments,F111|,Ban on organic fertiliser (F111)
Livestock feeding techniques,10.1371/journal.pone.0246922,Dairy cattle,Slow-release urea (SRU) supplementation,Urea,No SRU supplementation,No urea,Animal husbandry,A14,Feed additives (A14)
Livestock feeding techniques,10.1371/journal.pone.0246922,Dairy cattle,Slow-release urea (SRU) supplementation,Urea,No SRU supplementation,No urea,Animal husbandry,A14,Feed additives (A14)
Peatland conservation and restoration,10.1002/ece3.2469,Northern peatlands,Natural peatlands,Conservation of natural peatland,Drained peatland,Drained peatland,Landscape features management,L512+W174|,Peatland maintenance and conservation (L512)  + Drainage installation (W174)
Peatland conservation and restoration,10.1002/ece3.2469,Northern peatlands,Rewetted peatland,Restoration by management of water regime,Drained peatland,Drained peatland,Landscape features management,L522+W171,Peatland restoration (L522) + Drainage ban (W171)
Crop rotation,10.2135/cropsci2017.02.0079,Wheat and canola,Wheat-canola rotation,Diversified rotation,Monocropping,Simplified rotation,Crop rotation and diversification,R11,Crop rotation (R11)
Landscape features,10.1016/j.jaridenv.2011.10.011,Cereals in West Africa,Parkland trees,Isolated trees,No trees,No isolated trees,Landscape features management,L11X,Hedgerows/individual or group of trees/ trees in line (L11X)
Landscape features,10.1016/j.jaridenv.2011.10.011,Cereals in West Africa,Coppicing trees,Trees in group,No coppicing trees,No trees in group or field copses,Landscape features management,L11X,Hedgerows/individual or group of trees/ trees in line (L11X)
Landscape features,10.1016/j.jaridenv.2011.10.011,Cereals in West Africa,Coppicing trees,Trees in group,No coppicing trees,No trees in group or field copses,Landscape features management,L11X,Hedgerows/individual or group of trees/ trees in line (L11X)
Leguminous crops,10.1016/j.jaridenv.2011.10.011,Maize grain and straw dry matter yields,Fertilization using cover crops as green manure,Legume cover crops/green manure,Bare soil without mineral-N fertilization,No cover crop,Crop rotation and diversification,R121+F44+S23X,Cultivation of Nitrogen fixing/protein crops (R121) Use of green manure  (F44) Cover crops (S23X)
Leguminous crops,10.1016/j.jaridenv.2011.10.011,Millet grain and straw dry matter yields,Fertilization using cover crops as green manure,Legume cover crops/green manure,Bare soil without mineral-N fertilization,No cover crop,Crop rotation and diversification,R121+F44+S23X,Cultivation of Nitrogen fixing/protein crops (R121) Use of green manure  (F44) Cover crops (S23X)
Leguminous crops,10.1016/j.jaridenv.2011.10.011,Sorghum grain and straw dry matter yields,Fertilization using cover crops as green manure,Legume cover crops/green manure,Bare soil without mineral-N fertilization,No cover crop,Crop rotation and diversification,R121+F44+S23X,Cultivation of Nitrogen fixing/protein crops (R121) Use of green manure  (F44) Cover crops (S23X)
Leguminous crops,10.1016/j.jaridenv.2011.10.011,Millet,Agroforestry coppicing leguminous trees.,Legumes in agroforestry,Arable fields without leguminous trees,No agroforestry,Crop rotation and diversification,L32X+R121,Silvicultural systems (L32X) Cultivation of Nitrogen fixing/protein crops (R121)
Leguminous crops,10.1016/j.jaridenv.2011.10.011,Sorghum,Agroforestry coppicing leguminous trees.,Legumes in agroforestry,Arable fields without leguminous trees,No agroforestry,Crop rotation and diversification,L32X+R121,Silvicultural systems (L32X) Cultivation of Nitrogen fixing/protein crops (R121)
Leguminous crops,10.1016/j.jaridenv.2011.10.011,Maize,Agroforestry coppicing leguminous trees.,Legumes in agroforestry,Arable fields without leguminous trees,No agroforestry,Crop rotation and diversification,L32X+R121,Silvicultural systems (L32X) Cultivation of Nitrogen fixing/protein crops (R121)
Organic fertilisation,10.1016/j.agee.2016.11.021,Perennial and annual cropping systems,Organic amendments,Organic fertilisation,No fertilisation,No fertilisation,Fertilisation and soil amendments,F111|,Ban on organic fertiliser (F111)
Crop rotation,10.4141/CJSS2013-094,Agricultural soils,Corn + 1 or more crops,Diversified rotation,Continuous corn,Simplified rotation,Crop rotation and diversification,R11,Crop rotation (R11)
Crop rotation,10.4141/CJSS2013-094,Agricultural soils,Corn + 1 or more crops,Diversified rotation,Continuous corn,Simplified rotation,Crop rotation and diversification,R11,Crop rotation (R11)
Crop rotation,10.4141/CJSS2013-094,Agricultural soils,Corn + 1 or more crops,Diversified rotation,Continuous corn,Simplified rotation,Crop rotation and diversification,R11,Crop rotation (R11)
No tillage and reduced tillage,10.1007/s13593-016-0354-1,Organic system,All reduced tillage systems,Reduced tillage,Deep inversion,Conventional tillage,Soil management,S11,Low tillage (S11)
No tillage and reduced tillage,10.1007/s13593-016-0354-1,Organic system,Double-layer ploughing,Reduced tillage,Deep inversion,Conventional tillage,Soil management,S11,Low tillage (S11)
No tillage and reduced tillage,10.1007/s13593-016-0354-1,Organic system,Non-inversion (<10 cm),Reduced tillage,Deep inversion,Conventional tillage,Soil management,S11,Low tillage (S11)
No tillage and reduced tillage,10.1007/s13593-016-0354-1,Organic system,Non-inversion (10-25 cm),Reduced tillage,Deep inversion,Conventional tillage,Soil management,S11,Low tillage (S11)
No tillage and reduced tillage,10.1007/s13593-016-0354-1,Organic system,Shallow inversion (<25cm),Reduced tillage,Deep inversion,Conventional tillage,Soil management,S11,Low tillage (S11)
Pesticides reduction strategies,10.1371/journal.pone.0200131,Cotton and maize systems,Genetically modified crop,GM crop,Non-GM crop,Non-GM crop,Plant protection,P11,Biological control (P11)
