"sustainability_outcome","impact_matrix","impact_positive_effect","metric_std2","metric","metric_positive_effect","metric_unit","doi","fpid"
"GHG emissions","GHG emissions","Decrease","Methane emission (soil)","CH4 emission","decrease","CH4 kg /ha /year","10.1016/j.agee.2016.04.011","Agroforestry practices and systems"
"GHG emissions","GHG emissions","Decrease","Aggregated GHGs emission (soil)","CH4+N2O emissions (CO2 eq,kg ha-1 y-1)","decrease","CO2-eq kg /ha /year","10.1016/j.agee.2016.04.011","Agroforestry practices and systems"
"GHG emissions","GHG emissions","Decrease","Nitrous oxide emission (soil)","N2O emissions","decrease","CO2-eq kg /ha /year","10.1016/j.agee.2016.04.011","Agroforestry practices and systems"
"GHG emissions","GHG emissions","Decrease","Net carbon-GHG balance","Net carbon-GHG balance (MgCO2eq /ha /year)","decrease","CO2-eq kg /ha /year","10.1016/j.agee.2016.04.011","Agroforestry practices and systems"
"Carbon sequestration","Carbon sequestration","Increase","Organic carbon sequestration rate (soil + aboveground + belowground biomass)","Total carbon sequestration rate in biomass and soil (MgCO2eq /ha /year)","Increase","CO2-eq t /ha /year","10.1016/j.agee.2016.04.011","Agroforestry practices and systems"
"Agricultural production","Crop yield","Increase","Yield gaps","Probability distribution of yield gaps (or yield risk)","decrease",NA,"10.1016/j.fcr.2009.11.014","Green manure"
"Agricultural production","Crop yield","Increase","Crop yield","Overall yield gain (NE, difference between the observed yield and the expected yield)","increase",NA,"10.1016/j.eja.2019.125987","Intercropping"
"Agricultural production","Crop yield","Increase","Crop yield (grain)","Maize grain and straw dry matter yields","increase",NA,"10.1016/j.jaridenv.2011.10.011","Green manure"
"Agricultural production","Crop yield","Increase","Crop yield","Millet grain and straw dry matter yields","increase",NA,"10.1016/j.jaridenv.2011.10.011","Green manure"
"Agricultural production","Crop yield","Increase","Crop yield","Sorghum grain and straw dry matter yields","increase",NA,"10.1016/j.jaridenv.2011.10.011","Green manure"
"Carbon sequestration","Carbon sequestration","Increase","Organic carbon stock (soil)","Soil organic carbon stock","increase",NA,"10.1111/gcb.12438","Organic fertilisation"
"GHG emissions","Global warming potential (LCA)","Decrease","Global warming potential","Carbon footprint","decrease","CO2-eq g /kg milk","10.1371/journal.pone.0246922","Livestock feeding techniques"
"Agricultural production","Crop yield","Increase","Crop yield","Wheat-canola yield","increase",NA,"10.2135/cropsci2017.02.0079","Crop rotation"
"Agricultural production","Crop yield","Increase","Crop yield","Crop yield (all crops)","increase",NA,"10.1016/j.jaridenv.2011.10.011","Landscape features"
"Agricultural production","Crop yield","Increase","Crop yield","Crop yield (millet and maize)","increase",NA,"10.1016/j.jaridenv.2011.10.011","Landscape features"
"Agricultural production","Crop yield","Increase","Crop yield","Crop yield (sorghum)","increase",NA,"10.1016/j.jaridenv.2011.10.011","Landscape features"
"Agricultural production","Crop yield","Increase","Crop yield","Arable crop yield","Increase",NA,"10.1016/j.jaridenv.2011.10.011","Leguminous crops"
"GHG emissions","GHG emissions","Decrease","Nitrous oxide emission (organic fertilisers)","N2O EF","decrease",NA,"10.1016/j.agee.2016.11.021","Organic fertilisation"
"Carbon sequestration","Carbon sequestration","Increase","Organic carbon sequestration rate (soil)","Soil organic C rate","increase","C g /m2 /year","10.4141/CJSS2013-094","Crop rotation"
"Carbon sequestration","Carbon sequestration","Increase","Organic carbon stock (soil)","Net soil organic change (Mg C ha-1)","increase","C t /ha","10.4141/CJSS2013-094","Crop rotation"
"Carbon sequestration","Carbon sequestration","Increase","Organic carbon stock (soil)","Relative soil organic C change (%)","increase","C t /ha","10.4141/CJSS2013-094","Crop rotation"
"Carbon sequestration","Carbon sequestration","Increase","Organic carbon stock (soil)","SOC stock","increase",NA,"10.1007/s13593-016-0354-1","No tillage and reduced tillage"
"Pollution","Pesticide use","Decrease","Number of herbicide applications","Number of herbicide applications","decrease",NA,"10.1371/journal.pone.0200131","Pesticides reduction strategies"
"Sustainable use of resources","Water use","Decrease","Water use efficiency","Water use efficiency","increase",NA,"10.1016/j.jclepro.2017.10.269","Mulching"
"Agricultural production","Crop yield","Increase","Crop yield","Harvest index","increase",NA,"10.1016/j.jclepro.2017.10.269","Mulching"
"Pollution","Plastic residues","Decrease","Plastic film residues","Plastic film residues","decrease",NA,"10.1016/j.jclepro.2017.10.269","Mulching"
"Carbon sequestration","Carbon sequestration","Increase","Organic carbon content (soil)","Soil organic carbon","increase",NA,"10.1016/j.jclepro.2017.10.269","Mulching"
"Soil health","Soil nutrients","Increase","Soil nitrogen","Soil total nitrogen","increase",NA,"10.1016/j.jclepro.2017.10.269","Mulching"
"GHG emissions","Global warming potential (LCA)","Decrease","Global warming potential","Yield-scaled GHG emissions","decrease",NA,"10.1016/j.jclepro.2017.10.269","Mulching"
"Pollution","Pesticide use","Decrease","Number of pesticide applications","Number of pesticide applications","decrease",NA,"10.1016/j.biocon.2018.11.020","Pesticides reduction strategies"
"Soil health","Soil nutrients","Increase","Soil nitrogen","N stock","increase",NA,"10.1111/gcb.13513","No tillage and reduced tillage"
"Sustainable use of resources","Energy use (LCA)","Decrease","Energy use","Energy use efficiency","increase",NA,"10.1016/j.jenvman.2015.07.021","Organic farming systems"
"GHG emissions","Global warming potential (LCA)","Decrease","Global warming potential","Greenhouse gas emissions (overall) per unit of product (large majority) and per unit of area (few)","decrease",NA,"10.1016/j.jenvman.2015.07.021","Organic farming systems"
"Soil health","Soil biological quality","Increase","Functional parameters (mychorrhizal fungi)","Arbuscular mycorrhizal colonization","increase",NA,"10.1111/j.1469-8137.2005.01490.x","Crop rotation"
"Agricultural production","Animal production","Increase","Weight gain","Average daily gain","increase","Avg. daily gain g /day","10.1016/j.livsci.2021.104707","Livestock feeding techniques"
"Agricultural production","Animal production","Increase","Feed digestibility","Acid detergent fiber digestibility","increase","ACDF Acid detergent fiber digestibility g /kg ADFI","10.1088/1755-1315/788/1/012028","Livestock feeding techniques"
"Sustainable use of resources","Nutrient excretion","Decrease","Nitrogen excretion","Manure N excretion","decrease","N excretion g /day / cow","10.1371/journal.pone.0246922","Livestock feeding techniques"
"Sustainable use of resources","Nutrient excretion","Decrease","Nitrogen excretion","Manure N excretion intensity","decrease","N excretion g /kg milk","10.1371/journal.pone.0246922","Livestock feeding techniques"
"Agricultural production","Animal production","Increase","Feed digestibility","Organic matter digestibility","increase","Organic matter digestibility (g/kg)","10.1088/1755-1315/788/1/012028","Livestock feeding techniques"
"Agricultural production","Animal production","Increase","Feed digestibility","Neutral detergent fiber digestibility","increase","NDFD g /kg NDFI","10.1088/1755-1315/788/1/012028","Livestock feeding techniques"
"Agricultural production","Animal production","Increase","Feed efficiency","Feed efficiency","increase","FCM (kg / day) / DMI (kg/day) (FCM=Fat-corrected milk; DMI=Dry matter intake)","10.1371/journal.pone.0246922","Livestock feeding techniques"
"Agricultural production","Animal production","Increase","Feed digestibility","Dry matter digestibility","increase","DMD g /kg DMI","10.1088/1755-1315/788/1/012028","Livestock feeding techniques"
"GHG emissions","GHG emissions","Decrease","Methane emission (enteric fermentation)","CH4 production","decrease","CH4 L /day","10.1016/j.smallrumres.2023.106919","Livestock feeding techniques"
"GHG emissions","GHG emissions","Decrease","Methane emission (enteric fermentation)","Methane emissions/unit of dry matter intake","decrease","CH4 L /kg DMI","10.1088/1755-1315/788/1/012028","Livestock feeding techniques"
"Agricultural production","Animal production","Increase","Feed digestibility","N digestibility (%)","increase","%","10.1016/j.livsci.2021.104707","Livestock feeding techniques"
"Sustainable use of resources","Nutrient excretion","Decrease","Nitrogen excretion","Urinary N excretion","decrease","N urinary g /kg DMI","10.3390/fermentation8060254","Livestock feeding techniques"
"GHG emissions","GHG emissions","Decrease","Methane emission (enteric fermentation)","CH4 yield","decrease","CH4 g /kg DMI","10.1016/j.smallrumres.2023.106919","Livestock feeding techniques"
"GHG emissions","GHG emissions","Decrease","Methane emission (enteric fermentation)","Total CH4 emission","decrease","CH4 g /day","10.1016/j.livsci.2021.104707","Livestock feeding techniques"
"Agricultural production","Animal production","Increase","Milk yield","Fat-corrected milk","increase","Fat-corrected milk (FCM) kg /day","10.1371/journal.pone.0246922","Livestock feeding techniques"
"Agricultural production","Animal production","Increase","Feed digestibility","Crude protein digestibility","increase","CPD g /kg CPI","10.1088/1755-1315/788/1/012028","Livestock feeding techniques"
"Agricultural production","Animal production","Increase","Milk yield","Milk yield","increase","Milk kg /day","10.1371/journal.pone.0246922","Livestock feeding techniques"
"Agricultural production","Animal production","Increase","Feed intake","Dry matter intake","increase","DMI kg /day","10.4141/CJAS07112","Livestock feeding techniques"
"Agricultural production","Animal production","Increase","Weight gain","Body weight gain","increase","Body weight kg","10.1016/j.livsci.2021.104707","Livestock feeding techniques"
"Agricultural production","Animal production","Increase","Feed efficiency","Nitrogen use efficiency","increase","NUE (%) (g N in milk /g N in DMI)","10.1371/journal.pone.0246922","Livestock feeding techniques"
"Agricultural production","Animal production","Increase","Milk yield","Milk production","increase","Milk kg /day","10.4141/CJAS07112","Livestock feeding techniques"
"Sustainable use of resources","Nutrient excretion","Decrease","Nitrogen excretion","Fecal N excretion","decrease","N Fecal g /day","10.1016/j.smallrumres.2023.106919","Livestock feeding techniques"
"GHG emissions","GHG emissions","Decrease","Methane emission (enteric fermentation)","CH4 emission g/kg DM","decrease","CH4 g /kg DMI","10.3390/fermentation8060254","Livestock feeding techniques"
"Soil health","Soil nutrients","Increase","Soil nitrogen","Mineralisation of native soil N","decrease",NA,"10.1016/j.apsoil.2017.03.011","Organic fertilisation"
"Agricultural production","Crop yield","Increase","Crop yield","Crop yield","increase",NA,"10.1016/j.agwat.2019.06.008","Water-saving irrigation practices in non-flooded lands"
"Carbon sequestration","Carbon sequestration","Increase","Organic carbon content (soil)","SOC (depth: 0-10 cm)","increase",NA,"10.1016/j.agee.2010.08.006","No tillage and reduced tillage"
"Carbon sequestration","Carbon sequestration","Increase","Organic carbon content (soil)","SOC (depth: 11-40 cm)","increase",NA,"10.1016/j.agee.2010.08.006","No tillage and reduced tillage"
"Carbon sequestration","Carbon sequestration","Increase","Organic carbon content (soil)","SOC (depth: below 40 cm)","increase",NA,"10.1016/j.agee.2010.08.006","No tillage and reduced tillage"
"Agricultural production","Crop yield","Increase","Crop yield","Cereal/oilseed rape yield","increase",NA,"10.1016/j.agsy.2018.07.016","Leguminous crops"
"GHG emissions","Global warming potential (LCA)","Decrease","Global warming potential","GHG emissions","decrease",NA,"10.1016/j.agsy.2018.07.016","Leguminous crops"
"Carbon sequestration","Carbon sequestration","Increase","Organic carbon stock (soil)","Priming effect: the increase in CO2 efflux derived from non‐biochar C pool compared to CO2 efflux in the control treatment (without PyOM amendment).","decrease",NA,"10.1111/gcbb.12194","Soil amendment with biochar"
"Soil health","Soil erosion","Decrease","Soil erosion parameters","Soil loss","decrease","kg-sediments /km2 OR kg-sediment /area /time","10.1016/j.earscirev.2012.08.003","Landscape features"
"Soil health","Soil erosion","Decrease","Soil erosion parameters","Runoff","decrease","m3 or mm on a given area","10.1016/j.earscirev.2012.08.003","Landscape features"
"Carbon sequestration","Carbon sequestration","Increase","Organic carbon content (soil)","SOC content (equivalent soil mass method)","increase","equivalent soil mass method","10.1016/j.earscirev.2017.12.015","No tillage and reduced tillage"
"Carbon sequestration","Carbon sequestration","Increase","Organic carbon sequestration rate (soil)","Changes in C sequestration rates","increase",NA,"10.1016/j.jclepro.2020.121470","Mulching"
"Carbon sequestration","Carbon sequestration","Increase","Organic carbon sequestration rate (soil)","Changes in SOC stocks","increase",NA,"10.1016/j.jclepro.2020.121470","Mulching"
"Agricultural production","Crop yield","Increase","Net primary productivity","Changes in the aboveground net primary productivity","increase",NA,"10.1016/j.jclepro.2020.121470","Mulching"
"Carbon sequestration","Carbon sequestration","Increase","Organic carbon content (soil)","SOC","increase",NA,"10.1007/s10533-004-0360-2","No tillage and reduced tillage"
"Agricultural production","Crop yield","Increase","Crop yield","Cash crop yield","Increase",NA,"10.2134/agronj2017.12.0752","Cover and catch crops"
"Biodiversity","Pests and diseases","Decrease","weed","Weed biomass","Decrease",NA,"10.2134/agronj2017.12.0752","Cover and catch crops"
"Biodiversity","Pests and diseases","Decrease","weed","Weed density","Decrease",NA,"10.2134/agronj2017.12.0752","Cover and catch crops"
"GHG emissions","GHG emissions","Decrease","Net carbon-GHG balance","GHG emissions per yield unit","decrease",NA,"10.1016/j.agsy.2021.103095","Soil amendment with lime and gypsum"
"Agricultural production","Crop yield","Increase","Crop yield","Cash crop yield (rice)","increase",NA,"10.1016/j.fcr.2022.108504","Leguminous crops"
"GHG emissions","GHG emissions","Decrease","Nitrous oxide emission (soil)","N2O emission","decrease",NA,"10.1111/gcb.15796","Crop residue management"
"Soil health","Soil nutrients","Increase","Soil nitrogen","Soil nitrogen","Increase",NA,"10.1007/978-3-319-58789-9_4","Leguminous crops"
"GHG emissions","GHG emissions","Decrease","Aggregated GHGs emission (soil)","N2O and CH4 emissions","decrease",NA,"10.1111/gcb.15796","No tillage and reduced tillage"
"GHG emissions","GHG emissions","Decrease","Aggregated GHGs emission (soil)","Net greenhouse gas budget","decrease",NA,"10.1111/gcb.15796","No tillage and reduced tillage"
"Carbon sequestration","Carbon sequestration","Increase","Organic carbon sequestration rate (soil)","Soil organic carbon sequestration rate","increase","C t /ha /year","10.1111/gcb.15796","No tillage and reduced tillage"
"GHG emissions","GHG emissions","Decrease","Net soil GHG budget (soil carbon, nitrous oxide, methane)","Net greenhouse gas budget (i.e., sum of carbon dioxide-equivalents CO2eq) from soil organic carbon sequestration rate, methane and nitrous oxide emissions in croplands)","decrease",NA,"10.1111/gcb.15796","Water-saving irrigation practices in flooded lands"
"Agricultural production","Animal production","Increase","Milk yield","Milk solids yield (kg/d)","increase","Milk solids kg /day","10.3168/jds.2012-5923","Livestock feeding techniques"
"GHG emissions","GHG emissions","Decrease","Methane emission (soil)","CH4 emission per unit of area","decrease",NA,"10.1016/j.scitotenv.2013.08.098","Organic farming systems"
"GHG emissions","GHG emissions","Decrease","Methane emission (soil)","CH4 emission per unit of product","decrease",NA,"10.1016/j.scitotenv.2013.08.098","Organic farming systems"
"GHG emissions","GHG emissions","Decrease","Nitrous oxide emission (organic fertilisers)","N2O emission per unit of product","decrease",NA,"10.1016/j.scitotenv.2013.08.098","Organic farming systems"
"GHG emissions","GHG emissions","Decrease","Nitrous oxide emission (organic fertilisers)","N2O emission per unit of area","decrease","non-LCA impact per unit of land","10.1016/j.scitotenv.2013.08.098","Organic farming systems"
"Pollution","Water quality","Increase","Water quality parameters (aggregated)","Reduction of acute ecotoxicity","increase",NA,"10.2134/jeq2010.0510","Landscape features"
"Carbon sequestration","Carbon sequestration","Increase","Organic carbon content (soil)","SOC storage","increase",NA,"10.1007/s10533-011-9600-4","No tillage and reduced tillage"
"Carbon sequestration","Carbon sequestration","Increase","Organic carbon sequestration rate (soil)","Carbon sequestration rate","increase",NA,"10.2136/sssaj2002.1930","Crop rotation"
"Agricultural production","Animal production","Increase","Feed efficiency","Feed conversion","Increase",NA,"10.1371/journal.pone.0232853","Livestock housing techniques"
"Agricultural production","Animal production","Increase","Weight gain","Carcass weight","Increase",NA,"10.1016/j.livsci.2018.03.012","Livestock housing techniques"
"Agricultural production","Animal production","Increase","Feed efficiency","Feed conversion ratio","Increase",NA,"10.1016/j.livsci.2018.03.012","Livestock housing techniques"
"Agricultural production","Animal production","Increase","Egg production","Duration of egg production","Increase",NA,"10.1016/j.anireprosci.2020.106278","Livestock housing techniques"
"Agricultural production","Animal production","Increase","Egg production","Egg production","Increase",NA,"10.1016/j.anireprosci.2020.106278","Livestock housing techniques"
"Soil health","Soil biological quality","Increase","Taxonomic parameters (microbes)","Microbial carbon concentration","increase",NA,"10.2134/agronj2016.09.0553","Crop residue management"
"Soil health","Soil biological quality","Increase","Taxonomic parameters (microbes)","Microbial nitrogen concentration","increase",NA,"10.2134/agronj2016.09.0553","Crop residue management"
"Agricultural production","Animal production","Increase","Animal production parameters","Fertility","Increase",NA,"10.1016/j.anireprosci.2020.106278","Livestock housing techniques"
"Agricultural production","Animal production","Increase","Milk yield","Milk protein yield","increase","Milk protein g /day","10.1371/journal.pone.0246922","Livestock feeding techniques"
"GHG emissions","Global warming potential (LCA)","Decrease","Global warming potential","Carbon footprint of feed for milk production","decrease","CO2-eq g /kg milk","10.1371/journal.pone.0246922","Livestock feeding techniques"
"GHG emissions","Global warming potential (LCA)","Decrease","Global warming potential","Carbon footprint of feed","decrease","CO2-eq g /kg diet","10.1371/journal.pone.0246922","Livestock feeding techniques"
"Agricultural production","Animal production","Increase","Feed intake","Dry matter forage intake","increase","DMI forage kg /day","10.1016/j.tvjl.2021.105659","Livestock feeding techniques"
"Agricultural production","Animal production","Increase","Feed intake","NDF intake","increase","Neutral detergent fiber intake kg /day","10.1016/j.tvjl.2021.105659","Livestock feeding techniques"
"GHG emissions","GHG emissions","Decrease","Net carbon-GHG balance","Net change in C","decrease","t /m2 /hour","10.1186/2047-2382-3-5","Peatland conservation and restoration"
"GHG emissions","GHG emissions","Decrease","Net carbon-GHG balance","Reco (Ecosystem respiration)","decrease","t /m2 /hour","10.1186/2047-2382-3-5","Peatland conservation and restoration"
"Carbon sequestration","Carbon sequestration","Increase","Organic carbon content (soil)","SOC concentration (>30cm)","increase","C g /kg soil","10.1186/s13750-017-0108-9","No tillage and reduced tillage"
"Carbon sequestration","Carbon sequestration","Increase","Organic carbon content (soil)","SOC concentration (0-15cm)","increase","C g /kg soil","10.1186/s13750-017-0108-9","No tillage and reduced tillage"
"Carbon sequestration","Carbon sequestration","Increase","Organic carbon content (soil)","SOC concentration (15-30cm)","increase","C g /kg soil","10.1186/s13750-017-0108-9","No tillage and reduced tillage"
"Carbon sequestration","Carbon sequestration","Increase","Organic carbon stock (soil)","SOC stock (0-150cm)","increase","C g /kg soil","10.1186/s13750-017-0108-9","No tillage and reduced tillage"
"Carbon sequestration","Carbon sequestration","Increase","Organic carbon stock (soil)","SOC stock (0-30cm)","increase","C g /kg soil","10.1186/s13750-017-0108-9","No tillage and reduced tillage"
"GHG emissions","GHG emissions","Decrease","Methane emission (enteric fermentation)","Methane production per dry matter","decrease","CH4 g /kg DMI","10.1016/j.tvjl.2021.105659","Livestock feeding techniques"
"GHG emissions","GHG emissions","Decrease","Net ecosystem CO2 exchange","CO2 emission","decrease","t /m2 /hour","10.1038/s41558-021-01059-w","Peatland conservation and restoration"
"Soil health","Soil physico-chemical quality","Increase","Water drainage","Water drainage","increase","mm of precipitation","10.1007/s13593-018-0546-y","Cover and catch crops"
"Carbon sequestration","Carbon sequestration","Increase","Organic carbon sequestration rate (soil)","SOC sequestration rates","Increase","C t /ha /year","10.1016/j.agsy.2019.102736","Cover and catch crops"
"Agricultural production","Animal production","Increase","Weight gain","Final body weight","increase","Body weight kg","10.3390/fermentation8060254","Livestock feeding techniques"
"Carbon sequestration","Carbon sequestration","Increase","Organic carbon sequestration rate (soil)","Soil organic carbon stock. sampled depth was between 0.15 and 0.3 m and in a few cases 0.4 m. Converted to an annual rate of increase expressed as Mg C ha−1 yr−1 .","increase","C t /ha /year","10.1016/j.agee.2016.01.005","Conservation agriculture systems"
"GHG emissions","GHG emissions","Decrease","Methane emission (enteric fermentation)","Enteric methane production","decrease","CH4 kg /kg DMI","10.1016/j.algal.2023.103359","Livestock feeding techniques"
"GHG emissions","GHG emissions","Decrease","Methane emission (enteric fermentation)","CH4 yield  - Individual model","decrease","CH4 g /kg DMI","10.3168/jds.2022-22211","Livestock feeding techniques"
"GHG emissions","GHG emissions","Decrease","Methane emission (enteric fermentation)","CH4 intensity (g/kg ECM)  - Individual model","decrease","CH4 g /kg energy corrected milk (ECM)","10.3168/jds.2022-22211","Livestock feeding techniques"
"GHG emissions","GHG emissions","Decrease","Methane emission (enteric fermentation)","CH4 production (g/d) - Individual model","decrease","CH4 g /day","10.3168/jds.2022-22211","Livestock feeding techniques"
"Soil health","Soil biological quality","Increase","Taxonomic parameters (microbes)","Microbial species  richness (number of unique taxonomic sub-units)","increase","number of unique taxonomic sub-units","10.1016/j.pedobi.2016.04.001","Crop rotation"
"Soil health","Soil biological quality","Increase","Taxonomic parameters (microbes)","Microbial diversity (Shannon’s diversity index)","increase","Shannon's diversity index","10.1016/j.pedobi.2016.04.001","Leguminous crops"
"Soil health","Soil biological quality","Increase","Taxonomic parameters (microbes)","Microbial diversity (richness and relative abundance of unique taxonomic sub-units as calculated with the Shannon’s diversity index)","increase","Shannon’s diversity index or richness scores","10.1016/j.pedobi.2016.04.001","Crop rotation"
"Soil health","Soil biological quality","Increase","Taxonomic parameters (microbes)","Microbial diversity (Shannon’s diversity index or richness scores)","increase","Shannon’s diversity index or richness scores","10.1016/j.pedobi.2016.04.001","Crop rotation"
"Soil health","Soil biological quality","Increase","Taxonomic parameters (microbes)","Microbial richness","increase",NA,"10.1016/j.pedobi.2016.04.001","Leguminous crops"
"GHG emissions","GHG emissions","Decrease","Nitrous oxide emission (mineral fertilisers)","Percent change in yield-scaled N2O emissions","decrease",NA,"10.2136/sssaj2016.09.0281","Enhanced efficiency fertilisers"
"GHG emissions","Global warming potential (LCA)","Decrease","Global warming potential","Global warming potential (GWP)","decrease","CO2-eq kg /ha /year","10.1371/journal.pone.0148527","Crop rotation"
"Agricultural production","Cropping system productivity","Increase","Net primary productivity","Net effect for aboveground biomass (NEB)","increase",NA,"10.1007/s11104-020-04768-x","Intercropping"
"Agricultural production","Cropping system productivity","Increase","Crop yield","Net effect for yield (NEY)","increase",NA,"10.1007/s11104-020-04768-x","Intercropping"
"Agricultural production","Cropping system productivity","Increase","Net primary productivity","Net effect for biomass","increase",NA,"10.1007/s11104-020-04768-x","Leguminous crops"
"Agricultural production","Cropping system productivity","Increase","Crop yield","Net effect for crop yield","increase",NA,"10.1007/s11104-020-04768-x","Leguminous crops"
"Sustainable use of resources","Plant nutrient uptake","Increase","Land equivalent ratio for phosphorous uptake","Net effect on P uptake (NEP)","increase",NA,"10.1007/s11104-020-04768-x","Leguminous crops"
"Sustainable use of resources","Nutrients recovery","Increase","manure-phosphorous recovery","Phosphorous recovery","increase",NA,"10.1186/s13750-020-00211-x","Manure processing techniques"
"Biodiversity","Pollination","Increase","Functional parameters (pollinator)","Crop pollination service","increase",NA,"10.1111/ele.13576","Agroforestry practices and systems"
"Biodiversity","Pests and diseases","Decrease","Functional parameters (natural enemies)","Natural pest control service","increase",NA,"10.1111/ele.13576","Agroforestry practices and systems"
"Biodiversity","Pests and diseases","Decrease","Functional parameters (natural enemies)","Natural pest control service: abundance and richness","increase",NA,"10.1111/ele.13576","Landscape features"
"Biodiversity","Pests and diseases","Decrease","Functional parameters (natural enemies)","Natural enemies (abundance, diversity, predation/parasitism)","increase",NA,"10.1111/j.1461-0248.2011.01642.x","Landscape features"
"Biodiversity","Pests and diseases","Decrease","pest","Pests (abundance, diversity, population growth, plant damage)","decrease",NA,"10.1111/j.1461-0248.2011.01642.x","Landscape features"
"Biodiversity","Pollination","Increase","Functional parameters (pollinator)","Abundance of above-ground nesting bees","increase",NA,"10.1016/j.agee.2017.12.025","Landscape features"
"Biodiversity","Pollination","Increase","Functional parameters (pollinator)","Abundance of below-ground nesting bees","increase",NA,"10.1016/j.agee.2017.12.025","Landscape features"
"Biodiversity","Pollination","Increase","Functional parameters (pollinator)","Abundance of large bees","increase",NA,"10.1016/j.agee.2017.12.025","Landscape features"
"Biodiversity","Pollination","Increase","Functional parameters (pollinator)","Abundance of small bees","increase",NA,"10.1016/j.agee.2017.12.025","Landscape features"
"Biodiversity","Pollination","Increase","Functional parameters (pollinator)","Abundance of solitary bees","increase",NA,"10.1016/j.agee.2017.12.025","Landscape features"
"Biodiversity","Pollination","Increase","Functional parameters (pollinator)","Richness of above-ground nesting bees","increase",NA,"10.1016/j.agee.2017.12.025","Landscape features"
"Biodiversity","Pollination","Increase","Functional parameters (pollinator)","Richness of small bees","increase",NA,"10.1016/j.agee.2017.12.025","Landscape features"
"Biodiversity","Pollination","Increase","Functional parameters (pollinator)","Richness of solitary bees","increase",NA,"10.1016/j.agee.2017.12.025","Landscape features"
"Biodiversity","Pests and diseases","Decrease","crop damage or disease","Disease control","increase",NA,"10.1007/s10980-018-0673-5","Landscape features"
"Biodiversity","Pests and diseases","Decrease","pest","Pests response (abundance, diversity, population growth, plant damage)","decrease",NA,"10.1007/s10980-018-0673-5","Landscape features"
"Biodiversity","Pollination","Increase","Functional parameters (pollinator)","Pollination","increase",NA,"10.1007/s10980-018-0673-5","Landscape features"
"Pollution","Water quality","Increase","Water quality parameters (aggregated)","Water quality","increase",NA,"10.1007/s10980-018-0673-5","Landscape features"
