fpid,doi,population,intervention,control,metric,effect_size,impact_matrix,impact_positive_effect
Grassland management,10.1111/geb.13196,Semi-natural grasslands,No fertilisation,NK fertilisation + micronutrients,Plant biomass,Cohen's d (standardized difference) comparing the considered metrics between intervention and control,Grassland production,increase
Grassland management,10.1111/geb.13196,Semi-natural grasslands,No fertilisation,PK fertilisation + micronutrients,Plant biomass,Cohen's d (standardized difference) comparing the considered metrics between intervention and control,Grassland production,increase
Grassland management,10.1111/geb.13196,Semi-natural grasslands,No fertilisation,K fertilisation + micronutrients,Plant biomass,Cohen's d (standardized difference) comparing the considered metrics between intervention and control,Grassland production,increase
Wetland conservation and restoration,10.1002/aqc.889,Coastal estuaries invaded by Spartina alterniflora,Crushing and herbicide application,Before or no mechanical control,Density of Spartina species,Cohen's d (standardized difference) comparing the considered metrics between intervention and control,Pests and diseases,decrease
Wetland conservation and restoration,10.1002/aqc.889,Coastal estuaries invaded by Spartina alterniflora,Crushing only,Before or no mechanical control,Density of Spartina species,Cohen's d (standardized difference) comparing the considered metrics between intervention and control,Pests and diseases,decrease
Wetland conservation and restoration,10.1002/aqc.889,Coastal estuaries invaded by Spartina alterniflora,Cut and dalapon application,Before or no cutting,Density of Spartina species,Cohen's d (standardized difference) comparing the considered metrics between intervention and control,Pests and diseases,decrease
Wetland conservation and restoration,10.1002/aqc.889,Coastal estuaries invaded by Spartina anglica,Cut and dalapon application,Before or no cutting,Density of Spartina species,Cohen's d (standardized difference) comparing the considered metrics between intervention and control,Pests and diseases,decrease
Wetland conservation and restoration,10.1002/aqc.889,Coastal estuaries invaded by Spartina anglica,Cut and glyphosate application,Before or no cutting,Density of Spartina species,Cohen's d (standardized difference) comparing the considered metrics between intervention and control,Pests and diseases,decrease
Wetland conservation and restoration,10.1002/aqc.889,Coastal estuaries invaded by Spartina anglica,Cut and smother,Before or no cutting,Density of Spartina species,Cohen's d (standardized difference) comparing the considered metrics between intervention and control,Pests and diseases,decrease
Wetland conservation and restoration,10.1002/aqc.889,Coastal estuaries invaded by Spartina alterniflora,Cut only,Before or no cutting,Density of Spartina species,Cohen's d (standardized difference) comparing the considered metrics between intervention and control,Pests and diseases,decrease
Wetland conservation and restoration,10.1002/aqc.889,Coastal estuaries invaded by Spartina anglica,Cut only,Before or no cutting,Density of Spartina species,Cohen's d (standardized difference) comparing the considered metrics between intervention and control,Pests and diseases,decrease
Wetland conservation and restoration,10.1002/aqc.889,Coastal estuaries invaded by Spartina alterniflora,Disking,Before or no mechanical control,Density of Spartina species,Cohen's d (standardized difference) comparing the considered metrics between intervention and control,Pests and diseases,decrease
Wetland conservation and restoration,10.1002/aqc.889,Coastal estuaries invaded by Spartina anglica,Glyphosate only,Before or no herbicide application,Density of Spartina species,Cohen's d (standardized difference) comparing the considered metrics between intervention and control,Pests and diseases,decrease
Wetland conservation and restoration,10.1002/aqc.889,Coastal estuaries invaded by Spartina alterniflora,"Glyphosate, aerial applied",Before or no herbicide application,Density of Spartina species,Cohen's d (standardized difference) comparing the considered metrics between intervention and control,Pests and diseases,decrease
Wetland conservation and restoration,10.1002/aqc.889,Coastal estuaries invaded by Spartina alterniflora,"Glyphosate, ground applied",Before or no herbicide application,Density of Spartina species,Cohen's d (standardized difference) comparing the considered metrics between intervention and control,Pests and diseases,decrease
Wetland conservation and restoration,10.1002/aqc.889,Coastal estuaries invaded by Spartina alterniflora,"Glyphosate, ground applied (no weter)",Before or no herbicide application,Density of Spartina species,Cohen's d (standardized difference) comparing the considered metrics between intervention and control,Pests and diseases,decrease
Wetland conservation and restoration,10.1002/aqc.889,Coastal estuaries invaded by Spartina alterniflora,"Glyphosate, ground applied with wetter/surfactant",Before or no herbicide application,Density of Spartina species,Cohen's d (standardized difference) comparing the considered metrics between intervention and control,Pests and diseases,decrease
Wetland conservation and restoration,10.1002/aqc.889,Coastal estuaries invaded by Spartina anglica,"Glyphosate, with mixture B surfactant",Before or no herbicide application,Density of Spartina species,Cohen's d (standardized difference) comparing the considered metrics between intervention and control,Pests and diseases,decrease
Wetland conservation and restoration,10.1002/aqc.889,Coastal estuaries invaded by Spartina anglica,"Glyphosate, with R–11 surfactant",Before or no herbicide application,Density of Spartina species,Cohen's d (standardized difference) comparing the considered metrics between intervention and control,Pests and diseases,decrease
Wetland conservation and restoration,10.1002/aqc.889,Coastal estuaries invaded by Spartina alterniflora,"Herbicide treatment (2,2,-DPA)",Before or no herbicide application,Density of Spartina species,Cohen's d (standardized difference) comparing the considered metrics between intervention and control,Pests and diseases,decrease
Wetland conservation and restoration,10.1002/aqc.889,Coastal estuaries invaded by Spartina alterniflora,Herbicide treatment (Amitrole-T),Before or no herbicide application,Density of Spartina species,Cohen's d (standardized difference) comparing the considered metrics between intervention and control,Pests and diseases,decrease
Wetland conservation and restoration,10.1002/aqc.889,Coastal estuaries invaded by Spartina alterniflora,Herbicide treatment (Diuron),Before or no herbicide application,Density of Spartina species,Cohen's d (standardized difference) comparing the considered metrics between intervention and control,Pests and diseases,decrease
Wetland conservation and restoration,10.1002/aqc.889,Coastal estuaries invaded by Spartina alterniflora,Horse and cattle herbivory,Before or no herbivory,Density of Spartina species,Cohen's d (standardized difference) comparing the considered metrics between intervention and control,Pests and diseases,decrease
Wetland conservation and restoration,10.1002/aqc.889,Coastal estuaries invaded by Spartina alterniflora,Imazapyr only,Before or no herbicide application,Density of Spartina species,Cohen's d (standardized difference) comparing the considered metrics between intervention and control,Pests and diseases,decrease
Wetland conservation and restoration,10.1002/aqc.889,Coastal estuaries invaded by Spartina alterniflora,Imazapyr with wetter/surfactant,Before or no herbicide application,Density of Spartina species,Cohen's d (standardized difference) comparing the considered metrics between intervention and control,Pests and diseases,decrease
Wetland conservation and restoration,10.1002/aqc.889,Coastal estuaries invaded by Spartina alterniflora,Paraquat,Before or no herbicide application,Density of Spartina species,Cohen's d (standardized difference) comparing the considered metrics between intervention and control,Pests and diseases,decrease
Wetland conservation and restoration,10.1002/aqc.889,Coastal estuaries invaded by Spartina alterniflora,Winter tilling,Before or no mechanical control,Density of Spartina species,Cohen's d (standardized difference) comparing the considered metrics between intervention and control,Pests and diseases,decrease
Leguminous crops,10.1038/s41598-020-74736-z,Grassland,P fertilization in grassland/legumes mixtures or in grassland monoculture,Grass monoculture without P fertilization,Grassland yield,Difference of the considered metrics between intervention and control,Grassland production,increase
Leguminous crops,10.1016/j.agee.2016.01.005,Multiple crops,Legume replacing rice in the rice–wheat rotation or legumes included in maize-wheat rotation,Non-legume in rotations,Annual rate of increase of soil organic carbon,Difference of the considered metrics between intervention and control,Carbon sequestration,increase
Intercropping,10.1016/j.eja.2017.09.009,Multiple crops,Intercropping,Monoculture,Yield stability (Coefficient of variation - %CV),Difference of the considered metrics between intervention and control,Crop yield,increase
Green manure,10.1007/s11104-008-9547-y,"Maize in West, East and Southern Africa",Fertilization using legume cover crops as green manure,Bare soil without mineral-N fertilization,Maize grain yield,Difference of the considered metrics between intervention and control,Crop yield,increase
Organic farming systems,10.1111/gcb.13513,Long-term studies (minimum 5 years) assessing the performance of organic systems in comparison to conventional systems.,"Organic agriculture: a cropping system in which inorganic fertilizers are largely replaced with organic amendments (including farm yard manure and green manure) and in which synthetic pesticides are generally not used (overall practices vary widely, depending upon local guidelines).",Conventional systems,"Stock of Nitrogen, Phosphorous and Sulfur in soil",Difference of the considered metrics between intervention and control,Soil nutrients,increase
Organic farming systems,10.1111/gcb.13513,Long-term studies (minimum 5 years) assessing the performance of organic systems in comparison to conventional systems.,"Organic agriculture: a cropping system in which inorganic fertilizers are largely replaced with organic amendments (including farm yard manure and green manure) and in which synthetic pesticides are generally not used (overall practices vary widely, depending upon local guidelines).",Conventional systems,Stock of organic carbon in soil,Difference of the considered metrics between intervention and control,Carbon sequestration,increase
Agroforestry practices and systems,10.1016/j.agee.2016.04.011,"Arable land and pasture land, mainly in the tropics and subtropics. Some temperate and mediterranean data are present.",Agroforestry (all tree-crop co-existence types),Agricultural land with assumed 0 C sequestration rate,Aboveground biomass carbon sequestration rate,Difference of the considered metrics between intervention and control,Carbon sequestration,increase
Agroforestry practices and systems,10.1016/j.agee.2016.04.011,"arable land and pasture land, mainly in the tropics and subtropics. Some temperate and mediterranean data are present.",Rotational agroforestry,Agricultural land with assumed 0 C sequestration rate,Aboveground biomass carbon sequestration rate,Difference of the considered metrics between intervention and control,Carbon sequestration,increase
Agroforestry practices and systems,10.1016/j.agee.2016.04.011,"arable land and pasture land, mainly in the tropics and subtropics. Some temperate and mediterranean data are present.",Home gardens,Agricultural land with assumed 0 C sequestration rate,belowground + aboveground biomass carbon sequestration rate,Difference of the considered metrics between intervention and control,Carbon sequestration,increase
Agroforestry practices and systems,10.1016/j.agee.2016.04.011,"arable land and pasture land, mainly in the tropics and subtropics. Some temperate and mediterranean data are present.",Live fences,Agricultural land with assumed 0 C sequestration rate,belowground + aboveground biomass carbon sequestration rate,Difference of the considered metrics between intervention and control,Carbon sequestration,increase
Agroforestry practices and systems,10.1016/j.agee.2016.04.011,"arable land and pasture land, mainly in the tropics and subtropics. Some temperate and mediterranean data are present.",Agroforestry (all tree-crop co-existence types),Agricultural land with assumed 0 C sequestration rate,Belowground biomass carbon sequestration rate,Difference of the considered metrics between intervention and control,Carbon sequestration,increase
Agroforestry practices and systems,10.1016/j.agee.2016.04.011,"arable land and pasture land, mainly in the tropics and subtropics. Some temperate and mediterranean data are present.",Rotational agroforestry,Agricultural land with assumed 0 C sequestration rate,Belowground biomass carbon sequestration rate,Difference of the considered metrics between intervention and control,Carbon sequestration,increase
Agroforestry practices and systems,10.1016/j.agee.2016.04.011,"arable land and pasture land, mainly in the tropics and subtropics. Some temperate and mediterranean data are present.",Agroforestry (all tree-crop co-existence types),Agricultural land with assumed 0 C sequestration rate,SOC sequestration rate,Difference of the considered metrics between intervention and control,Carbon sequestration,increase
Agroforestry practices and systems,10.1016/j.agee.2016.04.011,"arable land and pasture land, mainly in the tropics and subtropics. Some temperate and mediterranean data are present.",Improved fallow,Agricultural land with assumed 0 C sequestration rate,soil + belowground + aboveground biomass carbon sequestration rate,Difference of the considered metrics between intervention and control,Carbon sequestration,increase
Agroforestry practices and systems,10.1016/j.agee.2016.04.011,"arable land and pasture land, mainly in the tropics and subtropics. Some temperate and mediterranean data are present.",Intercropping,Agricultural land with assumed 0 C sequestration rate,soil + belowground + aboveground biomass carbon sequestration rate,Difference of the considered metrics between intervention and control,Carbon sequestration,increase
Agroforestry practices and systems,10.1016/j.agee.2016.04.011,"arable land and pasture land, mainly in the tropics and subtropics. Some temperate and mediterranean data are present.",Rotational woodlots,Agricultural land with assumed 0 C sequestration rate,soil + belowground + aboveground biomass carbon sequestration rate,Difference of the considered metrics between intervention and control,Carbon sequestration,increase
Agroforestry practices and systems,10.1016/j.agee.2016.04.011,"arable land and pasture land, mainly in the tropics and subtropics. Some temperate and mediterranean data are present.",Shaded perennial-crop systems,Agricultural land with assumed 0 C sequestration rate,soil + belowground + aboveground biomass carbon sequestration rate,Difference of the considered metrics between intervention and control,Carbon sequestration,increase
Agroforestry practices and systems,10.1016/j.agee.2016.04.011,"arable land and pasture land, mainly in the tropics and subtropics. Some temperate and mediterranean data are present.",Silvopastoral agroforestry systems,Agricultural land with assumed 0 C sequestration rate,soil + belowground + aboveground biomass carbon sequestration rate,Difference of the considered metrics between intervention and control,Carbon sequestration,increase
Agroforestry practices and systems,10.1016/j.agee.2016.04.011,"arable land and pasture land, mainly in the tropics and subtropics. Some temperate and mediterranean data are present.","Tree plantations on arable land (sequential, not simultaneous)",Agricultural land without trees,soil + belowground + aboveground biomass carbon sequestration rate,Difference of the considered metrics between intervention and control,Carbon sequestration,increase
Agroforestry practices and systems,10.1016/j.agee.2016.04.011,"arable land and pasture land, mainly in the tropics and subtropics. Some temperate and mediterranean data are present.",Rotational agroforestry,Agricultural land with assumed 0 C sequestration rate,Soil carbon sequestration rate,Difference of the considered metrics between intervention and control,Carbon sequestration,increase
Agroforestry practices and systems,10.1016/j.agee.2016.04.011,"arable land and pasture land, mainly in the tropics and subtropics. Some temperate and mediterranean data are present.",Agroforestry (all types),arable land without trees,CH4 emission,Difference of the considered metrics between intervention and control,GHG emissions,decrease
Agroforestry practices and systems,10.1016/j.agee.2016.04.011,"arable land and pasture land, mainly in the tropics and subtropics. Some temperate and mediterranean data are present.",Improved fallow,arable land without trees,CH4 emission,Difference of the considered metrics between intervention and control,GHG emissions,decrease
Agroforestry practices and systems,10.1016/j.agee.2016.04.011,"arable land and pasture land, mainly in the tropics and subtropics. Some temperate and mediterranean data are present.",Shaded perennial-crop systems,arable land without trees,CH4 emission,Difference of the considered metrics between intervention and control,GHG emissions,decrease
Agroforestry practices and systems,10.1016/j.agee.2016.04.011,"arable land and pasture land, mainly in the tropics and subtropics. Some temperate and mediterranean data are present.",Agroforestry (all types),arable land without trees,CH4 emission,Difference of the considered metrics between intervention and control,GHG emissions,decrease
Agroforestry practices and systems,10.1016/j.agee.2016.04.011,"arable land and pasture land, mainly in the tropics and subtropics. Some temperate and mediterranean data are present.",Improved fallow,arable land without trees,CH4 emission,Difference of the considered metrics between intervention and control,GHG emissions,decrease
Agroforestry practices and systems,10.1016/j.agee.2016.04.011,"arable land and pasture land, mainly in the tropics and subtropics. Some temperate and mediterranean data are present.",Shaded perennial-crop systems,arable land without trees,CH4 emission,Difference of the considered metrics between intervention and control,GHG emissions,decrease
Agroforestry practices and systems,10.1016/j.agee.2016.04.011,"arable land and pasture land, mainly in the tropics and subtropics. Some temperate and mediterranean data are present.",Agroforestry (all types),arable land without trees,"CH4+N2O emissions (CO2 eq,kg ha-1 y-1)",Difference of the considered metrics between intervention and control,GHG emissions,decrease
Agroforestry practices and systems,10.1016/j.agee.2016.04.011,"arable land and pasture land, mainly in the tropics and subtropics. Some temperate and mediterranean data are present.",Intercropping,arable land without trees,"CH4+N2O emissions (CO2 eq,kg ha-1 y-1)",Difference of the considered metrics between intervention and control,GHG emissions,decrease
Agroforestry practices and systems,10.1016/j.agee.2016.04.011,"arable land and pasture land, mainly in the tropics and subtropics. Some temperate and mediterranean data are present.",Shaded perennial-crop systems,arable land without trees,"CH4+N2O emissions (CO2 eq,kg ha-1 y-1)",Difference of the considered metrics between intervention and control,GHG emissions,decrease
Agroforestry practices and systems,10.1016/j.agee.2016.04.011,"arable land and pasture land, mainly in the tropics and subtropics. Some temperate and mediterranean data are present.",Agroforestry (all types),arable land without trees,N2O emissions,Difference of the considered metrics between intervention and control,GHG emissions,decrease
Agroforestry practices and systems,10.1016/j.agee.2016.04.011,"arable land and pasture land, mainly in the tropics and subtropics. Some temperate and mediterranean data are present.",Improved fallow,arable land without trees,N2O emissions,Difference of the considered metrics between intervention and control,GHG emissions,decrease
Agroforestry practices and systems,10.1016/j.agee.2016.04.011,"arable land and pasture land, mainly in the tropics and subtropics. Some temperate and mediterranean data are present.",Intercropping,arable land without trees,N2O emissions,Difference of the considered metrics between intervention and control,GHG emissions,decrease
Agroforestry practices and systems,10.1016/j.agee.2016.04.011,"arable land and pasture land, mainly in the tropics and subtropics. Some temperate and mediterranean data are present.",Shaded perennial-crop systems,arable land without trees,N2O emissions,Difference of the considered metrics between intervention and control,GHG emissions,decrease
Agroforestry practices and systems,10.1016/j.agee.2016.04.011,"arable land and pasture land, mainly in the tropics and subtropics. Some temperate and mediterranean data are present.",Agroforestry (all types),arable land without trees,Net carbon-GHG balance (MgCO2eq /ha /year),Difference of the considered metrics between intervention and control,GHG emissions,decrease
Agroforestry practices and systems,10.1016/j.agee.2016.04.011,"arable land and pasture land, mainly in the tropics and subtropics. Some temperate and mediterranean data are present.",Agroforestry (all types),arable land without trees,N2O emissions,Difference of the considered metrics between intervention and control,GHG emissions,decrease
Agroforestry practices and systems,10.1016/j.agee.2016.04.011,"arable land and pasture land, mainly in the tropics and subtropics. Some temperate and mediterranean data are present.",Improved fallow,arable land without trees,N2O emissions,Difference of the considered metrics between intervention and control,GHG emissions,decrease
Agroforestry practices and systems,10.1016/j.agee.2016.04.011,"arable land and pasture land, mainly in the tropics and subtropics. Some temperate and mediterranean data are present.",Intercropping,arable land without trees,N2O emissions,Difference of the considered metrics between intervention and control,GHG emissions,decrease
Agroforestry practices and systems,10.1016/j.agee.2016.04.011,"arable land and pasture land, mainly in the tropics and subtropics. Some temperate and mediterranean data are present.",Shaded perennial-crop systems,arable land without trees,N2O emissions,Difference of the considered metrics between intervention and control,GHG emissions,decrease
Agroforestry practices and systems,10.1016/j.agee.2016.04.011,"arable land and pasture land, mainly in the tropics and subtropics. Some temperate and mediterranean data are present.",Agroforestry (all types),Agricultural land with assumed 0 C sequestration rate,Total carbon sequestration rate in biomass and soil (MgCO2eq /ha /year),Difference of the considered metrics between intervention and control,Carbon sequestration,increase
Green manure,10.1016/j.fcr.2009.11.014,Maize in SubSaharan Africa,"Fertilization using cover crops as green manure (sunhemp, velvetbean, sesbania, gliciridia)","Bare soil without mineral-N fertilization
",Probability distribution of yield gaps (or yield risk),Difference of the considered metrics between intervention and control,Crop yield,increase
Leguminous crops,10.1016/j.fcr.2009.11.014,Maize,"Fertilization using cover crops as green manure (sunhemp, velvetbean, sesbania, gliciridia)","Bare soil without mineral-N fertilization
",Probability distribution of yield gaps (or yield risk),Difference of the considered metrics between intervention and control,Crop yield,increase
Intercropping,10.1016/j.eja.2019.125987,Multiple crops,Intercropping,Monoculture,"Overall yield gain (NE, difference between the observed yield and the expected yield)",Difference of the considered metrics between intervention and control,Crop yield,increase
Leguminous crops,10.1016/j.eja.2019.125987,Multiple crops,Intercropping with legumes,Monoculture,"Overall yield gain (NE, difference between the observed yield and the expected yield)",Difference of the considered metrics between intervention and control,Crop yield,increase
Leguminous crops,10.1016/j.eja.2019.125987,Multiple crops,Intercropping with non-legumes,Monoculture,"Overall yield gain (NE, difference between the observed yield and the expected yield)",Difference of the considered metrics between intervention and control,Crop yield,increase
Green manure,10.1016/j.jaridenv.2011.10.011,"Millet, sorghum and maize in West Africa",Fertilization using cover crops as green manure,Bare soil without mineral-N fertilization,Maize grain and straw dry matter yields,Difference of the considered metrics between intervention and control,Crop yield,increase
Green manure,10.1016/j.jaridenv.2011.10.011,"Millet, sorghum and maize in West Africa",Fertilization using cover crops as green manure,Bare soil without mineral-N fertilization,Millet grain and straw dry matter yields,Difference of the considered metrics between intervention and control,Crop yield,increase
Green manure,10.1016/j.jaridenv.2011.10.011,"Millet, sorghum and maize in West Africa",Fertilization using cover crops as green manure,Bare soil without mineral-N fertilization,Sorghum grain and straw dry matter yields,Difference of the considered metrics between intervention and control,Crop yield,increase
Organic fertilisation,10.1111/gcb.12438,Arable land and pastureland,Fertilisation using manure alone,No fertilisation,Soil organic carbon stock,Difference of the considered metrics between intervention and control,Carbon sequestration,increase
Livestock feeding techniques,10.1371/journal.pone.0246922,Dairy cattle,Slow-release urea (SRU) supplementation,No SRU supplementation,Carbon footprint,Difference of the considered metrics between intervention and control,Global warming potential (LCA),decrease
Livestock feeding techniques,10.1371/journal.pone.0246922,Dairy cattle,Slow-release urea (SRU) supplementation,No SRU supplementation,Carbon footprint,Difference of the considered metrics between intervention and control,Global warming potential (LCA),decrease
Peatland conservation and restoration,10.1002/ece3.2469,Northern peatlands,Natural peatlands,Drained peatland,CH4 emission,Difference of the considered metrics between intervention and control,GHG emissions,decrease
Peatland conservation and restoration,10.1002/ece3.2469,Northern peatlands,Rewetted peatland,Drained peatland,CH4 emission,Difference of the considered metrics between intervention and control,GHG emissions,decrease
Crop rotation,10.2135/cropsci2017.02.0079,Wheat and canola,Wheat-canola rotation,Monocropping,Wheat-canola yield,Difference of the considered metrics between intervention and control,Crop yield,increase
Landscape features,10.1016/j.jaridenv.2011.10.011,Cereals in West Africa,Parkland trees,No trees,Crop yield (all crops),Difference of the considered metrics between intervention and control,Crop yield,increase
Landscape features,10.1016/j.jaridenv.2011.10.011,Cereals in West Africa,Coppicing trees,No coppicing trees,Crop yield (millet and maize),Difference of the considered metrics between intervention and control,Crop yield,increase
Landscape features,10.1016/j.jaridenv.2011.10.011,Cereals in West Africa,Coppicing trees,No coppicing trees,Crop yield (sorghum),Difference of the considered metrics between intervention and control,Crop yield,increase
Leguminous crops,10.1016/j.jaridenv.2011.10.011,Maize grain and straw dry matter yields,Fertilization using cover crops as green manure,Bare soil without mineral-N fertilization,Maize grain and straw dry matter yields,Difference of the considered metrics between intervention and control,Crop yield,increase
Leguminous crops,10.1016/j.jaridenv.2011.10.011,Millet grain and straw dry matter yields,Fertilization using cover crops as green manure,Bare soil without mineral-N fertilization,Millet grain and straw dry matter yields,Difference of the considered metrics between intervention and control,Crop yield,increase
Leguminous crops,10.1016/j.jaridenv.2011.10.011,Sorghum grain and straw dry matter yields,Fertilization using cover crops as green manure,Bare soil without mineral-N fertilization,Sorghum grain and straw dry matter yields,Difference of the considered metrics between intervention and control,Crop yield,increase
Leguminous crops,10.1016/j.jaridenv.2011.10.011,Millet,Agroforestry coppicing leguminous trees.,Arable fields without leguminous trees,Arable crop yield,Difference of the considered metrics between intervention and control,Crop yield,increase
Leguminous crops,10.1016/j.jaridenv.2011.10.011,Sorghum,Agroforestry coppicing leguminous trees.,Arable fields without leguminous trees,Arable crop yield,Difference of the considered metrics between intervention and control,Crop yield,increase
Leguminous crops,10.1016/j.jaridenv.2011.10.011,Maize,Agroforestry coppicing leguminous trees.,Arable fields without leguminous trees,Arable crop yield,Difference of the considered metrics between intervention and control,Crop yield,increase
Organic fertilisation,10.1016/j.agee.2016.11.021,Perennial and annual cropping systems,Organic amendments,No fertilisation,N2O EF,Difference of the considered metrics between intervention and control,GHG emissions,decrease
Crop rotation,10.4141/CJSS2013-094,Agricultural soils,Corn + 1 or more crops,Continuous corn,Soil organic C rate,Difference of the considered metrics between intervention and control,Carbon sequestration,increase
Crop rotation,10.4141/CJSS2013-094,Agricultural soils,Corn + 1 or more crops,Continuous corn,Net soil organic change (Mg C ha-1),Difference of the considered metrics between intervention and control,Carbon sequestration,increase
Crop rotation,10.4141/CJSS2013-094,Agricultural soils,Corn + 1 or more crops,Continuous corn,Relative soil organic C change (%),Difference of the considered metrics between intervention and control,Carbon sequestration,increase
No tillage and reduced tillage,10.1007/s13593-016-0354-1,Organic system,All reduced tillage systems,Deep inversion,SOC stock,Difference of the considered metrics between intervention and control,Carbon sequestration,increase
No tillage and reduced tillage,10.1007/s13593-016-0354-1,Organic system,Double-layer ploughing,Deep inversion,SOC stock,Difference of the considered metrics between intervention and control,Carbon sequestration,increase
No tillage and reduced tillage,10.1007/s13593-016-0354-1,Organic system,Non-inversion (<10 cm),Deep inversion,SOC stock,Difference of the considered metrics between intervention and control,Carbon sequestration,increase
No tillage and reduced tillage,10.1007/s13593-016-0354-1,Organic system,Non-inversion (10-25 cm),Deep inversion,SOC stock,Difference of the considered metrics between intervention and control,Carbon sequestration,increase
No tillage and reduced tillage,10.1007/s13593-016-0354-1,Organic system,Shallow inversion (<25cm),Deep inversion,SOC stock,Difference of the considered metrics between intervention and control,Carbon sequestration,increase
Pesticides reduction strategies,10.1371/journal.pone.0200131,Cotton and maize systems,Genetically modified crop,Non-GM crop,Number of herbicide applications,Difference of the considered metrics between intervention and control,Pesticide use,decrease
Mulching,10.1016/j.jclepro.2017.10.269,Maize,Plastic film mulching,No mulching,Water use efficiency,Difference of the considered metrics between intervention and control,Water use,decrease
Mulching,10.1016/j.jclepro.2017.10.269,Wheat,Plastic film mulching,No mulching,Water use efficiency,Difference of the considered metrics between intervention and control,Water use,decrease
Mulching,10.1016/j.jclepro.2017.10.269,Wheat,Plastic mulching,No mulching,Harvest index,Difference of the considered metrics between intervention and control,Crop yield,increase
Mulching,10.1016/j.jclepro.2017.10.269,Maize,Plastic mulching,No mulching,Harvest index,Difference of the considered metrics between intervention and control,Crop yield,increase
Mulching,10.1016/j.jclepro.2017.10.269,Wheat,Plastic mulching,No mulching,Plastic film residues,Difference of the considered metrics between intervention and control,Plastic residues,decrease
Mulching,10.1016/j.jclepro.2017.10.269,Wheat,Plastic mulching,No mulching,Soil organic carbon,Difference of the considered metrics between intervention and control,Carbon sequestration,increase
