"doi","authors","year","title","reference","type"
"10.1016/j.atmosenv.2018.12.046","gu, jx; nie, hh; guo, hj; xu, hh; gunnathorn, t","2019","nitrous oxide emissions from fruit orchards: a review","ATMOSPHERIC ENVIRONMENT, 201, 166-172.","meta-analysis"
"10.2489/jswc.69.6.471","basche, ad; miguez, fe; kaspar, tc; castellano, mj;","2014","do cover crops increase or decrease nitrous oxide emissions? a meta-analysis","JOURNAL OF SOIL AND WATER CONSERVATION, 69, 471-482.","meta-analysis"
"10.1007/s11356-020-08322-1","bai, xl; zhang, zb; cui, jj; liu, zj; chen, zj; zhou, jb","2020","strategies to mitigate nitrate leaching in vegetable production in china: a meta-analysis","ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH, 27, 18382-18391.","meta-analysis"
"10.1007/s13593-016-0397-3","wortman, sam e.","2016","weedy fallow as an alternative strategy for reducing nitrogen loss from annual cropping systems","Agronomy for Sustainable Development 61","meta-analysis"
"10.1016/j.catena.2020.105085","liu, r; thomas, b; shi, xj; zhang, xl; wang, zc; zhang, yt","2021","effects of ground cover management on improving water and soil conservation in tree crop systems: a meta-analysis","CATENA, 199, 105085.","meta-analysis"
"10.1002/ael2.20022","nicholas, v; martinez-feria, r; weisberger, d; carlson, s; basso, b; basche, a","2020","cover crops and weed suppression in the us midwest: a meta-analysis and modeling study","AGR ENV LETT 2020;5, e20022","meta-analysis"
"10.2135/cropsci2018.09.0589","osipitan oa, dille ja, assefa y, radicetti e, ayeni a, knezevic sz","2019","impact of cover crop management on level of weed suppression: a meta-analysis","Crop Science 59, 3, 833-842","meta-analysis"
"10.1016/j.geoderma.2020.114696","muhammad, i; wang, j; sainju, um; zhang, sh; zhao, fz; khan, a","2021","cover cropping enhances soil microbial biomass and affects microbial community structure: a meta-analysis","Geoderma 381, 114696","meta-analysis"
"10.1016/j.soilbio.2019.107701","kim, n; zabaloy, mc; guan, ky; villamil, mb","2020","do cover crops benefit soil microbiome? a meta-analysis of current research","SOIL BIOLOGY & BIOCHEMISTRY, 142,  107701.","meta-analysis"
"10.1016/j.soilbio.2021.108383","puissant, j; villenave, c; chauvin, c; plassard, c; blanchart, e; trap, j","2021","quantification of the global impact of agricultural practices on soil nematodes: a meta-analysis","SOIL BIOLOGY AND BIOCHEMISTRY, 161, 108383.","meta-analysis"
"10.1111/1365-2664.12815","bowles, tm; jackson, le; loeher, m; cavagnaro, tr","2017","ecological intensification and arbuscular mycorrhizas: a meta-analysis of tillage and cover crop effects","JOURNAL OF APPLIED ECOLOGY, 54, 6, 1785-1793.","meta-analysis"
"10.1016/j.scitotenv.2020.139517","chen, j; xiao, hb; li, zw; liu, c; ning, k; tang, cj","2020","how effective are soil and water conservation measures (swcms) in reducing soil and water losses in the red soil hilly region of china? a meta-analysis of field plot data","SCIENCE OF THE TOTAL ENVIRONMENT, 735, 139517.","meta-analysis"
"10.2136/sssaj2017.07.0245","mahal, nk; castellano, mj; miguez, fe","2018","conservation agriculture practices increase potentially mineralizable nitrogen: a meta-analysis","SOIL SCI SOC AM J,  82, 1270–1278","meta-analysis"
"10.5586/aa.1662","pecio, a; jarosz, z","2016","long-term effects of soil management practices on selected indicators of chemical soil quality.","ACTA AGROBOTANICA, 69, 1–18.","meta-analysis"
"10.1371/journal.pone.0215702","basche, ad; delonge, ms","2019","comparing infiltration rates in soils managed with conventional and alternative farming methods: a meta-analysis","PLOS ONE, 14(9), e0215702.","meta-analysis"
"10.2136/sssaj2017.03.0077","basche, ad; delonge, ms","2017","the impact of continuous living cover on soil hydrologic properties: a meta-analysis","SOIL SCI SOC AM J, 81, 5, 1179-1190","meta-analysis"
"10.1007/s13593-018-0546-y","meyer, n; bergez, je; constantin, j; justes, e","2019","cover crops reduce water drainage in temperate climates: a meta-analysis","Agronomy for Sustainable Development 39, 3","meta-analysis"
"10.1016/j.agee.2016.08.019","pan, bb; lam, sk; mosier, a; luo, yq; chen, dl;","2016","ammonia volatilization from synthetic fertilizers and its mitigation strategies: a global synthesis","AGRICULTURE, ECOSYSTEMS AND ENVIRONMENT, 232, 283-289.","meta-analysis"
"10.1016/j.envpol.2021.117844","sha, zp; liu, hj; wang, jx; ma, x; liu, xj; misselbrook, t","2021","improved soil-crop system management aids in nh3 emission mitigation in china","ENVIRONMENTAL POLLUTION, 289, 117844.","meta-analysis"
"10.1016/j.still.2021.105142","yangjin, dz; wu, xw; bai, h; gu, jx","2021","a meta-analysis of management practices for simultaneously mitigating n2o and no emissions from agricultural soils","SOIL AND TILLAGE RESEARCH, 213, 105142.","meta-analysis"
"10.1111/gcb.14466","xia l., lam s.k., wolf b., kiese r., chen d., butterbach-bahl k.","2018","trade-offs between soil carbon sequestration and reactive nitrogen losses under straw return in global agroecosystems","GLOBAL CHANGE BIOLOGY, 24(12), 5919-5932.","meta-analysis"
"10.1002/ldr.3492","zhao x., liu b.-y., liu s.-l., qi j.-y., wang x., pu c., li s.-s., zhang x.-z., yang x.-g., lal r., chen f., zhang h.-l.","2020","sustaining crop production in china's cropland by crop residue retention: a meta-analysis","LAND DEGRADATION & DEVELOPMENT, 31(6), 694-709.","meta-analysis"
"10.1007/s10705-017-9903-5","chen, ys; camps-arbestain, m; shen, qh; singh, b; cayuela, ml","2018","the long-term role of organic amendments in building soil nutrient fertility: a meta-analysis and review","NUTRIENT CYCLING IN AGROECOSYSTEMS, 111, 103-125.","meta-analysis"
"10.1007/s10705-019-09991-2","miao f., li y., cui s., jagadamma s., yang g., zhang q.","2019","soil extracellular enzyme activities under long-term fertilisation management in the croplands of china: a meta-analysis","NUTRIENT CYCLING IN AGROECOSYSTEMS, 114, 125–138.","meta-analysis"
"10.1007/s11104-021-04881-5","xu s., sayer e.j., eisenhauer n., lu x., wang j., liu c.","2021","aboveground litter inputs determine carbon storage across soil profiles: a meta-analysis","PLANT AND SOIL, 462, 429-444.","meta-analysis"
"10.1016/j.agee.2021.107795","dang p., li c., lu c., zhang m., huang t., wan c., wang h., chen y., qin x., liao y., siddique k.h.m.","2022","effect of fertiliser management on the soil bacterial community in agroecosystems across the globe","AGRICULTURE, ECOSYSTEMS AND ENVIRONMENT, 326, 107795.","meta-analysis"
"10.1016/j.scitotenv.2022.154626","zhang f., chen x., yao s., ye y., zhang b.","2022","responses of soil mineral-associated and particulate organic carbon to carbon input: a meta-analysis","SCIENCE OF THE TOTAL ENVIRONMENT, 829, 154626.","meta-analysis"
"10.1016/j.scitotenv.2022.156822","bohoussou y.n., kou y.-h., yu w.-b., lin b.-j., virk a.l., zhao x., dang y.p., zhang h.-l.","2022","impacts of the components of conservation agriculture on soil organic carbon and total nitrogen storage: a global meta-analysis","SCIENCE OF TOTAL ENVIRONMENT,	842, 156822.","meta-analysis"
"10.1016/j.still.2022.105527","lv l., gao z., liao k., zhu q., zhu j.","2023","impact of conservation tillage on the distribution of soil nutrients with depth","SOIL AND TILLAGE RESEARCH, 225, 105527.","meta-analysis"
"10.1038/s41598-021-82739-7","gross a., glaser b.","2021","meta‐analysis on how manure application changes soil organic carbon storage","SCIENTIFIC REPORT, 11, 5516.","meta-analysis"
"10.1111/1745-5871.12389","abdalla k., mutema m., hill t.","2020","soil and organic carbon losses from varying land uses: a global meta-analysis","GEOGRAPHICAL RESEARCH, 58, 167-185.","meta-analysis"
"10.1111/gcbb.12631","xu h., sieverding h., kwon h., clay d., stewart c., johnson j.m.f., qin z., karlen d.l., wang m.","2019","a global meta-analysis of soil organic carbon response to corn stover removal","GLOBAL CHANGE BIOLOGY & BIOENERGY, 11(10), 1215-1233.","meta-analysis"
"10.17221/155/2020-SWR","wang q., liu x., li j., yang x., guo z.","2021","straw application and soil organic carbon change: a meta-analysis","SOIL AND WATER RESEARCH, 16, 112-120.","meta-analysis"
"10.1007/s13593-022-00766-8","liu, by; liu, ws; lin, bj; liu, wx; han, sw; zhao, x; zhang, hl","2022","sustainable management practices to improve the water use efficiency of winter wheat in the north china plain: a meta-analysis","AGRONOMY FOR SUSTAINABLE DEVELOPMENT, 42, 33.","meta-analysis"
"10.1016/j.agee.2018.07.019","wang m., pendall e., fang c., li b., nie m.","2018","a global perspective on agroecosystem nitrogen cycles after returning crop residue","AGRICULTURE, ECOSYSTEMS AND ENVIRONMENT, 266, 49-54.","meta-analysis"
"10.1016/j.agwat.2020.106119","zheng, hf; shao, rx; xue, yf; ying, h; yin, yl; cui, zl; yang, qh","2020","water productivity of irrigated maize production systems in northern china: a meta-analysis","AGRICULTURAL WATER MANAGEMENT, 234, 106119.","meta-analysis"
"10.1016/j.agwat.2021.107128","qin x., huang t., lu c., dang p., zhang m., guan x.-k., wen p.-f., wang t.-c., chen y., siddique k.h.m.","2021","benefits and limitations of straw mulching and incorporation on maize yield, water use efficiency, and nitrogen use efficiency","AGRICULTURAL WATER MANAGEMENT, 256, 107128.","meta-analysis"
"10.1016/j.fcr.2018.08.001","ding, wc; xu, xp; he, p; ullah, s; zhang, jj; cui, zl; zhou, w","2018","improving yield and nitrogen use efficiency through alternative fertilisation options for rice in china: a meta-analysis","FIELD CROPS RESEARCH, 227, 11 - 18.","meta-analysis"
"10.1111/gcb.15796","shang, zy; abdalla, m; xia, ll; zhou, f; sun, wj; smith, p","2021","can cropland management practices lower net greenhouse emissions without compromising yield?","GLOBAL CHANGE BIOLOGY, 27(19), 4657-4670.","meta-analysis"
"10.1371/journal.pone.0231740","lu x.","2020","a meta-analysis of the effects of crop residue return on crop yields and water use efficiency","PLOS ONE, 15(4), e0231740.","meta-analysis"
"10.3390/ijerph19127324","gu, xy; weng, sm; li, ye; zhou, xq","2022","effects of water and fertilizer management practices on methane emissions from paddy soils: synthesis and perspective","INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH, 19(12), 7324.","meta-analysis"
"10.3390/land11050645","yang p., dong w., heinen m., qin w., oenema o.","2022","soil compaction prevention, amelioration and alleviation measures are effective in mechanized and smallholder agriculture: a meta-analysis","LAND, 11(5), 645.","meta-analysis"
"10.1007/s13593-021-00715-x","li, zj; reichel, r; xu, zf; vereecken, h; bruggemann, n","2021","return of crop residues to arable land stimulates n2o emission but mitigates no3- leaching: a meta-analysis","AGRONOMY FOR SUSTAINABE DEVELOPMENT, 41(5), 66.","meta-analysis"
"10.1016/j.scitotenv.2021.152532","abalos d., rittl t.f., recous s., thiébeau p., topp c.f.e., van groenigen k.j., butterbach-bahl k., thorman r.e., smith k.e., ahuja i., olesen j.e., bleken m.a., rees r.m., hansen s.","2022","predicting field n2o emissions from crop residues based on their biochemical composition: a meta-analytical approach","SCIENCE OF TOTAL ENVIRONMENT, 812, 152532.","meta-analysis"
"10.1016/j.scitotenv.2022.154388","abalos d., recous s., butterbach-bahl k., de notaris c., rittl t.f., topp c.f.e., petersen s.o., hansen s., bleken m.a., rees r.m., olesen j.e.","2022","a review and meta-analysis of mitigation measures for nitrous oxide emissions from crop residues","SCIENCE OF TOTAL ENVIRONMENT,	828, 154388.","meta-analysis"
"10.2134/jeq2017.11.0445","linquist b.a., marcos m., arlene adviento-borbe m., anders m., harrell d., linscombe s., reba m.l., runkle b.r.k., tarpley l., thomson a.","2018","greenhouse gas emissions and management practices that affect emissions in us rice systems","JOURNAL OF ENVIRONMENTAL QUALITY, 47(3), 395-409.","meta-analysis"
"10.3390/agriculture10110546","essich l., nkebiwe p.m., schneider m., ruser r.","2020","is crop residue removal to reduce n2o emissions driven by quality or quantity? a field study and meta-analysis","AGRICULTURE, 10, 546","meta-analysis"
"10.3390/su11030748","hu n., chen q., zhu l.","2019","the responses of soil n2o emissions to residue returning systems: a meta-analysis","SUSTAINABILITY, 11(3), 748.","meta-analysis"
"10.1007/s11368-019-02498-x","peiris p.u.s., li y., brown p., xu c.","2020","efficacy of organic amendments to control meloidogyne spp. in crops: a systematic review and meta-analysis","JOURNAL OF SOILS AND SEDIMENTS, 20(3),	1584-1598.","meta-analysis"
"10.1016/j.jclepro.2019.119632","liu, by; zhao, x; li, ss; zhang, xz; virk, al; qi, jy; kan, zr; wang, x; ma, st; zhang, hl","2020","meta-analysis of management-induced changes in nitrogen use efficiency of winter wheat in the north china plain","JOURNAL OF CLEANER PRODUCTION, 251, 119632.","meta-analysis"
"10.1016/j.resconrec.2021.105889","liu, by; lin, bj; li, xx; virk, al; n'dri yves, b; zhao, x; dang, yp; zhang, hl","2021","appropriate farming practices of summer maize in the north china plain: reducing nitrogen use to promote sustainable agricultural development","RESOURCES, CONSERVATION AND RECYCLING, 175, 105889.","meta-analysis"
"10.1002/clen.202000386","wang q., cao x., jiang h., guo z.","2021","straw application and soil microbial biomass carbon change: a meta-analysis","CLEAN - SOIL, AIR, WATER , 49(2), 2000386.","meta-analysis"
"10.1002/saj2.20261","xia y., wander m.","2021","responses of β-glucosidase, permanganate oxidizable carbon, and fluorescein diacetate hydrolysis to conservation practices","SOIL SCIENCES SOCIETY OF AMERICA JOURNAL, 85(5), 1649-1662.","meta-analysis"
"10.1016/j.scitotenv.2020.137164","li y., zhang q., cai y., yang q., chang s.x.","2020","minimum tillage and residue retention increase soil microbial population size and diversity: implications for conservation tillage","SCIENCE OF THE TOTAL ENVIRONMENT, 716, 137164.","meta-analysis"
"10.2134/agronj2016.09.0553","zhang q., miao f., wang z., shen y., wang g.","2017","effects of long-term fertilisation management practices on soil microbial biomass in china’s cropland: a meta-analysis","AGRONOMY, 109 (4), 1183-1195.","meta-analysis"
"10.1016/j.iswcr.2021.08.001","du, x; jian, js; du, c; stewart, rd","2022","conservation management decreases surface runoff and soil erosion","INTERNATIONAL SOIL AND WATER CONSERVATION RESEARCH, 10(2), 188-196.","meta-analysis"
"10.3390/agronomy12040890","he, zf; yang, xr; xiang, j; wu, zl; shi, xy; gui, y; liu, mq; kalkhajeh, yk; gao, hj; ma, c","2022","does straw returning amended with straw decomposing microorganism inoculants increase the soil major nutrients in china's farmlands?","AGRONOMY, 12(4), 890.","meta-analysis"
"10.1016/j.still.2019.06.009","li, y; li, z; cui, s; jagadamma, s; zhang, qp","2019","residue retention and minimum tillage improve physical environment of the soil in croplands: a global meta-analysis","SOIL AND TILLAGE RESEARCH, 194, 104292.","meta-analysis"
"10.1002/eap.1648","king, ae; blesh, j","2018","crop rotations for increased soil carbon: perenniality as a guiding principle","ECOL APPL,  28, 249-261.","meta-analysis"
"10.1007/s00374-021-01580-2","audette, y; congreves, ka; schneider, k; zaro, gc; nunes, alp; zhang, hj; voroney, rp","2021","the effect of agroecosystem management on the distribution of c functional groups in soil organic matter: a review","BIOL FERTIL SOILS, 57, 881–894.","meta-analysis"
"10.1890/13-0616.1","mcdaniel, md; tiemann, lk; grandy, as","2014","does agricultural crop diversity enhance soil microbial biomass and organic matter dynamics? a meta-analysis","ECOL APPL,  24, 560–570","meta-analysis"
"10.2136/sssaj2002.1930","west, to; post, wm","2002","soil organic carbon sequestration rates by tillage and crop rotation: a global data analysis","SOIL SCI SOC AM J, 66, 1930-1946","meta-analysis"
"10.2489/jswc.69.5.422","ugarte, cm; kwon, h; andrews, ss; wander, mm","2014","a meta-analysis of soil organic matter response to soil management practices: an approach to evaluate conservation indicators","JOURNAL OF SOIL WATER CONSERVATION, 69, 422-430.","meta-analysis"
"10.4141/CJSS2013-094","congreves, ka; smith, jm; nemeth, dd; hooker, dc; van eerd, ll","2014","soil organic carbon and land use: processes and potential in ontario's long-term agro-ecosystem research sites","CAN J SOIL SCI,  94, 317-336","meta-analysis"
"10.1016/j.fcr.2019.107659","zhao, j; yang, yd; zhang, k; jeong, j; zeng, zh; zang, hd","2020","does crop rotation yield more in china? a meta-analysis","FIELD CROPS RES, 245, 107659","meta-analysis"
"10.2135/cropsci2017.02.0079","assefa, y; prasad, pvv; foster, c; wright, y; young, s; bradley, p; stamm, m; ciampitti, ia","2018","major management factors determining spring and winter canola yield in north america","CROP SCI, 58, 1-16.","meta-analysis"
"ISBN: 978-1-63484-496-3","ma b.-l., wu w.","2016","crop productivity and environment impact in a maize-legume rotation system: a review","Crop rotations: farming practices, monitoring and environmental benefits. Nova Science Publisher Inc, New York, 1-33","meta-analysis"
"10.1021/es4055324","decock, c","2014","mitigating nitrous oxide emissions from corn cropping systems in the midwestern us: potential and data gaps","ENVIRONMENTAL SCIENCE AND TECHNOLOGY, 48(8), 4247–4256.","meta-analysis"
"10.1371/journal.pone.0148527","sainju, um","2016","a global meta-analysis on the impact of management practices on net global warming potential and greenhouse gas intensity from cropland soils","PLOS ONE, 11, e0148527","meta-analysis"
"10.1371/journal.pone.0219847","weisberger, d; nichols, v; liebman, m","2019","does diversifying crop rotations suppress weeds? a meta-analysis","PLOS ONE, 14, e0219847","meta-analysis"
"10.1016/j.pedobi.2016.04.001","venter, zs; jacobs, k; hawkins, hj","2016","the impact of crop rotation on soil microbial diversity: a meta-analysis","PEDOBIOLOGIA,  59, 215-223","meta-analysis"
"10.1111/j.1469-8137.2005.01490.x","lekberg, y; koide, rt","2005","is plant performance limited by abundance of arbuscular mycorrhizal fungi? a meta-analysis of studies published between 1988 and 2003","NEW PHYTOL, 168, 189-204.","meta-analysis"
"10.1007/s10705-012-9498-9","kim, dg; saggar, s; roudier, p","2012","the effect of nitrification inhibitors on soil ammonia emissions in nitrogen managed soils: a meta-analysis.","NUTRIENT CYCLING IN AGROECOSYSTEMS, 93(1), 51-64.","systematic review"
"10.1016/j.atmosenv.2020.117506","mazzetto, am; styles, d; gibbons, j; arndt, c; misselbrook, t; chadwick, d","2020","region-specific emission factors for brazil increase the estimate of nitrous oxide emissions from nitrogen fertiliser application by 21%","ATMOSPHERIC ENVIRONMENT, 230, 117506.","systematic review"
"10.1016/j.envpol.2018.10.124","ti, cp; xia, ll; chang, sx; yan, xy","2019","potential for mitigating global agricultural ammonia emission: a meta-analysis","ENVIRONMENTAL POLLUTION, 245, 141-148.","meta-analysis"
"10.1016/j.fcr.2016.04.023","huang, s; lv, ws; bloszies, s; shi, qh; pan, xh; zeng, yj","2016","effects of fertilizer management practices on yield-scaled ammonia emissions from croplands in china: a meta-analysis","FIELD CROPS RESEARCH, 192, 118-125.","meta-analysis"
"10.1016/j.jclepro.2020.123835","abdo, ai; shi, d; li, j; yang, t; wang, x; li, h; abdel-hamed, emw; merwad, arma; wang, l","2021","ammonia emission from staple crops in china as response to mitigation strategies and agronomic conditions: meta-analytic study","JOURNAL OF CLEANER PRODUCTION, 279 (10), 123835.","meta-analysis"
"10.1038/srep22075","yang, m; fang, yt; sun, d; shi, yl","2016","efficiency of two nitrification inhibitors (dicyandiamide and 3, 4-dimethypyrazole phosphate) on soil nitrogen transformations and plant productivity: a meta-analysis.","SCIENTIFIC REPORTS, 6, 22075.","meta-analysis"
"10.1111/gcb.12802","qiao, c.; liu, l.; hu, s.; compton, ja.; greaver, tl.; li, q.","2015","how inhibiting nitrification affects nitrogen cycle and reduces environmental impacts of anthropogenic nitrogen input.","GLOBAL CHANGE BIOLOGY, 21, 1249–1257.","meta-analysis"
"10.1111/gcb.13455","xia, ll; lam, sk; chen, dl; wang, jy; tang, q; yan, xy","2017","can knowledge-based n management produce more staple grain with lower greenhouse gas emission and reactive nitrogen pollution? a meta-analysis","GLOBAL CHANGE BIOLOGY, 23, 1917–1927.","meta-analysis"
"10.1111/gcb.13485","liu, sw; lin, f; wu, s; ji, c; sun, y; jin, yg; li, sq; li, zf; zou, jw","2017","a meta-analysis of fertilizer-induced soil no and combined no+n2o emissions","GLOBAL CHANGE BIOLOGY, 23(6), 2520-2532.","meta-analysis"
"10.1111/gcb.13918","li, t; zhang, w; yin, j, chadwick, d; norse, d; lu, y; liu, x; chen, x; zhang, f; powlson, d; dou, z","2017","enhanced-efficiency fertilizers are not a panacea for resolving the nitrogen problem","GLOBAL CHANGE BIOLOGY, 24(2), e511-e521.","meta-analysis"
"10.1111/j.1365-2486.2009.02031.x","akiyama, h; yan, xy; yagi, k","2010","evaluation of effectiveness of enhanced-efficiency fertilizers as mitigation options for n2o and no emissions from agricultural soils: meta-analysis","GLOBAL CHANGE BIOLOGY, 16(6), 1837-1846.","meta-analysis"
"10.2134/agronj2016.04.0200","silva, agb; sequeira, ch; sermarini, ra; otto, r","2017","urease inhibitor nbpt on ammonia volatilization and crop productivity: a meta-analysis","AGRONOMY JOURNAL, 109(1), 1-13.","systematic review"
"10.1016/j.agee.2016.01.044","abalos, d; jeffery, s; drury, cf; wagner-riddle, c","2016","improving fertilizer management in the us and canada for n2o mitigation: understanding potential positive and negative side-effects on corn yields","AGRICULTURE ECOSYSTEMS & ENVIRONMENT, 221, 214-221.","meta-analysis"
"10.1016/j.agee.2016.06.038","feng, jf; li, fb; deng, ax; feng, xm; fang, fp; zhang, wj","2016","integrated assessment of the impact of enhanced-efficiency nitrogen fertilizer on n2o emission and crop yield","AGRICULTURE ECOSYSTEMS & ENVIRONMENT, 231, 218-228.","meta-analysis"
"10.1016/j.agee.2017.10.008","rose, tj; wood, rh; rose, mt; van zwieten, l","2018","a re-evaluation of the agronomic effectiveness of the nitrification inhibitors dcd and dmpp and the urease inhibitor nbpt","AGRICULTURE ECOSYSTEMS & ENVIRONMENT, 252, 69-73.","meta-analysis"
"10.2136/sssaj2016.06.0179","thapa, r; chatterjee, a; awale, r; mcgranahan, da; daigh, a","2016","effect of enhanced efficiency fertilizers on nitrous oxide emissions and crop yields: a meta-analysis","SOIL SCIENCE SOCIETY OF AMERICA JOURNAL, 80(5), 1121-1134.","meta-analysis"
"10.22069/IJPP.2014.1371","hu, y; schraml, m; von tucher, s; li, f; schmidhalter, u","2013","influence of nitrification inhibitors on yields of arable crops: a meta-analysis of recent studies in germany.","INTERNATIONAL JOURNAL OF PLANT PRODUCTION, 8(1), 33-50.","meta-analysis"
"10.3390/su9071201","gao, wl; man, xm","2017","evaluation of the agronomic impacts on yield-scaled n2o emission from wheat and maize fields in china","SUSTAINABILITY, 9(7), 1201.","meta-analysis"
"10.1016/j.agee.2015.09.030","gilsanz, c; baez, d; misselbrook, th; dhanoa, ms; cardenas, lm","2016","development of emission factors and efficiency of two nitrification inhibitors, dcd and dmpp","AGRICULTURE ECOSYSTEMS AND ENVIRONMENT, 216, 1-8.","meta-analysis"
