B.Code,B.Author.Last,B.Date,B.Journal,B.New,B.DOI,B.Url,B.Project,B.Link1,B.Link2,B.Link3,B.Link4,era_snapshots_all,era_snapshot_harmonized,B.Version
AC0028,Zaro,2020,Agroforestry Systems,,10.1007/s10457-019-00450-z,,ERA 2023,,,,,ie,ie,V2.0.12
AC0029,Maltas,2009,Agronomy Journal,,10.2134/agronj2009.0055,,ERA 2023,,,,,ie,ie,V2.0.12
AC0030.1,Ndoli,2019,Experimental Agriculture,,10.1017/S0014479718000297,,ERA 2023,,,,,ie,ie,V2.0.14
AC0030.2,Ndoli,2019,Experimental Agriculture,,10.1017/S0014479718000297,,ERA 2023,,,,,ie,ie,V2.0.14
AC0031,Dimande,2023,Agronomy,,10.3390/agronomy13051367,,ERA 2023,,,,,ie,ie,V2.0.14
AC0032,Manzeke,2012,Plant and Soil,,10.1007/s11104-012-1332-2,,ERA 2023,,,,,ie,ie,V2.0.14
AC0033,Julius,2019,"Forests, Trees and Livelihoods",,10.1080/14728028.2019.1685410,,ERA 2023,,,,,ie,ie,V2.0.14
AC0034,Fatumah,2021,Heliyon,,10.1016/j.heliyon.2021.e06308,,ERA 2023,,,,,ie,ie,V2.0.14
AC0035,Ochire-Boadu,2020,Cogent Food & Agriculture,,10.1080/23311932.2020.1785778,,ERA 2023,,,,,ie,ie,V2.0.14
AC0036,Yusuf,2020,African Journal of Agricultural Research,,,https://academicjournals.org/journal/AJAR/article-full-text-pdf/C4E1BC834565.pdf,ERA 2023,,,,,ie,ie,V2.0.14
AC0037,Perdona,2020,Agronomy Journal,,10.1002/agj2.20016,,ERA 2023,10.2134/agronj2016.01.0024,,,,ie,ie,V2.0.16
AC0038,Agyin-Birikorang,2022,Journal of Plant Nutrition,,10.1080/01904167.2022.2064300,,ERA 2023,,,,,ie,ie,V2.0.16
AC0039,de Souza,2012,Agroforestry Systems,,10.1007/s10457-011-9452-x,,ERA 2023,,,,,ie,ie,V2.0.17
AC0040,Guto,2012,Agronomy Journal,,10.2134/agronj2010.0359,,ERA 2023,,,,,ie,ie,V2.0.17
AC0041,Harawa,2006,Nutrient Cycling in Agroecosystems,,10.1007/s10705-006-9033-y,,ERA 2023,,,,,ie,ie,V2.0.17
AC0043,Bitew,2021,Plos One,,10.1371/journal.pone.0257203,,ERA 2023,,,,,ie,ie,V2.0.18
AC0044,Siziba,2019,African Journal of Agricultural and Resource Economics,,,https://ageconsearch.umn.edu/record/301030/,ERA 2023,,,,,ie,ie,V2.0.18
AC0045,Wale,2006,Journal of Applied Entomology,,10.1111/j.1439-0418.2006.01053.x,,ERA 2023,,,,,ie,ie,V2.0.18
AC0046,Ulzen,2020,Archives of Agronomy and Soil Science,,10.1080/03650340.2019.1669786,,ERA 2023,,,,,ie,ie,V2.0.18
AC0047.1,Thierfelder,2022,Renewable Agriculture and Food Systems,,10.1017/S1742170521000442,,ERA 2023,,,,,ie,ie,V2.0.18
AC0048,Fenta,2022,Geoderma,,10.1016/j.geoderma.2021.115523,,ERA 2023,10.3390/ land8110159.,,,,ie,ie,V2.0.18
AC0050,Marfo-Ahenkora,2023,International Journal of Agronomy,,10.1155/2023/1882121,,ERA 2023,,,,,ie,ie,V2.0.18
AC0051,Otieno,2022,Sustainability,,10.3390/su14116519,,ERA 2023,,,,,ie,ie,V2.0.18
AC0052,Agboka,2013,Crop Protection,,10.1016/j.cropro.2012.08.016,,ERA 2023,,,,,ie,ie,V2.0.18
AC0053,Agboyi,2021,Insects,,10.3390/insects12080665,,ERA 2023,,,,,ie,ie,V2.0.18
AC0054,Kintche,2015,Field Crops Research,,10.1016/j.fcr.2015.04.019,,ERA 2023,,,,,ie,ie,V2.0.18
AC0055,Ijoyah,2012,African Journal of Agricultural Research,,10.5897/AJAR10.1135,,ERA 2023,,,,,ie,ie,V2.0.18
AC0058,Eijgu,2021,Heliyon,,10.1016/j.heliyon.2021.e06074,,ERA 2023,,,,,ie,ie,V2.0.18
AC0060,Simwaka,2020,Soil Research,,10.1071/SR20007,,ERA 2023,,,,,ie,ie,V2.0.19
AC0061,Adjei-Nsiah,2021,South African Journal of Plant and Soil,,10.1080/02571862.2021.1959660,,ERA 2023,,,,,ie,ie,V2.0.19
AC0063,Munera-Echeverri,2022,Plant and Soil,,10.1007/s11104-022-05325-4,,ERA 2023,,,,,ie,ie,V2.0.19
AC0064,Adeoluwa,2022,Agronomy,,10.3390/agronomy12051118,,ERA 2023,,,,,ie,ie,V2.0.20
AC0065,Victoria,2019,Communications in Soil Science and Plant Analysis,,10.1080/00103624.2019.1648663,,ERA 2023,,,,,ie,ie,V2.0.20
AC0067,Assefa,2020,Agronomy,,10.3390/agronomy11010017,,ERA 2023,,,,,ie,ie,V2.0.20
AC0068,Montt,2020,Journal of Agricultural Economics,,10.1111/1477-9552.12353,,ERA 2023,,,,,ie,ie,V2.0.20
AC0070,Mhlanga,2021,Renewable Agriculture and Food Systems,,10.1017/S1742170521000028,,ERA 2023,,,,,ie,ie,V2.0.20
AC0072,Adu-Gyamfi,2019,Agronomy Journal,,10.2134/agronj2019.04.0292,,ERA 2023,,,,,ie,ie,V2.0.20
AC0073,Adegaye,2019,Scientific African,,10.1016/j.sciaf.2019.e00129,,ERA 2023,,,,,ie,ie,V2.0.20
AC0075,Omulo,2022,Soil and Tillage Research,,10.1007/s10457-017-0150-1,,ERA 2023,,,,,ie,ie,V2.0.20
AC0077.1,Baijukya,2005,Nutrient Cycling in Agroecosystems,,10.1007/s10705-005-7262-0,,ERA 2023,,,,,ie,ie,V2.0.21
AC0077.2,Baijukya,2005,Nutrient Cycling in Agroecosystems,,10.1007/s10705-005-7262-0,,ERA 2023,,,,,ie,ie,V2.0.21
AC0077.3,Baijukya,2005,Nutrient Cycling in Agroecosystems,,10.1007/s10705-005-7262-0,,ERA 2023,,,,,ie,ie,V2.0.21
AC0079,Kimaru-Muchai,2021,Heliyon,,10.1016/j.heliyon.2021.e08005,,ERA 2023,,,,,ie,ie,V2.0.21
AC0080,Lark,2020,Experimental Agriculture,,10.1017/S0014479720000125,,ERA 2023,,,,,ie,ie,V2.0.21
AC0081,Mosongo,2022,Atmosphere,,10.3390/atmos13030463,,ERA 2023,,,,,ie,ie,V2.0.21
AC0082,Govaerts,2007,Soil and Tillage Research,,10.1016/j.still.2006.07.013,,ERA 2023,,,,,ie,ie,V2.0.21
AC0083,John,2021,Agriculture Ecosystems & Environment,,10.1016/j.agee.2021.107585,,ERA 2023,10.2135/cropsci2018.09.0532,,,,ie,ie,V2.0.21
AC0088,Rocha,2016,Pesquisa Agropecuaria Brasileira,,10.1590/S0100-204X2016000900046,,ERA 2023,,,,,ie,ie,V2.0.21
AC0089,Vyamana,2021,"Trees, Forests and People",,10.1016/j.tfp.2021.100164,,ERA 2023,,,,,ie,ie,V2.0.21
AC0090,Rusinamhodzi,2020,Field Crops Research,,10.1016/j.fcr.2020.107738,,ERA 2023,,,,,ie,ie,V2.0.21
AC0091,Alguacil,2010,Journal of the Science of Food and Agriculture,,10.1002/jsfa.4180,,ERA 2023,,,,,ie,ie,V2.0.21
AC0092,Costa,2017,Horticultura Brasileira,,10.1590/S0102-053620170112,,ERA 2023,,,,,ie,ie,V2.0.21
AC0093,Botha,2012,Irrigation and Drainage,,10.1002/ird.1681,,ERA 2023,,,,,ie,ie,V2.0.21
AC0094,Bruelle,2015,Experimental Agriculture,,10.1017/S0014479714000155,,ERA 2023,,,,,ie,ie,V2.0.21
AC0096,Michalovicz,2014,Revista Brasileira de Ciência do Solo,,10.1590/S0100-06832014000500015,,ERA 2023,,,,,ie,ie,V2.0.21
AC0097,Shave,2012,International Journal of Agriculture and Biology,,,https://web.s.ebscohost.com/ehost/detail/detail?vid=0&sid=199c5fb6-222b-4eeb-a306-9ce9a21235ae%40redis&bdata=Jmxhbmc9ZXMmc2l0ZT1laG9zdC1saXZlJnNjb3BlPXNpdGU%3d#AN=77651307&db=fsr,ERA 2023,,,,,ie,ie,V2.0.21
AC0098,Sithole,2019,Soil and Tillage Research,,10.1016/j.still.2019.104317,,ERA 2023,,,,,ie,ie,V2.0.21
AC0099,Mashavakure,2019,Applied Soil Ecology,,10.1016/j.apsoil.2018.12.001,,ERA 2023,,,,,ie,ie,V2.0.21
AC0101,Bouazzama,2012,Crop Protection,,,https://hal.science/hal-00766298/,ERA 2023,,,,,ie,ie,V2.0.21
AC0102,Agyin-Birikorang,2022,Journal of Plant Nutrition,,10.1080/01904167.2022.2046083,,ERA 2023,,,,,ie,ie,V2.0.21
AC0103,Bautista-Cruz,2014,Revista de la Facultad de Ciencias Agrarias,,,http://www.scielo.org.ar/img/revistas/refca/v46n1/html/v46n1a13.htm,ERA 2023,,,,,ie,ie,V2.0.21
AC0105,Sauvadet,2019,Science of the Total Environment,,10.1016/j.scitotenv.2018.08.291,,ERA 2023,,,,,ie,ie,V2.0.21
AC0106,Castro,2016,Journal of Soil Science and Plant Nutrition,,,https://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-95162016000200008&tlng=en,ERA 2023,,,,,ie,ie,V2.0.21
AC0107,Ramborun,2021,Journal of Agriculture and Food Research,,10.1016/j.jafr.2020.100096,,ERA 2023,,,,,ie,ie,V2.0.21
AC0109,Limon-Ortega,2012,Agronomy Journal,,10.2134/agronj2012.0053,,ERA 2023,,,,,ie,ie,V2.0.21
AC0110,Munroe,2015,Applied and Environmental Soil Science,,10.1016/j.apsoil.2015.04.003,,ERA 2023,,,,,ie,ie,V2.0.21
AC0111,Rosolem,2017,Soil Research,,10.1071/SR17214,,ERA 2023,,,,,ie,ie,V2.0.21
AC0112,Olaoye,2009,Journal of Food Agriculture & Environment,,,https://cgspace.cgiar.org/handle/10568/91517,ERA 2023,,,,,ie,ie,V2.0.21
AC0113,Noponen,2013,Agricultural Systems,,10.1016/j.agsy.2013.03.006,,ERA 2023,10.1016/j.agee.2012.01.019,,,,ie,ie,V2.0.21
AC0114,Mhlanga,2021,Geoderma,,10.1016/j.geoderma.2021.115107,,ERA 2023,10.1017/S002185961900073X,10.1017/S001447971000030X,10.1016/j.still.2009.07.007,10.1016/j.fcr.2012.08.017.,ie,ie,V2.0.21
AC0115,Pedrosa,2020,Plant and Soil,,10.1007/s11104-019-04124-8,,ERA 2023,,,,,ie,ie,V2.0.21
AC0116,Limon-Ortega,2008,European Journal of Agronomy,,10.1016/j.eja.2008.01.008,,ERA 2023,,,,,ie,ie,V2.0.21
AC0117,Gerhards,2021,Agronomy,,10.3390/agronomy11061161,,ERA 2023,,,,,ie,ie,V2.0.21
AC0119,de Lima,2019,Revista Caatinga,,10.1590/1983-21252019v32n113rc,,ERA 2023,,,,,ie,ie,V2.0.21
AC0120,da Silva,2021,Journal of Soil Science and Plant Nutrition,,10.1007/s42729-021-00423-1,,ERA 2023,,,,,ie,ie,V2.0.21
AC0124,Musinguzi,2016,Experimental Agriculture,,10.1017/S0014479715000307,,ERA 2023,,,,,ie,ie,V2.0.21
AC0128,Zancanaro de Oliveira,2019,Agronomy Journal,,10.2134/agronj2018.11.0710,,ERA 2023,,,,,ie,ie,V2.0.21
AC0131,Grahmann,2018,Journal of Plant Nutrition and Soil Science,,10.1002/jpln.201800011,,ERA 2023,,,,,ie,ie,V2.0.21
AC0132,Vieira,2008,Australian Journal of Soil Research,,10.1071/SR07088,,ERA 2023,10.1016/j.still.2006.10.003,,,,ie,ie,V2.0.21
AC0135,Ruiz-Gonzalez,2015,Agrociencia,,,https://www.agrociencia-colpos.org/index.php/agrociencia/article/view/1164/1164,ERA 2023,,,,,ie,ie,V2.0.21
AC0136,Sosa-Rodrigues,2018,Agronomia Mesoamericana,,10.15517/ma.v29i1.27127,,ERA 2023,,,,,ie,ie,V2.0.21
AC0137,Torres Garcia,2019,Bioagro,,,https://www.cabdirect.org/cabdirect/abstract/20203438591,ERA 2023,,,,,ie,ie,V2.0.21
AC0138,Borbon-Gracia,2020,Revista Fitotecnia Mexicana,,10.35196/rfm.2020.4.371,,ERA 2023,,,,,ie,ie,V2.0.21
AC0139,Marchezan,2020,Journal of Soil Science and Plant Nutrition,,10.1007/s42729-020-00185-2,,ERA 2023,https://doi.org/10.1590/ S0100-832014000200019,https:// doi.org/10.1590/1678-4499.006,https://doi.org/ 10.1016/j.ecoenv.2018.01.046,,ie,ie,V2.0.21
AC0140,Blanco-Sepulveda,2021,Geoderma,,10.1016/j.geoderma.2021.115336,,ERA 2023,,,,,ie,ie,V2.0.21
AC0141,Silva-Galicia,2022,Renewable Agriculture and Food Systems,,10.1017/S1742170522000369,,ERA 2023,,,,,ie,ie,V2.0.21
AC0143,Jeezer,2018,Agricultural Systems,,10.1016/j.agsy.2018.01.014,,ERA 2023,,,,,ie,ie,V2.0.21
AC0144,Barazetti,2019,Applied Soil Ecology,,10.1016/j.apsoil.2019.05.015,,ERA 2023,,,,,ie,ie,V2.0.21
AC0145,Ribeiro,2018,Revista Brasileira De Ciencias Agrarias-Agraria,,10.5039/agraria.v13i3a5550,,ERA 2023,,,,,ie,ie,V2.0.22
AC0146,Tovihoudji,2019,Frontiers in Environmental Science,,10.3389/fenvs.2019.00013,,ERA 2023,10.1016/j.fcr.2017.08.003,,,,ie,ie,V2.0.22
AC0148,Silva,2010,Planta Daninha,,10.1590/S0100-83582010000300010,,ERA 2023,,,,,ie,ie,V2.0.22
AC0150,Restelatto,2014,Grass and Forage Science,,10.1111/gfs.12076,,ERA 2023,,,,,ie,ie,V2.0.23
AC0151,Verhulst,2011,Field Crops Research,,10.1016/j.fcr.2011.07.002,,ERA 2023,10.1016/j.geodrs.2021.e00430,,,,ie,ie,V2.0.23
AC0152,Mavunganidze,2020,Weed research,,10.1111/wre.12437,,ERA 2023,,,,,ie,ie,V2.0.23
AC0153,Lourenzi,2014,Revista Brasileira de Ciência do Solo,,10.1590/S0100-06832014000300027,,ERA 2023,10.1590/S0103-84782005000600011,10.1590/S0103-84782005000600012,,,ie,ie,V2.0.23
AC0154,Bacca,2020,Revista Brasileira de Ciência do Solo,,10.36783/18069657rbcs20190013,,ERA 2023,,,,,ie,ie,V2.0.23
AC0155,Balbinot,2020,Revista Brasileira de Ciência do Solo,,10.36783/18069657rbcs20200043,,ERA 2023,,,,,ie,ie,V2.0.23
AC0156,da Silva,2009,Scientia Agricola,,10.1590/S0103-90162009000400013,,ERA 2023,,,,,ie,ie,V2.0.23
AC0157,Lima,2018,Revista Brasileira de Engenharia Agricola e Ambiental,,10.1590/1807-1929/agriambi.v22n2p113-118,,ERA 2023,,,,,ie,ie,V2.0.23
AC0158,Munhoz de Almeida,2018,Bragantia,,10.1590/1678-4499.2017242,,ERA 2023,,,,,ie,ie,V2.0.23
AC0159,Honsdorf,2020,Field Crops Research,,10.1016/j.fcr.2019.107675,,ERA 2023,,,,,ie,ie,V2.0.23
AC0161,de Oliveira,2021,Revista Caatinga,,10.1590/1983-21252021v34n102rc,,ERA 2023,,,,,ie,ie,V2.0.23
AC0162,de Sousa Lima,2021,Agriculture,,10.3390/agriculture11040290,,ERA 2023,,,,,ie,ie,V2.0.23
AC0163,Nakao,2018,Revista Ciencia Agronomica,,10.5935/1806-6690.20180057,,ERA 2023,,,,,ie,ie,V2.0.23
AC0164,Hunegnaw,2021,Open Agriculture,,10.1515/opag-2021-0048,,ERA 2023,,,,,ie,ie,V2.0.23
AC0165,Frimpong,2021,Heliyon,,10.1016/j.heliyon.2021.e06267,,ERA 2023,,,,,ie,ie,V2.0.23
AC0167,Caires,2008,Soil Use and Management,,10.1111/j.1475-2743.2008.00166.x,,ERA 2023,,,,,ie,ie,V2.0.23
AC0168,Bado,2021,Agriculture Ecosystems & Environment,,10.1016/j.agee.2020.107175,,ERA 2023,,,,,ie,ie,V2.0.23
AC0169,Mutsamba,2020,Njas-Wageningen Journal of Life Sciences,,10.1016/j.njas.2019.100317,,ERA 2023,,,,,ie,ie,V2.0.23
AC0170,Kebenei,2021,Frontiers in Sustainable Food Systems,,10.3389/fsufs.2021.714212,,ERA 2023,,,,,ie,ie,V2.0.23
AC0171,Liu,2021,Field Crops Research,,10.1016/j.fcr.2020.108018,,ERA 2023,,,,,ie,ie,V2.0.23
AC0172,Rakotoarisoa,2020,Field Crops Research,,10.1016/j.fcr.2020.107806,,ERA 2023,,,,,ie,ie,V2.0.23
AC0173,Belay,2019,Water,,10.3390/w11102103,,ERA 2023,,,,,ie,ie,V2.0.23
AF0002,Lal,1998,Land Degradation & Development,,10.1002/(SICI)1099-145X(199805/06)9:3<259::AID-LDR290>3.0.CO;2-V,,ERA 2023,,,,,ie,ie,V2.0.24
AF0003,Theron,2023,South African Journal of Plant and Soil,,10.1080/02571862.2022.2160881,,ERA 2023,,,,,ie,ie,V2.0.24
AF0005,Sani Issa,2020,Eurasian Journal of Soil Science,,10.18393/ejss.642212,,ERA 2023,,,,,ie,ie,V2.0.24
AF0006,Akponikpe,2008,Experimental Agriculture,,10.1017/S001447970800673X,,ERA 2023,,,,,ie,ie,V2.0.24
AF0007.1,Rodriguez,1985,Soil and Tillage Research,,10.1016/0167-1987(85)90014-5,,ERA 2023,,,,,ie,ie,V2.0.24
AF0007.2,Rodriguez,1985,Soil and Tillage Research,,10.1016/0167-1987(85)90014-5,,ERA 2023,,,,,ie,ie,V2.0.27
AF0007.3,Rodriguez,1985,Soil and Tillage Research,,10.1016/0167-1987(85)90014-5,,ERA 2023,,,,,ie,ie,V2.0.27
AF0007.4,Rodriguez,1985,Soil and Tillage Research,,10.1016/0167-1987(85)90014-5,,ERA 2023,,,,,ie,ie,V2.0.27
AF0007.5,Rodriguez,1985,Soil and Tillage Research,,10.1016/0167-1987(85)90014-5,,ERA 2023,,,,,ie,ie,V2.0.27
AG0001,Coulibaly,2018,Heliyon,Yes,10.1016/j.heliyon.2018.,,ERA 2020,,,,,mh,mh,
AG0002,Ema,2018,"African Journal of Food, Agriculture, Nutrition and Development",Yes,10.18697/ajfand.83.17155,,ERA 2020,,,,,mh,mh,
AG0004,Olowoake,2018,International Journal of Recycling of Organic Waste in Agriculture,Yes,0.1007/s40093-017-0192-4,,ERA 2020,,,,,mh,mh,
AG0005,Endris,2015,Journal of Agronomy,Yes,10.3923/ja.2015.152.157,,ERA 2020,,,,,mh,mh,
AG0007,Dibal,2014,ARPN Journal of Engineering and Applied Sciences,Yes,,www.researchgate.net/publication/288615840_Variability_of_soil_erodibility_factor_with_some_soil_management_practices_in_a_semi-arid_agroecological_condition_Nigeria,ERA 2020,,,,,mh,mh,
AG0008,El-Gaid,2014,Asian Journal of Crop Science,No,10.3923/ajcs.2014.254.261,,ERA 2020,,,,,mh,mh,
AG0010,Ezeocha,2017,Open Agriculture,Yes,10.1515/opag-2017-0022,,ERA 2020,,,,,mh,mh,
AG0011,Fite,2014,Journal of Entomology,Yes,10.3923/je.2014.225.237,,ERA 2020,,,,,mh,mh,
AG0014,Gay-des-Combes,2017,Ecology and Evolution,Yes,10.1002/ece3.3104,,ERA 2020,,,,,mh,mh,
AG0015,Frimpong,2014,Sustainability (Switzerland),Yes,10.3390/su6020652,,ERA 2020,,,,,mh; sc,sc,
AG0018,Gusha,2015,Tropical and Subtropical Agroecosystems,No,,https://pdfs.semanticscholar.org/085f/cbe290d2edec655ea106f6ba39ef4e6a3673.pdf,ERA 2020,,,,,mh; sc,mh; sc,
AG0019,Hagag,2018,Bioscience Research,Yes,,https://www.researchgate.net/publication/332138711_Impact_of_organic_fertilizer_and_bio-stimulating_substances_in_maximizing_productivity_and_fruit_quality_of_cv_Cyprus_olive_trees,ERA 2020,,,,,mh,mh,
AG0022,Hong,2018,Sustainability,Yes,10.3390/su10051430,,ERA 2020,,,,,mh,mh,
AG0024,Moyin-Jesu,2015,International Journal of Recycling of Organic Waste in Agriculture,Yes,10.1007/s40093-015-0108-0,,ERA 2020,,,,,mh,mh,
AG0025,Isaacs,2016,Food Security,Yes,10.1007/s12571-016-0582-x,,ERA 2020,https://d.lib.msu.edu/etd/2950,,,,mh,mh,
AG0027,Masaka,2015,Agricultural Research,Yes,10.1007/s40003-014-0147-1,,ERA 2020,,,,,mh,mh,
AG0028,Ogendo,2018,"African Journal of Food, Agriculture, Nutrition and Development",Yes,10.18697/AJFAND.83.18015,,ERA 2020,,,,,mh,mh,
AG0030,Mukhongo,2017,Frontiers in Plant Science,Yes,10.3389/fpls.2017.00219,,ERA 2020,,,,,mh,mh,
AG0031,Manuwa,2015,Agricultural Engineering International: CIGR Journal,Yes,,www.researchgate.net/publication/282936486_Effect_of_liquid_poultry_manure_application_rate_and_injection_depth_on_growth_and_yield_of_maize_ZeamaysL_in_a_sandy_loam_soil/link/570e5aaf08aed4bec6fdd73c/download,ERA 2020,,,,,mh,mh,
AG0032,Uko,2018,Journal of Agronomy,Yes,10.3923/ja.2018.188.197,,ERA 2020,,,,,mh,mh,
AG0033,Kwaga,2014,"Research Journal of Pharmaceutical, Biological and Chemical Sciences",Yes,,"Research Journal of Pharmaceutical, Biological and Chemical Sciences",ERA 2020,,,,,mh,mh,
AG0034,Okoth,2014,Australian Journal of Crop Science,No,,http://www.cropj.com/omindi_8_8_2014_1140_1146.pdf,ERA 2020,,,,,mh,mh,
AG0035,Masaka,2016,International Journal of Recycling of Organic Waste in Agriculture,Yes,10.1007/s40093-016-0123-9,,ERA 2020,,,,,mh,mh,
AG0040,Obalum,2017,Food and Energy Security,Yes,10.1002/fes3.111,,ERA 2020,,,,,mh,mh,
AG0041,Nhamucho,2017,Journal of Entomology,Yes,10.3923/je.2017.136.147,,ERA 2020,,,,,mh,mh,
AG0042,Oloche,2018,Pakistan Journal of Nutrition ,Yes,10.3923/pjn.2018.374.378,,ERA 2020,,,,,mh; sc,mh; sc,
AG0043,Torgbo,2018,"Journal of Microbiology, Biotechnology and Food Sciences",Yes,10.15414/jmbfs.2018.7.6.555-561,,ERA 2020,,,,,mh,mh,
AG0044,Mupangwa,2016,Aims Agriculture and Food,No,10.3934/agrfood.2016.1.85,,ERA 2020,,,,,mh,mh,
AG0045,Rotich,2018,Journal of Rangeland Science,Yes,,326069581_Soil_organic_carbon_content_and_stocks_in_relation_to_grazing_management_in_semi,ERA 2020,,,,,mh,mh,
AG0048,Uwizeyimana,2018,International Soil and Water Conservation Research,No,10.1016/j.iswcr.2018.03.002,,ERA 2020,,,,,mh,mh,
AG0049,Mesfin,2018,Carbon Management,Yes,10.1080/17583004.2018.1443641,,ERA 2020,,,,,mh,mh,
AG0050,Dada,2015,Journal of Fisheries and Aquatic Science,No,10.3923/jfas.2015.569.574,,ERA 2020,,,,,mh; sc,mh; sc,
AG0051,Mutimura,2018,Animal Nutrition,No,10.1016/j.aninu.2018.01.006,,ERA 2020,,,,,mh; sc,mh; sc,
AG0052,Tachia,2016,AACL Bioflux,Yes,www.researchgate.net/publication/309072353_Replacing_maize_with_cassava_peels_in_diets_of_oreochromis_niloticus_Evaluation_of_feed_performance_and_meta-analysis,,ERA 2020,pdfs.semanticscholar.org/c0e8/3db1b37085873e9152cfc94c0e96efa7044b.pdf?_ga=2.87098072.1763324483.1592382801-2038663099.1585815171,,,,mh,mh,
AG0054,Rotich,2018,Journal of Rangeland Science,Yes,,www.sid.ir/en/journal/ViewPaper.aspx?id=595709,ERA 2020,,,,,mh,mh,
AG0057,Kega,2013,Journal of Entomology,Yes,10.3923/je.2013.103.109,,ERA 2020,,,,,mh,mh,
AG0059,Hassan,2018,Asian Journal of Agriculture and Biology,Yes,,www.researchgate.net/publication/326413813,ERA 2020,,,,,mh,mh,
AG0062,Idamokoro,2017,Sustainability (Switzerland),Yes,10.3390/su9061000,,ERA 2020,,,,,mh,mh,
AG0063,Esmail,2015,"Research Journal of Pharmaceutical, Biological and Chemical Sciences",Yes,,www.researchgate.net/publication/290518884_Influence_of_water_stress_on_yield_technological_and_rheological_characteristics_of_some_new_wheat_lines,ERA 2020,,,,,mh,mh,
AG0065,Vandamme,2016,Frontiers in Plant Science,Yes,10.3389/fpls.2016.01435,,ERA 2020,,,,,mh,mh,
AG0066,Tesfaye,2016,International Soil and Water Conservation Research,No,10.1016/j.iswcr.2016.01.003,,ERA 2020,,,,,mh,mh,
AG0067,Seydou,2016,Journal of Agronomy,Yes,10.3923/ja.2016.151.164,,ERA 2020,,,,,mh,mh,
AG0071,Mkonda,2018,Ecosystem Health and Sustainability,Yes,10.1080/20964129.2018.1463146,,ERA 2020,,,,,mh,mh,
AG0072,Mo,2017,Scientific Reports,Yes,10.1038/s41598-017-03372-x,,ERA 2020,,,,,mh,mh,
AG0073,Oiganji,2016,Agricultural Engineering International: CIGR Journal,Yes,,www.researchgate.net/publication/309073355_Calibrating_and_validating_AquaCrop_model_for_maize_crop_in_northern_zone_of_Nigeria,ERA 2020,,,,,mh,mh,
AG0074,Mtangadura,2017,Plos One,No,10.1371/journal.pone.0182840,,ERA 2020,,,,,mh,mh,
AG0075,Mohammed,2016,Carbon Balance and Management,Yes,10.1186/s13021-016-0045-x,,ERA 2020,,,,,mh,mh,
AG0077,Mubiru,2017,Sustainability,Yes,10.3390/su9071084,,ERA 2020,,,,,mh,mh,
