"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"32NAUL53","journalArticle","2023","Mehr-un-Nisa; Shafiq, Fahad; Anwar, Sumera; Mahmood, Arslan; Iqbal, Muhammad; Ullah, Kaleem; Zulqarnain, Muhammad; Haider, Imtiaz; Ashraf, Muhammad; Zhang, Lixin","Physiological effects of some engineered nanomaterials on radish (Raphanus sativus L.) intercropped with pea (Pisum sativum L.)","Environmental Science and Pollution Research","","1614-7499","10.1007/s11356-023-27400-8","https://link.springer.com/10.1007/s11356-023-27400-8","","2023-06-03","2026-04-29 10:50:39","2026-04-29 10:50:39","2026-04-29 10:50:39","78353-78366","","32","30","","Environ Sci Pollut Res","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C7HHTT2C","journalArticle","2023","Li, Peixin; Liu, Hanbing; Chen, Yingtong; Zhang, Xin; Cao, Ning; Sun, Ying; Jia, Meimei; Wu, Mengran; Tong, Xuejiao; Jiang, Xinmei; Yu, Xihong; Cheng, Yao","Effect of Dandelion (Taraxacum mongolicum Hand.-Mazz.) Intercropping with Different Plant Spacing on Blight and Growth of Pepper (Capsicum annuum L.)","Phyton","","1851-5657","10.32604/phyton.2023.027392","https://www.techscience.com/phyton/v92n8/53327","","2023","2026-04-29 10:50:32","2026-04-29 10:50:32","2026-04-29 10:50:32","2227-2244","","8","92","","","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\andreasanchez\Zotero\storage\93FJ2BNU\Li et al. - 2023 - Effect of Dandelion (Taraxacum mongolicum Hand.-Mazz.) Intercropping with Different Plant Spacing on.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LL2NPPK9","journalArticle","2023","Adeoti, Adewale Opeyemi; Pitan, Olufemi Richard","Influence of time of introduction and proportion on the efficacy of grain amaranth trap crop against <i>Aulacophora foveicollis</i> and <i>Epilachna chrysomelina</i> on cucumber ( <i>Cucumis sativus</i> L.)","Archives of Phytopathology and Plant Protection","","0323-5408, 1477-2906","10.1080/03235408.2023.2256648","https://www.tandfonline.com/doi/full/10.1080/03235408.2023.2256648","","2023-08-27","2026-04-29 10:51:04","2026-04-29 10:51:04","2026-04-29 10:51:04","1062-1075","","14","56","","Archives of Phytopathology and Plant Protection","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9RV4FYAI","journalArticle","2023","Fathi, Seyed Ali Asghar","Eggplant-garlic intercrops reduce the density of Tetranychus urticae on eggplant and improve crop yield","Experimental and Applied Acarology","","0168-8162, 1572-9702","10.1007/s10493-023-00821-3","https://link.springer.com/10.1007/s10493-023-00821-3","","2023-09","2026-04-29 10:50:52","2026-04-29 10:50:52","2026-04-29 10:50:52","43-55","","1","91","","Exp Appl Acarol","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2JB7NGSL","journalArticle","2023","Perrin, B.; Leroy, C.; Parès, L.; Pradere, P.; Goude, M.; Salvador, B.; Marrec, T.; Comes, L.; Huot-Marchand, R.; Guillot, E.; Lefèvre, A.","Experimental dataset of the impact assessment of vegetable intercropping on agroeconomic performances, pests and beneficials, and soil resources","Data in Brief","","23523409","10.1016/j.dib.2023.109607","https://linkinghub.elsevier.com/retrieve/pii/S2352340923006947","","2023-10","2026-04-29 10:51:17","2026-04-29 10:51:17","2026-04-29 10:51:17","109607","","","50","","Data in Brief","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9VCT2VJP","journalArticle","2023","Singh, Abhishek Pratap; Bijalwan, Arvind; Bisht, Tejpal Singh; Singh, Bhupendra; Kumar, Sandeep; Tariyal, Naveen","Evaluation of growth, yield, economics and soil properties of agri-horticulture systems in mid-hill situations of Himalayas","Agroforestry Systems","","0167-4366, 1572-9680","10.1007/s10457-023-00851-1","https://link.springer.com/10.1007/s10457-023-00851-1","","2023-08","2026-04-29 10:51:38","2026-04-29 10:51:38","2026-04-29 10:51:38","1113-1130","","6","97","","Agroforest Syst","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7DNRC94K","journalArticle","2023","Liu, Ying; Zhang, Yawen; Xiao, Tianhao; Wu, Yuguo; Li, Yuan; He, Ji; Xiang, Yangzhou; Yao, Bin","Effect of Intercropping on Fruit Yield and Financial Benefits of Rosa roxburghii Tratt Orchard in Southwest China","Agronomy","","2073-4395","10.3390/agronomy13122953","https://www.mdpi.com/2073-4395/13/12/2953","The practice of intercropping in Rosa roxburghii Tratt orchards holds potential for enhancing fruit yield and financial benefits, yet remains insufficiently explored. To address this, we delved into the effects of intercropping on fruit yield and financial viability of R. roxburghii orchards in Longli County, southern China. Orchards of varying ages (4 years old and 5 years old; 7 years old and 8 years old) were subjected to different treatments: (i) Zea mays and Capsicum annuum intercropping, and clean tillage for younger orchards, and (ii) Lolium perenne, natural grass, and clean tillage for older orchards. Each treatment was assessed for its impact on fruit yield and financial benefits. In younger orchards, intercropping with Z. mays and C. annuum did not significantly elevate fruit yield compared to clean tillage in the 4-year-old orchard; however, C. annuum intercropping significantly improved fruit yield in the 5-year-old orchard. Concurrently, intercropping significantly augmented the total financial benefit by 9234.35–10,486.25 CNY ha−1 (Z. mays) and 14,304.90–16,629.18 CNY ha−1 (C. annuum) compared to clean tillage. In older orchards, L. perenne intercropping significantly elevated fruit yield by 598.84–803.64 kg·ha−1, while natural grass reduced it by 394.61–986.24 kg·ha−1, compared to clean tillage. Additionally, L. perenne intercropping significantly boosted the total financial benefit by 8873.92–9956.56 CNY ha−1, whereas natural grass negatively impacted financial benefits by 78.42–2444.94 CNY ha−1 compared to clean tillage. Collectively, our results illustrate that judicious selection of intercrops, based on orchard age and conditions, can significantly enhance both fruit yield and financial advantages in R. roxburghii orchards. This study furnishes vital insights for orchard management and accentuates the prospective merits of intercropping in fruit production systems.","2023-11-29","2026-04-29 10:51:36","2026-04-29 10:51:36","2026-04-29 10:51:36","2953","","12","13","","Agronomy","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\andreasanchez\Zotero\storage\GFM9EN5I\Liu et al. - 2023 - Effect of Intercropping on Fruit Yield and Financial Benefits of Rosa roxburghii Tratt Orchard in So.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4L9VDZZY","journalArticle","2023","Marcos-Pérez, Mariano; Sánchez-Navarro, Virginia; Zornoza, Raúl","Intercropping systems between broccoli and fava bean can enhance overall crop production and improve soil fertility","Scientia Horticulturae","","03044238","10.1016/j.scienta.2023.111834","https://linkinghub.elsevier.com/retrieve/pii/S0304423823000109","","2023-03","2026-04-29 10:51:32","2026-04-29 10:51:32","2026-04-29 10:51:32","111834","","","312","","Scientia Horticulturae","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\andreasanchez\Zotero\storage\JH9DYGK8\Marcos-Pérez et al. - 2023 - Intercropping systems between broccoli and fava bean can enhance overall crop production and improve.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"W3GPL7HH","journalArticle","2023","Yang, Lu; Luo, Yue; Lu, Binglin; Zhou, Guopeng; Chang, Danna; Gao, Songjuan; Zhang, Jiudong; Che, Zongxian; Cao, Weidong","Long-term maize and pea intercropping improved subsoil carbon storage while reduced greenhouse gas emissions","Agriculture, Ecosystems & Environment","","01678809","10.1016/j.agee.2023.108444","https://linkinghub.elsevier.com/retrieve/pii/S0167880923001032","","2023-06","2026-04-29 10:52:08","2026-04-29 10:52:08","2026-04-29 10:52:08","108444","","","349","","Agriculture, Ecosystems & Environment","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"94PXZ5SZ","journalArticle","2023","Lu, Peina; Zhao, Cai; Yin, Wen; Hu, Falong; Fan, Zhilong; Yu, Aizhong; Fan, Hong","Microbial Community Shifts with Soil Properties and Enzyme Activities in Inter-/Mono-Cropping Systems in Response to Tillage","Agronomy","","2073-4395","10.3390/agronomy13112707","https://www.mdpi.com/2073-4395/13/11/2707","No-till and cereal–legume intercropping have been recognized as favorable cropping practices to increase crop yields while maintaining soil quality in arid and semiarid environments, but the biological mechanisms are poorly understood. The present study aimed to determine the response of yields, soil properties, enzyme activities, and microbial community diversity and composition in mono- and inter-cropping under conventional and no-tillage conditions. We initiated a field experiment in Wuwei, a typical arid area of China, in 2014. Soil was sampled in August 2022 and, yields, soil properties, enzyme activities, and the microbial community diversity and composition were determined in the maize and pea strips in inter- and mono-cropping systems. Results revealed that the maize and pea strips in the no-till intercropping significantly increased yields, total and organic carbon stocks, decreased NO3−-N, and obtained the highest total and organic P in the soil. No-tillage significantly enhanced the Shannon index and Pielou evenness of the bacterial community and total microbial community over conventional tillage, with the α-diversity of the bacterial community and total microbial community distinctly higher in the NTIM treatment than in the CTIM treatment. The α-diversity of the total microbial community was significantly related to yield, soil IC and OC, and the α-diversity of the archaea community was significantly related to soil TC, TC/TP, TN/TP, and BX. Meanwhile, the α-diversity of the eukaryote community was significantly related to soil yield, soil TC/TP. Both no-tillage and intercropped maize significantly increased the abundance of archaea phylum Thaumarchaeota and bacterial phylum Nitrospirae, and were significantly positively associated with soil OC and NH4+-N, benefiting nitrogen fixation of intercropped pea from the atmosphere under the no-tillage cereal/legume intercropping. No-till intercropping was conducive to the accumulation of organic carbon, while decreasing the abundance of Proteobacteria, Acidobacteria, and Verrucomicrobia. Limited soil enzyme activities (ACP, ALP, DP, NAG, BG, AG, CB) led to decreases in organic carbon turnover and utilization. Intercropping altered soil microbial community diversity and composition due to changes in soil properties and enzyme activities. These findings suggest that no-tilled cereal–legume intercropping is a sustainable cropping practice for improving soil properties and enhancing microbial (archaea, bacterial, eukaryota) diversity, but the persistence is not conducive to rapid turnover of soil nutrients due to limited enzyme activities.","2023-10-27","2026-04-29 10:52:07","2026-04-29 10:52:07","2026-04-29 10:52:07","2707","","11","13","","Agronomy","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\andreasanchez\Zotero\storage\EQSWTFNF\Lu et al. - 2023 - Microbial Community Shifts with Soil Properties and Enzyme Activities in Inter-Mono-Cropping System.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FPLLL2J8","journalArticle","2023","An, Ran; Yu, Rui-Peng; Xing, Yi; Zhang, Jiu-Dong; Bao, Xing-Guo; Lambers, Hans; Li, Long","Enhanced phosphorus-fertilizer-use efficiency and sustainable phosphorus management with intercropping","Agronomy for Sustainable Development","","1774-0746, 1773-0155","10.1007/s13593-023-00916-6","https://link.springer.com/10.1007/s13593-023-00916-6","","2023-10","2026-04-29 10:52:05","2026-04-29 10:52:05","2026-04-29 10:52:05","57","","5","43","","Agron. Sustain. Dev.","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\andreasanchez\Zotero\storage\M658SB9Y\An et al. - 2023 - Enhanced phosphorus-fertilizer-use efficiency and sustainable phosphorus management with intercroppi.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"R4EGWXQP","journalArticle","2023","Liang, Qing; Zhang, Tibin; Liu, Zhenyuan; Gao, Weiqiang; Cheng, Yu; Feng, Hao","Effects of Different Green Manure Crops on Soil Water, Nitrogen, and Yield: Preliminary Results in an Apple Orchard on the Loess Plateau, China","Agronomy","","2073-4395","10.3390/agronomy13082009","https://www.mdpi.com/2073-4395/13/8/2009","Green manure crops intercropping is an effective agricultural practice to alleviate water and nutrient deficit by improving soil properties in the Loess Plateau of China. However, green manure crops intercropping could cause water and nutrient competition, but the effects of different green manure crops intercropping on soil water and nutrient status are rarely evaluated. Thus, we conducted a field experiment to investigate the responses of soil moisture, nitrogen, and yield to green manure crops intercropping. Three intercropping patterns, apple–ryegrass (AR), apple–spring rape (AS), and apple–alfalfa (AA), were set up with a blank control (CK), which employed clean tillage in the inter-row and row. All treatments had no significant difference on evapotranspiration. At maturity, AR, AS, and AA treatments reduced soil organic matter content by 4.2%, 6.5%, and 18.8%, and total nitrogen content by 0.01%, 1.3%, and 20.3%, relative to CK, respectively. The water competition degree in AR, AS, and AA were 38.4%, 48.8%, and 64.6%, respectively. Ryegrass, spring rape, and alfalfa’s nitrogen use efficiency were 19.71%, 29.24%, and 39.42%, respectively. AR and AS treatments increased the apple yield by 11.7% and 5.7%, and water-use efficiency (WUE) by 14.4% and 7.5%, relative to CK, respectively. AA treatment reduced the apple yield by 6.9% and WUE by 6.8%, relative to CK. All treatments had no significant difference on apple quality. Therefore, in normal water years, we suggest adapting the ryegrass–apple tree intercropping pattern for apple production on the Plateau Loess, China.","2023-07-28","2026-04-29 10:52:04","2026-04-29 10:52:04","2026-04-29 10:52:04","2009","","8","13","","Agronomy","Effects of Different Green Manure Crops on Soil Water, Nitrogen, and Yield","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\andreasanchez\Zotero\storage\RG379SLJ\Liang et al. - 2023 - Effects of Different Green Manure Crops on Soil Water, Nitrogen, and Yield Preliminary Results in a.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LZI47LFV","journalArticle","2023","Mndzebele, Buhlebelive; Ncube, Bhekumthetho; Fessehazion, Melake; Mabhaudhi, Tafadzwanashe; Modi, Albert Thembinkosi","Assessment of the effects of NPK fertilizer on edible yield and agro-biological parameters in a cowpea–amaranth intercrop","Frontiers in Sustainable Food Systems","","2571-581X","10.3389/fsufs.2023.1210984","https://www.frontiersin.org/articles/10.3389/fsufs.2023.1210984/full","Introduction               Estimates indicate that food and nutritional demand in sub-Saharan African nutrient-poor soils will exceed the high population demand. Vegetables such as amaranth and cowpea are key in contributing to food and nutritional security. Fertilizers are used to mitigate low nutrient levels in soils. This study aimed to investigate the yield parameters of cowpea and amaranth vegetables.                                         Methods               The experiment was designed with a 2 × 4 factorial treatment structure in a completely randomized design, with intercropping and fertilizer level as treatment factors and with four replications.                                         Results and discussion               The biomass of amaranth and cowpea increased with increased fertilizer application up to the level of 100% nitrogen, phosphorus, and potassium (NPK) fertilizer. A measure of land utilization showed values greater than one. Crop comparison showed that cowpea was more aggressive, had higher actual yield loss, and was highly competitive compared to amaranth. More income could be obtained from intercropping. The research shows the benefits of fertilizer application in improving the biomass of amaranth and cowpea. Overall, the application of NPK fertilizer at levels up to 100%, based on the results of this study, resulted in higher biomass accumulation and improved intercropping indices.","2023-10-24","2026-04-29 10:52:00","2026-04-29 10:52:00","2026-04-29 10:52:00","1210984","","","7","","Front. Sustain. Food Syst.","","","","","","","","","","","","","DOI.org (Crossref)","","","","C:\Users\andreasanchez\Zotero\storage\2875KDSZ\Mndzebele et al. - 2023 - Assessment of the effects of NPK fertilizer on edible yield and agro-biological parameters in a cowp.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"A46MRHF3","journalArticle","2023","Marcos-Pérez, Mariano; Sánchez-Navarro, Virginia; Martinez-Martinez, Silvia; Martínez-Mena, María; García, Eloísa; Zornoza, Raúl","Intercropping organic melon and cowpea combined with return of crop residues increases yields and soil fertility","Agronomy for Sustainable Development","","1774-0746, 1773-0155","10.1007/s13593-023-00902-y","https://link.springer.com/10.1007/s13593-023-00902-y","Abstract                            The growth of legumes, reduced tillage and addition of crop residues can be regarded as a good alternative in intercropping systems to increase soil organic matter, soil fertility and biodiversity while enhancing crop production and reducing the use of fertilizers. Despite the potential benefits, there is still a research gap about using the combination of cowpea and melon in intercropping to increase productivity and reduce external inputs. Thus, the aims of this study were to: i) assess if crop yield, crop quality and soil physicochemical properties can be improved by intercropping systems between melon (               Cucumis melo               L.) and cowpea (               Vigna unguiculata               (L.) Walp.) with reduced tillage and addition of crop residues, compared with a melon monoculture with intensive tillage and removal of crop residues, all grown under organic management; and ii) evaluated if cowpea grown as intercrop with fertilization reduced by 30% in the diversified plots can partially replace the use of fertilizers with no negative effects on total crop production. In this study we compared over three crop cycles monocrops with three different melon-cowpea intercropping patterns: mixed intercropping, row intercropping 1:1 (melon:cowpea) and row intercropping 2:1 (melon:cowpea). Our results, presented in this study, showed that intercropping systems, regardless of the pattern, kept soil organic C levels, while it significantly decreased in melon monoculture. Intercropping also significantly increased soil total N, available P and exchangeable K (0.13%, 62 mg·kg               -1               and 387 mg·kg               -1               , respectively), compared to the melon monocrop (0.11%, 25 mg·kg               -1               and 306 mg·kg               -1               ). Total crop production was significantly higher under diversified systems, with land equivalent ratios > 1. Hence, the introduction of cowpea associated with melon, combined with reduced tillage and the incorporation of crop residues could be considered as a feasible strategy for sustainable agriculture, with environmental gains and economic savings for fertilizers and water.","2023-08","2026-04-29 10:51:58","2026-04-29 10:51:58","2026-04-29 10:51:58","53","","4","43","","Agron. Sustain. Dev.","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\andreasanchez\Zotero\storage\5ACLTUFG\Marcos-Pérez et al. - 2023 - Intercropping organic melon and cowpea combined with return of crop residues increases yields and so.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NSPIS5EY","journalArticle","2023","Amiriyan Chelan, Zahra; Amini, Rouhollah; Dabbagh Mohammadi Nasab, Adel","Essential oil yield and compositions of Dracocephalum moldavica L. in intercropping with fenugreek, inoculation with mycorrhizal fungi and bacteria","Scientific Reports","","2045-2322","10.1038/s41598-023-35156-x","https://www.nature.com/articles/s41598-023-35156-x","Abstract                            Intercropping is one of the most important components of sustainable agriculture. The effects of chemical fertilizer (CF), arbuscular mycorrhizal fungi (AMF) (               Glomus               sp.) and AMF + nitrogen-fixing bacteria (NFB) including               Azospirillum               and               Azotobacter               (AMF + NFB) was studied on essential oil yield and compositions of Moldavian balm (Mb) (               Dracocephalum moldavica               L.) in sole cropping and intercropping with fenugreek (F) (               Trigonella foenum-graecum               L.). The experiment was conducted during 2020 and 2021 growing seasons in East Azarbayhan, Iran. The highest dry herbage yield (6132 kg ha               −1               ) was obtained in Mb:F(4:2) and CF treatment. After sole Moldavian balm, the highest essential oil yield (15.28 kg ha               −1               ) was obtained in Mb:F (4:2) and AMF + NFB treatment. Geranial, geranyl acetate, geraniol, neral, and nerol were the main chemical constituents of essential oil. In AMF + NFB treatments the geranial contents in intercropping patterns of Mb:F (1:1), (2:2) and (100:50), increased by 25.1, 15.5 and 34.6% compared with sole Moldavian balm. The highest LER               T               values were observed in Mb:F (100:50) cropping pattern in 2021 (1.70 and 1.63 for CF and AMF + NFB treatments). Generally, it can be concluded that Mb:F (100:50) intercropping and use of AMF + NFB bio-fertilizer could be recommended to medicinal plant growers in sustainable production systems.","2023-05-17","2026-04-29 10:51:56","2026-04-29 10:51:56","2026-04-29 10:51:56","8039","","1","13","","Sci Rep","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\andreasanchez\Zotero\storage\8J8PSA7G\Amiriyan Chelan et al. - 2023 - Essential oil yield and compositions of Dracocephalum moldavica L. in intercropping with fenugreek,.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8XRAC2GI","journalArticle","2023","Amassaghrou, Asmae; Barkaoui, Karim; Bouaziz, Ahmed; Alaoui, Si Bennasseur; Fatemi, Zain El Abidine; Daoui, Khalid","Yield and related traits of three legume crops grown in olive-based agroforestry under an intense drought in the South Mediterranean","Saudi Journal of Biological Sciences","","1319562X","10.1016/j.sjbs.2023.103597","https://linkinghub.elsevier.com/retrieve/pii/S1319562X23000426","","2023-04","2026-04-29 10:51:53","2026-04-29 10:51:53","2026-04-29 10:51:53","103597","","4","30","","Saudi Journal of Biological Sciences","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\andreasanchez\Zotero\storage\6BD3ECWG\Amassaghrou et al. - 2023 - Yield and related traits of three legume crops grown in olive-based agroforestry under an intense dr.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IPJZXEJR","journalArticle","2022","Begam, Ankita; Pramanick, Mahadev; Dutta, Susanta; Ray, Manabendra; Sengupta, Kajal","Growth and Yield Responses of Cowpea (Vigna unguiculata L.) as Influenced by Crop Geometry and Nutrient Management Practices","LEGUME RESEARCH - AN INTERNATIONAL JOURNAL","","0976-0571, 0250-5371","10.18805/LR-4839","https://arccjournals.com/journal/legume-research-an-international-journal/LR-4839","Background: Inclusion of legume with cereal as an intercrop ensure crop nutrition and enhanced soil quality. Combine application of organic manure with inorganic fertilizer minimizes the soil hazard and improves crop productivity in a significant manner. Methods: The experiment on Kharif maize +cowpea intercropping system was carried out at ‘Jaguli Instructional Farm’ of Bidhan Chandra Krishi Viswavidyalaya, Nadia, under the New Alluvial Zone of West Bengal in 2019-2020 to investigate the influence of crop geometry and nutrient management practices on growth and yield responses of legume (cowpea). The experiment was laid out with a split-plot design. The main plot had five crop geometry and a sub plot comprised five nutrient management practices, which were replicated thrice. Result: From the pooled data of two years experiment, the intercropping system of 1M:1C (Maize: Cowpea) (C3) perform better in respect of growth attributes, viz., leaves plant-1, LAI, branches plant-1 and CGR; yield reflecting attributes viz., pods plant-1, pod length, pod and forage yield of cowpea (1.30 and 5.49 t ha-1) and crop (maize) equivalent yield of cowpea (1.76 t ha-1) although the maximum values were attained from sole cowpea treatment (C2). Nutrient management practices with the application of 75% N as chemical + 25% N as organic with seaweed application (N2) recorded greater growth and yield viz., pod, forage and crop (maize) equivalent yield (1.51, 6 and 2.01 t ha-1), respectively. Total nodules plant-1 were significantly influenced by crop geometry and nutrient management, whereas the total chlorophyll content of cowpea was significantly varied with nutrient management. Regression studies depicted the negative functional relationship between pod yield and canopy temperature, whereas the relationship between intercepted photosynthetic active radiation (PAR) and pod yield was positive.","2022-03-12","2026-04-29 10:51:51","2026-04-29 10:51:51","2026-04-29 10:51:51","","","Of","","","LR","","","","","","","","","","","","","DOI.org (Crossref)","","","","C:\Users\andreasanchez\Zotero\storage\LXAG7IWE\Begam et al. - 2022 - Growth and Yield Responses of Cowpea (Vigna unguiculata L.) as Influenced by Crop Geometry and Nutri.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BQCY9ULB","journalArticle","2023","Verma, Kirti; Singh, Anil Kumar; Singh, Saudan","Assessing the suitability of traditional food crops and resource use efficiency in kalmegh [Andrographis paniculata (Burm. F.) Wall ex. Nees] based intercropping systems","Industrial Crops and Products","","09266690","10.1016/j.indcrop.2023.117203","https://linkinghub.elsevier.com/retrieve/pii/S0926669023009688","","2023-11","2026-04-29 10:52:35","2026-04-29 10:52:35","2026-04-29 10:52:35","117203","","","203","","Industrial Crops and Products","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IP4LX8HQ","journalArticle","2023","Zhao, Jianhua; Bedoussac, Laurent; Sun, Jianhao; Chen, Wei; Li, Weiqi; Bao, Xingguo; Van Der Werf, Wopke; Li, Long","Competition-recovery and overyielding of maize in intercropping depend on species temporal complementarity and nitrogen supply","Field Crops Research","","03784290","10.1016/j.fcr.2023.108820","https://linkinghub.elsevier.com/retrieve/pii/S0378429023000138","","2023-03","2026-04-29 10:52:33","2026-04-29 10:52:33","2026-04-29 10:52:33","108820","","","292","","Field Crops Research","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\andreasanchez\Zotero\storage\UMI9WACG\Zhao et al. - 2023 - Competition-recovery and overyielding of maize in intercropping depend on species temporal complemen.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GP2TCIMK","journalArticle","2023","Shen, Lei; Wang, Xiuyuan; Liu, Tingting; Wei, Wenwen; Zhang, Shuai; Zhu, Yun; Tuerti, Tayir; Li, Luhua; Zhang, Wei","Apple–Soybean Mixed Stand Increased Fine Root Distribution and Soil Water Content with Reduced Soil Nitrate Nitrogen","Agronomy","","2073-4395","10.3390/agronomy13020548","https://www.mdpi.com/2073-4395/13/2/548","In dryland agroecosystems, intercropping fruit trees with legumes is often an important option for maintaining and improving soil N quality and fertility. The relationships of fine root length density (FRLD), soil water content (SWC), and soil NO3−-N content (SNC) in agroforestry systems is essential for optimal orchard management. Our objective was to understand the temporal and spatial dynamics of FRLD, SWC, and SNC in an apple–soybean intercropping system and competition between species for ecological niches. We established an orchard with soybean and apple, including monoculture apple (MA), monoculture soybean (MS), and apple–soybean intercrop (AS) treatments. We collected data on the distribution of FRLD, SWC, SNC, and productivity under the MA, AS, and MS from 2020 to 2021. This study showed that AS had more FRLD compared to MA, and intercropping apple (IA) FRLD increased at 20–60 cm soil depth at 50 and 100 cm from the tree and decreased at 0–40 cm soil depth at 150 and 200 cm from the tree. Intercropping increased the SWC of the system and decreased the SNC, and the effect of intercropping was concentrated in the soybean cover area. The competition between apple and soybean reached its maximum at soybean seed filling stage, with competition occurring mainly at 100 cm from the tree and at 0–20 cm soil depth. Intercropping affected soybean growth and also reduced soybean yield with a land equivalent ratio = 1.45. By understanding the dynamics of subsoil resources in the apple–soybean intercropping system and interspecific competition, we can provide a theoretical basis for exploring the potential of sustainable intensification of agroforestry systems.","2023-02-14","2026-04-29 10:52:31","2026-04-29 10:52:31","2026-04-29 10:52:31","548","","2","13","","Agronomy","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\andreasanchez\Zotero\storage\C4QXYWT9\Shen et al. - 2023 - Apple–Soybean Mixed Stand Increased Fine Root Distribution and Soil Water Content with Reduced Soil.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
