pillar,subpillar,indicator,subindicator,subindicator_short,subindicator_definition,subindicator_details,notes,Example units,Negative Values,Sign,TC.Ratio,Not.Perc,Depreciated,Previous.Names,source,effect_size_type,effect_size_ref,effect_size_logic,effect_size_logic_ref
Productivity,Economics,Economic Performance,Cost Benefit Ratio (TCGR),CB Ratio (TCGR),The ratio of total costs to gross returns (total costs/gross returns).,NA,NA,Unitless ratio,N,n,N,Y,FALSE,NA,ERA,Log Response Ratio,NA,"The response ratio (R) is often used in ecology. This effect size is only meaningful when the outcome has a natural zero point, but when this condition holds, it provides a unique perspective on the effect size.",Sanchez et al. (2022). Financial profitability of diversified farming systems: A global meta-analysis
Productivity,Economics,Economic Performance,Cost Benefit Ratio (TCNR),CB Ratio (TCNR),The ratio of variable costs to net returns (variable costs/net returns).,NA,NA,Unitless ratio,Y,n,N,Y,FALSE,NA,ERA,Log Response Ratio,NA,"The response ratio (R) is often used in ecology. This effect size is only meaningful when the outcome has a natural zero point, but when this condition holds, it provides a unique perspective on the effect size.",Sanchez et al. (2022). Financial profitability of diversified farming systems: A global meta-analysis
Productivity,Economics,Economic Performance,Cost Benefit Ratio (VCGR),CB Ratio (VCGR),The ratio of variable costs to gross returns (variablecosts/gross returns).,NA,NA,Unitless ratio,N,n,N,Y,FALSE,NA,ERA,Log Response Ratio,NA,"The response ratio (R) is often used in ecology. This effect size is only meaningful when the outcome has a natural zero point, but when this condition holds, it provides a unique perspective on the effect size.",Sanchez et al. (2022). Financial profitability of diversified farming systems: A global meta-analysis
Productivity,Economics,Economic Performance,Internal Rate of Return,IRR,Internal Rate of Return is the interest rate at which the net present value of all cash flows equal zero.,NA,NA,%,Y,p,N,N,FALSE,NA,ERA,NA,NA,NA,NA
Productivity,Economics,Economic Performance,Marginal Rate of Return,MRR,"Marginal Rate of Return is the amount of revenue per additional item, divided by marginal costs.",NA,NA,%,Y,p,N,N,FALSE,NA,ERA,Standardized Mean Difference,NA,NA,NA
Productivity,Economics,Economic Performance,Net Present Value,NPV,"Net Present Value = the value in the present of a sum of money, in contrast to some future value it will have when it has been invested at compound interest.",NA,Convert local currences to USD (present $ in units) if exchange rates are presented in the paper. Record values in non-USD currency using the ISO 4217 country currency code in the units.,USD,Y,p,N,Y,FALSE,NA,ERA,Standardized Mean Difference,NA,NA,NA
Productivity,Economics,Economic Performance,Payback Period,Payback Period,The period of time required to recoup the funds expended in investment.,NA,NA,months; years,N,n,N,Y,FALSE,NA,ERA,NA,NA,NA,NA
Productivity,Economics,Economic Performance,Return on Investment,ROI,Return on investment is the gain or loss relative to the amount invested.,NA,"This is usually presented as a ratio, please convert any % values to proportions.",Unitless ratio,Y,p,N,N,FALSE,NA,ERA,NA,NA,NA,NA
Productivity,Economics,Income,Gross Margin,Gross Margin,Gross margin = revenue - variable costs. Values for this outcome can be negative or positive.,NA,Please standardize area denominators to ha where possible. Convert local currences to USD (present $ in units) if exchange rates are presented in the paper. Record values in non-USD currency using the ISO 4217 country currency code in the units.,USD; USD/ha; USD/yr,Y,p,N,Y,FALSE,NA,ERA,Standardized Mean Difference,NA,some comparisons presented negative mean values meaning log-RR could not be calculated.,Sanchez et al. 2022. Financial profitability of diversified farming systems: A global meta-analysis
Productivity,Economics,Income,Gross Return,Gross Return,"Total income, revenue or returns without consideration of costs.",NA,Please standardize area denominators to ha where possible. Convert currences to USD (present $ in units) if exchange rates are presented in the paper. Record values in non-USD currency using the ISO 4217 country currency code in the units.,USD; USD/ha; USD/yr,N,p,N,Y,FALSE,NA,ERA,Log Response Ratio,NA,NA,Sanchez et al. (2022). Financial profitability of diversified farming systems: A global meta-analysis
Productivity,Economics,Income,Net Return,Net Return,Net returns = income - total costs. Values for this outcome can be negative or positive.,NA,Please standardize area denominators to ha where possible. Convert currences to USD (present $ in units) if exchange rates are presented in the paper. Record values in non-USD currency using the ISO 4217 country currency code in the units.,USD; USD/ha; USD/yr,Y,p,N,Y,FALSE,NA,ERA,Standardized Mean Difference,NA,some comparisons presented negative mean values meaning log-RR could not be calculated.,Sanchez et al. 2022. Financial profitability of diversified farming systems: A global meta-analysis
Productivity,Yield,Non-Product Yield,Crop Residue Yield,Residue Yield,"Crop residue yield is the amount of crop biomass left over once the crop products has been harvested. For example maize grain is a crop product, the stover and cobs leftover after harvesting the maize grain are crop residues.",NA,Entire plant biomass can also be recorded under this outcome if product or biomass yields are not available ( make sure the unit reflects this).,t/ha;kg/ha,N,p,N,Y,FALSE,NA,ERA,Log Response Ratio,NA,NA,NA
Productivity,Yield,Product Yield,Area Time Equivalent Ratio,ATER,"The Area Time Equivalent Ratio (ATER) is a measure of the productivity of an intercropping system. It is calculated by dividing the total yield of the intercrop by the yield of a sole crop grown for the same duration. The ATER is calculated as follows: ATER = (Total yield of intercrop) / (Yield of sole crop grown for the same duration). The ATER is particularly useful in intercropping systems where the crops have different growth durations. For example, if a farmer intercrops a fast-growing crop with a slow-growing crop, the faster-growing crop will produce a yield before the slower-growing crop. The ATER will take into account the different growth durations of the crops and will give a more accurate measure of the overall productivity of the intercropping system.",NA,NA,NA,N,p,Y,Y,FALSE,NA,ERA,NA,NA,NA,NA
Productivity,Yield,Product Yield,Biomass Yield,Biomass Yield,"Plant biomass yield. This can be used to describe pasture biomass yields or when total, above ground, or below ground biomass yields are given for crops that are usually split into product and non-product parts on harvest.",NA,NA,t/ha;kg/ha,N,p,N,Y,FALSE,NA,ERA,Log Response Ratio,NA,NA,Jones et al. (2023). Achieving win-win outcomes for biodiversity and yield through diversified farming
Productivity,Yield,Product Yield,Crop Yield,Crop Yield,"Amount of crop plant product produced (e.g., grain or fruit yield) per unit area land.",NA,"When product and non-product components are not separated, for example measures of total, above-ground or below-ground crop biomass, the outcome sould be recorded using the Biomass Yield Outcome. Non-product component outcomes (e.g. maize stover or wheat stalks) should be recorded using the Crop Residue Yield outcome.",t/ha;kg/ha,N,p,N,Y,FALSE,NA,ERA,Log Response Ratio,NA,NA,Jones et al. (2023). Achieving win-win outcomes for biodiversity and yield through diversified farming
Productivity,Yield,Product Yield,Egg Yield,Egg Yield,"Egg yields, such as number of eggs per hen(s) per day(s).",NA,Please try and standardise units to eggs per one individual per day. (eggs/individual/day).,eggs/hen/day,N,p,N,Y,FALSE,NA,ERA,Log Response Ratio,NA,"The response ratio (R) is often used in ecology. This effect size is only meaningful when the outcome has a natural zero point, but when this condition holds, it provides a unique perspective on the effect size.",Jones et al. (2023). Achieving win-win outcomes for biodiversity and yield through diversified farming
Productivity,Yield,Product Yield,Extraction Yield,Extraction Yield,Extraction yield of oil from oil seeds or similar. For example 300kg oil extracted from 1000kg oil seeds = 0.3 or 30% oil yield per kg oil seeds.,NA,This outcome should be a percentage or ratio.,Unitless ratio; %,N,p,N,N,FALSE,NA,ERA,NA,NA,NA,NA
Productivity,Yield,Product Yield,Land Equivalent Ratio,LER,The land equivalent ratio describes the relative land area required under sole cropping (monoculture) to produce the same yield as under intercropping (polyculture).,NA,"We do not accept LER for practice A vs practice B (e.g. mulch vs no-mulch as this yield A/yield B, which we calculated as the response ratio).",Unitless ratio,N,p,Y,Y,FALSE,NA,ERA,NA,NA,NA,NA
Productivity,Yield,Product Yield,Meat Yield,Meat Yield,The total weight of the animal or meat parts of it.,NA,"This should not be an increase from a baseline weight (this is recorded under the Weight Gain outcome). Please try and standardise units kg/individual, you may specify the type of meat or weight measurement though (e.g. carcass weight kg/individual).' Specify if carcass is hot or cold, take both if given;Default unit is unit/individual (e.g kg/cow) unless otherwise statement",kg/individual,N,p,N,Y,FALSE,NA,ERA,Log Response Ratio,NA,"The response ratio (R) is often used in ecology. This effect size is only meaningful when the outcome has a natural zero point, but when this condition holds, it provides a unique perspective on the effect size.",Jones et al. (2023). Achieving win-win outcomes for biodiversity and yield through diversified farming
Productivity,Yield,Product Yield,Milk Yield,Milk Yield,Milk yields. Please specify absolute values and not change in yield relative to a base value.,NA,Please try and standardise to litres per animal per day (l/individual/day).,l/individual/day,N,p,N,Y,FALSE,NA,ERA,Log Response Ratio,NA,"The response ratio (R) is often used in ecology. This effect size is only meaningful when the outcome has a natural zero point, but when this condition holds, it provides a unique perspective on the effect size.",Jones et al. (2023). Achieving win-win outcomes for biodiversity and yield through diversified farming
Productivity,Yield,Product Yield,Other Animal Product Yield,Animal Yield (Other),"Animal products that are not meat, egg, milk or offsping, for example wool, hides and honey.",NA,NA,See any units for other animal outcomes.,N,p,N,Y,FALSE,NA,ERA,NA,NA,NA,NA
Productivity,Yield,Product Yield,Partial Land Equivalent Ratio,Pler,NA,NA,NA,Unitless ratio,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Productivity,Yield,Product Yield,Reproductive Yield,Repro Yield,Number of offpsring produced. This also includes % calving rate or similar.,NA,NA,#; %,N,p,N,Y,FALSE,NA,ERA,NA,NA,NA,NA
Productivity,Yield,Product Yield,Weight Gain,Weight Gain,Change in animal weight relative to a baseline (usually weight at the start of an experiment) over a specified time period.,NA,Please try to standardise to g per animal per day (g/individual/day). Default unit is unit/individual (e.g kg/cow) unless otherwise stated. Values for this outcome can be negative (the animal loses weight) or positive.,g/individual/day SGR (Specific Growth Rate),Y,p,N,Not Sure,FALSE,NA,ERA,NA,NA,NA,NA
Resilience,Biodiversity,Abundance,Abundance,Abundance,"Refers to the number of individuals of a particular species, functional group, or taxonomic group present in a defined area or sampling unit at a given time.",Reported as raw counts or density (individuals per unit area/effort). Standardization depends on sampling protocol.,NA,N; count; individuals per unit area,N,p,N,Y,FALSE,NA,Jones et al 2022,Log Response Ratio,NA,NA,Sanchez et al. 2022. Landscape complexity and functional groups moderate the effect of diversified farming on biodiversity: A global meta-analysis
Resilience,Biodiversity,Abundance,Activity-density,Activity-dens,"A combined measure of abundance and movement activity, typically obtained from passive traps (e.g., pitfall traps). Reflects the number of individuals captured per unit of trapping effort, conflating density and activity level.","Standard metric for ground-dwelling arthropods (carabids, spiders, ants). Calculated as individuals per trap per unit time (e.g., per 24 h or per trap-night).",NA,individuals per trap per day; N per trap-night,N,p,N,Y,FALSE,NA,Jones et al 2022,Log Response Ratio,NA,NA,NA
Resilience,Biodiversity,Abundance,Colonisation percent,Colonisation percent,"The percentage of plant root length or root segments colonised by fungi, typically arbuscular mycorrhizal fungi (AMF). A measure of fungal abundance at the host-symbiont interface. Examples include: AMF root colonisation (%), mycorrhizal colonisation rate.",Usually measured by root staining and microscopic examination using the gridline intersect method.,NA,%; proportion,N,p,N,Y,FALSE,NA,Jones et al 2022,Log Response Ratio,NA,NA,NA
Resilience,Biodiversity,Abundance,Number,Number,"Raw count of individuals or species not standardized by area, effort, or time. Used when abundance is reported as a simple total count without a density denominator.",Distinct from density-based abundance measures. No area or effort standardization applied.,NA,count; N,N,p,N,Y,FALSE,NA,BioFINCAS,Log Response Ratio,NA,NA,NA
Resilience,Biodiversity,Abundance,Number of orders,N orders,"Count of distinct taxonomic orders represented in a sample or community. Used when order-level resolution is more appropriate than species-level (e.g., insect biodiversity surveys).",A coarse-grained richness measure useful when species-level identification is impractical. Distinct from 'Taxonomic diversity' which may include genus/family-level counts.,NA,count; N orders,N,p,N,Y,FALSE,NA,Jones et al 2022,Log Response Ratio,NA,NA,NA
Resilience,Biodiversity,Abundance,Visitation frequency,Visit Freq,"The number of visits (e.g., by pollinators or flower visitors) recorded per plant, flower, or unit time. A measure of functional abundance commonly used in pollination studies.","Typically reported as visits per flower per unit time, or visits per plant per observation period. Depends strongly on observation protocol.",NA,visits per flower per unit time; visits per plant; N visits,N,p,N,Y,FALSE,Vistitation frequency,Jones et al 2022,Log Response Ratio,NA,NA,NA
