combo_clean1,CT_crop_FAO_Food_Group_clean,diversification_spatial_temporal_theme,biomass_management_practice,nutrient_management_practice,soil_management_theme,water_management_practice,impact,agr_zone,n,neg,pos
Barley,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Inorganic Fertilizer,NA,NA,Product Yield,"Tropics, highland; humid, with soil/terrain limitations",4,0,1
Barley,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Inorganic and Organic Fertilizers,NA,NA,Product Yield,Land with severe soil/terrain limitations,4,0,1
Barley,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Inorganic and Organic Fertilizers,NA,NA,Soil Quality,Land with severe soil/terrain limitations,1,0,1
Barley,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Organic Fertilizer,NA,NA,Product Yield,Land with severe soil/terrain limitations,3,0,1
Barley,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Organic Fertilizer,NA,NA,Soil Quality,Land with severe soil/terrain limitations,3,0.6666666666666666,0.3333333333333333
Barley,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Organic Fertilizer + Inorganic Fertilizer,NA,NA,Soil Quality,Land with severe soil/terrain limitations,2,0,1
Barley + Common Bean + Maize + Teff + Wheat,Cereals..Leguminous crops,NA,C: Crop residues retained_vs_T: Crop residues retained,NA,NA,NA,Carbon Stocks,Ample irrigated soils,1,0,1
Barley + Common Bean + Maize + Teff + Wheat,Cereals..Leguminous crops,NA,C: Crop residues retained_vs_T: Crop residues retained,NA,NA,NA,Soil Quality,Ample irrigated soils,1,0,1
Barley + Fava Bean,Cereals,C: Monoculture_vs_T: Intercropping,NA,C: Inorganic Fertilizer_vs_T: Inorganic Fertilizer,NA,NA,Product Yield,Land with severe soil/terrain limitations,5,1,0
Barley + Fava Bean,Cereals..Leguminous crops,C: Intercropping_vs_T: Intercropping,NA,C: Inorganic Fertilizer_vs_T: Inorganic Fertilizer,NA,NA,Product Yield,Land with severe soil/terrain limitations,5,1,0
Barley + Indian Pea + Teff + Wheat,Cereals,NA,C: Crop residues removed_vs_T: Crop residues removed,C: Inorganic Fertilizer_vs_T: Inorganic Fertilizer,NA,NA,Costs,"Tropics, highland; semi-arid, with soil/terrain limitations",3,0.6666666666666666,0.3333333333333333
Barley + Indian Pea + Teff + Wheat,Cereals,NA,C: Crop residues removed_vs_T: Crop residues removed,C: Inorganic Fertilizer_vs_T: Inorganic Fertilizer,NA,NA,Income,"Tropics, highland; semi-arid, with soil/terrain limitations",6,0.3333333333333333,0.6666666666666666
Barley + Indian Pea + Teff + Wheat,Cereals,NA,C: Crop residues removed_vs_T: Crop residues removed,C: Inorganic Fertilizer_vs_T: Inorganic Fertilizer,NA,NA,Product Yield,"Tropics, highland; semi-arid, with soil/terrain limitations",6,0.3333333333333333,0.6666666666666666
Barley + Indian Pea + Teff + Wheat,Cereals,NA,C: Crop residues removed_vs_T: Crop residues removed,C: Inorganic Fertilizer_vs_T: Inorganic Fertilizer,NA,NA,Soil Quality,"Tropics, highland; semi-arid, with soil/terrain limitations",6,0,1
Barley + Indian Pea + Teff + Wheat,Cereals,NA,C: Crop residues removed_vs_T: Organic mulch (unspecified),C: Inorganic Fertilizer_vs_T: Inorganic Fertilizer,NA,NA,Costs,"Tropics, highland; semi-arid, with soil/terrain limitations",15,0.8,0.2
Barley + Indian Pea + Teff + Wheat,Cereals,NA,C: Crop residues removed_vs_T: Organic mulch (unspecified),C: Inorganic Fertilizer_vs_T: Inorganic Fertilizer,NA,NA,Income,"Tropics, highland; semi-arid, with soil/terrain limitations",30,0.06666666666666667,0.9333333333333333
Barley + Indian Pea + Teff + Wheat,Cereals,NA,C: Crop residues removed_vs_T: Organic mulch (unspecified),C: Inorganic Fertilizer_vs_T: Inorganic Fertilizer,NA,NA,Product Yield,"Tropics, highland; semi-arid, with soil/terrain limitations",30,0.06666666666666667,0.9333333333333333
Barley + Indian Pea + Teff + Wheat,Cereals,NA,C: Crop residues removed_vs_T: Organic mulch (unspecified),C: Inorganic Fertilizer_vs_T: Inorganic Fertilizer,NA,NA,Soil Quality,"Tropics, highland; semi-arid, with soil/terrain limitations",30,0,1
Barley + Maize + Niger + Rape + Sorghum + Teff + Wheat,Cereals..Oilseed crops and oleaginous fruits,NA,C: Crop residues removed_vs_T: Crop residues removed,C: Organic Fertilizer_vs_T: Organic Fertilizer,NA,NA,Income,Dominantly built-up land,6,0,1
Barley + Maize + Niger + Rape + Sorghum + Teff + Wheat,Cereals..Oilseed crops and oleaginous fruits,NA,C: Crop residues removed_vs_T: Crop residues removed,C: Organic Fertilizer_vs_T: Organic Fertilizer,NA,NA,Income,Dominantly very steep terrain,6,0,1
Barley + Maize + Niger + Rape + Sorghum + Teff + Wheat,Cereals..Oilseed crops and oleaginous fruits,NA,C: Crop residues removed_vs_T: Crop residues removed,C: Organic Fertilizer_vs_T: Organic Fertilizer,NA,NA,Income,Land with severe soil/terrain limitations,6,0,1
Barley + Maize + Niger + Rape + Sorghum + Teff + Wheat,Cereals..Oilseed crops and oleaginous fruits,NA,C: Crop residues removed_vs_T: Crop residues removed,C: Organic Fertilizer_vs_T: Organic Fertilizer,NA,NA,Income,"Tropics, highland; semi-arid, with soil/terrain limitations",6,0,1
Barley + Maize + Niger + Rape + Sorghum + Teff + Wheat,Cereals..Oilseed crops and oleaginous fruits,NA,C: Crop residues removed_vs_T: Crop residues removed,C: Organic Fertilizer_vs_T: Organic Fertilizer,NA,NA,Income,"Tropics, highland; sub-humid, no soil/terrain limitations",6,0,1
Barley + Maize + Niger + Rape + Sorghum + Teff + Wheat,Cereals..Oilseed crops and oleaginous fruits,NA,C: Crop residues removed_vs_T: Crop residues removed,C: Organic Fertilizer_vs_T: Organic Fertilizer,NA,NA,Labour,Dominantly built-up land,6,0,1
Barley + Maize + Niger + Rape + Sorghum + Teff + Wheat,Cereals..Oilseed crops and oleaginous fruits,NA,C: Crop residues removed_vs_T: Crop residues removed,C: Organic Fertilizer_vs_T: Organic Fertilizer,NA,NA,Labour,Dominantly very steep terrain,6,0,1
Barley + Maize + Niger + Rape + Sorghum + Teff + Wheat,Cereals..Oilseed crops and oleaginous fruits,NA,C: Crop residues removed_vs_T: Crop residues removed,C: Organic Fertilizer_vs_T: Organic Fertilizer,NA,NA,Labour,Land with severe soil/terrain limitations,6,0,1
Barley + Maize + Niger + Rape + Sorghum + Teff + Wheat,Cereals..Oilseed crops and oleaginous fruits,NA,C: Crop residues removed_vs_T: Crop residues removed,C: Organic Fertilizer_vs_T: Organic Fertilizer,NA,NA,Labour,"Tropics, highland; semi-arid, with soil/terrain limitations",6,0,1
Barley + Maize + Niger + Rape + Sorghum + Teff + Wheat,Cereals..Oilseed crops and oleaginous fruits,NA,C: Crop residues removed_vs_T: Crop residues removed,C: Organic Fertilizer_vs_T: Organic Fertilizer,NA,NA,Labour,"Tropics, highland; sub-humid, no soil/terrain limitations",6,0,1
Barley + Peas + Teff + Wheat,Cereals..Leguminous crops,C: Crop rotation_vs_T: Crop rotation,C: Crop residues removed_vs_T: Organic mulch (herbaceus),NA,C: Conventional Tillage_vs_T: Reduced Tillage,NA,Product Yield,"Tropics, highland; semi-arid, with soil/terrain limitations",4,0,1
Barley + Peas + Teff + Wheat,Cereals..Leguminous crops,C: Crop rotation_vs_T: Crop rotation,C: Crop residues removed_vs_T: Organic mulch (herbaceus),NA,C: Conventional Tillage_vs_T: Reduced Tillage,NA,Soil Quality,"Tropics, highland; semi-arid, with soil/terrain limitations",2,0,1
Barley + Peas + Teff + Wheat,Cereals..Leguminous crops,NA,C: Crop residues removed_vs_T: Crop residues removed,C: Inorganic Fertilizer_vs_T: Inorganic Fertilizer,NA,NA,Product Yield,"Tropics, highland; semi-arid, with soil/terrain limitations",12,0.3333333333333333,0.6666666666666666
Barley + Peas + Teff + Wheat,Cereals..Leguminous crops,NA,C: Crop residues removed_vs_T: Crop residues removed,NA,NA,NA,Efficiency,"Tropics, highland; semi-arid, with soil/terrain limitations",4,0,1
Barley + Peas + Teff + Wheat,Cereals..Leguminous crops,NA,C: Crop residues removed_vs_T: Crop residues removed,NA,NA,NA,Product Yield,"Tropics, highland; semi-arid, with soil/terrain limitations",8,0,1
Barley + Peas + Teff + Wheat,Cereals..Leguminous crops,NA,C: Crop residues removed_vs_T: Organic mulch (unspecified),C: Inorganic Fertilizer_vs_T: Inorganic Fertilizer,NA,NA,Product Yield,"Tropics, highland; semi-arid, with soil/terrain limitations",16,0,1
Barley + Peas + Teff + Wheat,Cereals..Leguminous crops,NA,C: Crop residues removed_vs_T: Organic mulch (unspecified),NA,NA,NA,Efficiency,"Tropics, highland; semi-arid, with soil/terrain limitations",2,0,1
Barley + Peas + Teff + Wheat,Cereals..Leguminous crops,NA,C: Crop residues removed_vs_T: Organic mulch (unspecified),NA,NA,NA,Product Yield,"Tropics, highland; semi-arid, with soil/terrain limitations",4,0,1
Barley + Wheat,Cereals,C: Crop rotation_vs_T: Crop rotation,C: Crop residues removed_vs_T: Organic mulch (herbaceus),C: Inorganic Fertilizer_vs_T: Inorganic Fertilizer,C: Conventional Tillage_vs_T: Reduced Tillage,NA,Costs,"Tropics, highland; semi-arid, with soil/terrain limitations",12,0.5,0.5
Barley + Wheat,Cereals,C: Crop rotation_vs_T: Crop rotation,C: Crop residues removed_vs_T: Organic mulch (herbaceus),C: Inorganic Fertilizer_vs_T: Inorganic Fertilizer,C: Conventional Tillage_vs_T: Reduced Tillage,NA,Income,"Tropics, highland; semi-arid, with soil/terrain limitations",24,0.5,0.5
Barley + Wheat,Cereals,C: Crop rotation_vs_T: Crop rotation,C: Crop residues removed_vs_T: Organic mulch (herbaceus),C: Inorganic Fertilizer_vs_T: Inorganic Fertilizer,C: Conventional Tillage_vs_T: Reduced Tillage,NA,Non-Product Yield,"Tropics, highland; semi-arid, with soil/terrain limitations",12,0,1
Barley + Wheat,Cereals,C: Crop rotation_vs_T: Crop rotation,C: Crop residues removed_vs_T: Organic mulch (herbaceus),C: Inorganic Fertilizer_vs_T: Inorganic Fertilizer,C: Conventional Tillage_vs_T: Reduced Tillage,NA,Product Yield,"Tropics, highland; semi-arid, with soil/terrain limitations",24,0,1
Barley + Wheat,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Biochar,NA,NA,Soil Quality,"Tropics, highland; humid, with soil/terrain limitations",54,0,1
Common Bean + Finger Millet,Cereals,C: Monoculture_vs_T: Intercropping,NA,NA,NA,NA,Product Yield,"Tropics, highland; semi-arid, with soil/terrain limitations",15,0.5333333333333333,0.4666666666666667
Common Bean + Finger Millet,Cereals,C: Monoculture_vs_T: Intercropping,NA,NA,NA,NA,Product Yield,"Tropics, highland; sub-humid, with soil/terrain limitations",15,0.5333333333333333,0.4666666666666667
Common Bean + Finger Millet,Cereals..Leguminous crops,C: Intercropping_vs_T: Intercropping,NA,C: Inorganic Fertilizer_vs_T: Inorganic Fertilizer,NA,NA,Product Yield,"Tropics, highland; semi-arid, with soil/terrain limitations",12,0.5833333333333334,0.4166666666666667
Common Bean + Finger Millet,Cereals..Leguminous crops,C: Intercropping_vs_T: Intercropping,NA,C: Inorganic Fertilizer_vs_T: Inorganic Fertilizer,NA,NA,Product Yield,"Tropics, highland; sub-humid, with soil/terrain limitations",12,0.5833333333333334,0.4166666666666667
Common Bean + Finger Millet,Cereals..Leguminous crops,C: Intercropping_vs_T: Intercropping,NA,C: No Fertilizers Applied_vs_T: Inorganic Fertilizer,NA,NA,Product Yield,"Tropics, highland; semi-arid, with soil/terrain limitations",14,0,1
Common Bean + Finger Millet,Cereals..Leguminous crops,C: Intercropping_vs_T: Intercropping,NA,C: No Fertilizers Applied_vs_T: Inorganic Fertilizer,NA,NA,Product Yield,"Tropics, highland; sub-humid, with soil/terrain limitations",14,0,1
Common Bean + Maize + Mung Bean,Cereals,C: Monoculture_vs_T: Intercropping,NA,C: Inorganic Fertilizer_vs_T: Inorganic Fertilizer,NA,NA,Product Yield,"Tropics, highland; sub-humid, no soil/terrain limitations",2,1,0
Common Bean + Pearl Millet,Cereals,C: Monoculture_vs_T: Intercropping,NA,C: Inorganic Fertilizer_vs_T: Inorganic Fertilizer,NA,NA,Product Yield,"Tropics, highland; sub-humid, with soil/terrain limitations",12,0.8333333333333334,0.16666666666666666
Common Bean + Pearl Millet,Cereals,C: Monoculture_vs_T: Intercropping,NA,NA,NA,NA,Product Yield,"Tropics, highland; sub-humid, with soil/terrain limitations",12,0.5833333333333334,0.4166666666666667
Common Vetch + Finger Millet,Cereals,C: Monoculture_vs_T: Intercropping,NA,C: Inorganic Fertilizer_vs_T: Inorganic Fertilizer,NA,NA,Product Yield,"Tropics, lowland; humid, with soil/terrain limitations",9,1,0
Cowpea + Maize,Cereals,C: Monoculture_vs_T: Intercropping,NA,NA,NA,NA,Product Yield,"Tropics, highland; semi-arid, with soil/terrain limitations",1,0,1
Cowpea + Maize,Cereals,C: Monoculture_vs_T: Intercropping,NA,NA,NA,NA,Product Yield,"Tropics, lowland; semi-arid, with soil/terrain limitations",1,0,1
Cowpea + Maize,Cereals,C: Monoculture_vs_T: Intercropping,NA,NA,NA,NA,Product Yield,"Tropics, lowland; sub-humid, with soil/terrain limitations",1,0,1
Cowpea + Maize,Cereals,NA,NA,C: Inorganic Fertilizer_vs_T: Inorganic Fertilizer,NA,NA,Product Yield,"Tropics, lowland; semi-arid, with soil/terrain limitations",1,0,1
Durum Wheat + Hairy Vetch + Lentil + Teff,Cereals..Leguminous crops,C: Crop rotation_vs_T: Crop rotation,NA,NA,NA,NA,Costs,"Tropics, highland; sub-humid, with soil/terrain limitations",3,0,1
Durum Wheat + Hairy Vetch + Lentil + Teff,Cereals..Leguminous crops,C: Crop rotation_vs_T: Crop rotation,NA,NA,NA,NA,Income,"Tropics, highland; sub-humid, with soil/terrain limitations",3,0.6666666666666666,0.3333333333333333
Durum Wheat + Hairy Vetch + Lentil + Teff,Cereals..Leguminous crops,C: Crop rotation_vs_T: Crop rotation,NA,NA,NA,NA,Product Yield,"Tropics, highland; sub-humid, with soil/terrain limitations",12,0.6666666666666666,0.3333333333333333
Durum Wheat + Lentil + Teff,Cereals..Leguminous crops,C: Crop rotation_vs_T: Crop rotation,NA,NA,C: Reduced Tillage_vs_T: Conventional Tillage,NA,Costs,"Tropics, highland; sub-humid, with soil/terrain limitations",3,0.3333333333333333,0.6666666666666666
Durum Wheat + Lentil + Teff,Cereals..Leguminous crops,C: Crop rotation_vs_T: Crop rotation,NA,NA,C: Reduced Tillage_vs_T: Conventional Tillage,NA,Income,"Tropics, highland; sub-humid, with soil/terrain limitations",3,0.6666666666666666,0.3333333333333333
Durum Wheat + Lentil + Teff,Cereals..Leguminous crops,C: Crop rotation_vs_T: Crop rotation,NA,NA,C: Reduced Tillage_vs_T: Conventional Tillage,NA,Product Yield,"Tropics, highland; sub-humid, with soil/terrain limitations",12,0.6666666666666666,0.3333333333333333
Durum Wheat + Lentil + Teff,Cereals..Leguminous crops,C: Crop rotation_vs_T: Crop rotation,NA,NA,C: Reduced Tillage_vs_T: Reduced Tillage,NA,Costs,"Tropics, highland; sub-humid, with soil/terrain limitations",3,1,0
Durum Wheat + Lentil + Teff,Cereals..Leguminous crops,C: Crop rotation_vs_T: Crop rotation,NA,NA,C: Reduced Tillage_vs_T: Reduced Tillage,NA,Income,"Tropics, highland; sub-humid, with soil/terrain limitations",3,0.6666666666666666,0.3333333333333333
Durum Wheat + Lentil + Teff,Cereals..Leguminous crops,C: Crop rotation_vs_T: Crop rotation,NA,NA,C: Reduced Tillage_vs_T: Reduced Tillage,NA,Product Yield,"Tropics, highland; sub-humid, with soil/terrain limitations",12,0.5,0.5
Ethiopian Mustard + Maize,Cereals,C: Monoculture_vs_T: Intercropping,NA,NA,NA,NA,Product Yield,"Tropics, highland; semi-arid, with soil/terrain limitations",1,0,1
Ethiopian Mustard + Maize,Cereals,C: Monoculture_vs_T: Intercropping,NA,NA,NA,NA,Product Yield,"Tropics, lowland; sub-humid, with soil/terrain limitations",1,0,1
Faidherbia albida + Maize,Cereals,C: Monoculture_vs_T: Agroforestry,NA,NA,NA,NA,Product Yield,"Tropics, lowland; semi-arid, with soil/terrain limitations",18,0.2777777777777778,0.7222222222222222
Faidherbia albida + Maize,Cereals..N Fix Tree,C: Agroforestry_vs_T: Agroforestry,NA,C: No Fertilizers Applied_vs_T: Inorganic Fertilizer,NA,NA,Product Yield,"Tropics, lowland; semi-arid, with soil/terrain limitations",27,0.2222222222222222,0.7777777777777778
Faidherbia albida + Wheat,Cereals,C: Monoculture_vs_T: Agroforestry,NA,NA,NA,NA,Product Yield,"Tropics, lowland; semi-arid, no soil/terrain limitations",8,0,1
Fava Bean + Maize,Cereals,C: Monoculture_vs_T: Intercropping,NA,NA,NA,NA,Product Yield,"Tropics, highland; semi-arid, with soil/terrain limitations",1,1,0
Fava Bean + Maize,Cereals,C: Monoculture_vs_T: Intercropping,NA,NA,NA,NA,Product Yield,"Tropics, lowland; sub-humid, with soil/terrain limitations",1,0,1
Fava Bean + Maize + Wheat,Cereals..Leguminous crops,NA,NA,C: No Fertilizers Applied_vs_T: Inorganic Fertilizer,NA,NA,Product Yield,Land with severe soil/terrain limitations,4,0,1
Fava Bean + Maize + Wheat,Cereals..Leguminous crops,NA,NA,C: No Fertilizers Applied_vs_T: Organic Fertilizer,NA,NA,Product Yield,Land with severe soil/terrain limitations,4,0,1
Fava Bean + Maize + Wheat,Cereals..Leguminous crops,NA,NA,C: No Fertilizers Applied_vs_T: Organic Fertilizer + Inorganic Fertilizer,NA,NA,Product Yield,Land with severe soil/terrain limitations,4,0,1
Finger Millet,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Inorganic Fertilizer,NA,NA,Product Yield,"Tropics, highland; semi-arid, with soil/terrain limitations",8,0,1
Finger Millet,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Inorganic Fertilizer,NA,NA,Product Yield,"Tropics, highland; sub-humid, with soil/terrain limitations",8,0,1
Finger Millet + Hairy Vetch,Cereals,C: Monoculture_vs_T: Intercropping,NA,C: Inorganic Fertilizer_vs_T: Inorganic Fertilizer,NA,NA,Product Yield,"Tropics, lowland; humid, with soil/terrain limitations",3,1,0
Finger Millet + Lupin,Cereals..Leguminous crops,C: Intercropping_vs_T: Intercropping,NA,C: Inorganic Fertilizer_vs_T: Inorganic Fertilizer,NA,NA,Product Yield,"Tropics, highland; semi-arid, with soil/terrain limitations",12,1,0
Finger Millet + Lupin,Cereals..Leguminous crops,C: Intercropping_vs_T: Intercropping,NA,C: Inorganic Fertilizer_vs_T: Inorganic Fertilizer,NA,NA,Product Yield,"Tropics, highland; sub-humid, with soil/terrain limitations",12,1,0
Finger Millet + No leguminous tree,Cereals,C: Monoculture_vs_T: Agroforestry,C: Crop residues incorporated_vs_T: Crop residues incorporated,NA,NA,NA,Product Yield,"Tropics, lowland; humid, with soil/terrain limitations",12,0.4166666666666667,0.5833333333333334
Finger Millet + Purple Vetch,Cereals,C: Monoculture_vs_T: Intercropping,NA,C: Inorganic Fertilizer_vs_T: Inorganic Fertilizer,NA,NA,Product Yield,"Tropics, lowland; humid, with soil/terrain limitations",6,1,0
Finger Millet + Soybean,Cereals..Oilseed crops and oleaginous fruits,NA,NA,C: No Fertilizers Applied_vs_T: Inorganic and Organic Fertilizers,NA,NA,Product Yield,"Tropics, lowland; humid, with soil/terrain limitations",72,0,1
Finger Millet + Soybean,Cereals..Oilseed crops and oleaginous fruits,NA,NA,C: No Fertilizers Applied_vs_T: Inorganic and Organic Fertilizers,NA,NA,Soil Quality,"Tropics, lowland; humid, with soil/terrain limitations",144,0.4930555555555556,0.5069444444444444
Grevillea robusta + Maize,Cereals,C: Monoculture_vs_T: Agroforestry,C: Crop residues incorporated_vs_T: Crop residues incorporated,NA,NA,NA,Product Yield,"Tropics, lowland; humid, with soil/terrain limitations",4,0.25,0.75
Grevillea robusta + Teff,Cereals,C: Monoculture_vs_T: Agroforestry,C: Crop residues incorporated_vs_T: Crop residues incorporated,NA,NA,NA,Product Yield,"Tropics, lowland; humid, with soil/terrain limitations",4,0,1
Hairy Vetch + Maize,Cereals,C: Monoculture_vs_T: Intercropping,NA,NA,NA,NA,Product Yield,Land with severe soil/terrain limitations,6,1,0
Hairy Vetch + Maize,Cereals,NA,NA,C: Inorganic Fertilizer_vs_T: Inorganic Fertilizer,NA,NA,Product Yield,"Tropics, lowland; semi-arid, with soil/terrain limitations",1,0,1
Hairy Vetch + Maize,Cereals..Leguminous crops,C: Intercropping_vs_T: Intercropping,C: Organic mulch (herbaceus)_vs_T: Crop residues removed,NA,NA,C: Supplemental Irrigation_vs_T: Supplemental Irrigation,Efficiency,"Tropics, highland; sub-humid, with soil/terrain limitations",1,1,0
Hairy Vetch + Maize,Cereals..Leguminous crops,C: Intercropping_vs_T: Intercropping,C: Organic mulch (herbaceus)_vs_T: Crop residues removed,NA,NA,C: Supplemental Irrigation_vs_T: Supplemental Irrigation,Product Yield,"Tropics, highland; sub-humid, with soil/terrain limitations",1,1,0
Maize,Cereals,C: Monoculture_vs_T: Crop rotation,C: Organic mulch (herbaceus)_vs_T: Organic mulch (herbaceus),NA,C: Conventional Tillage_vs_T: Zero Tillage,NA,Product Yield,"Tropics, lowland; semi-arid, with soil/terrain limitations",1,1,0
Maize,Cereals,NA,C: Crop residues incorporated_vs_T: Crop residues incorporated,C: No Fertilizers Applied_vs_T: Inorganic Fertilizer,NA,NA,Product Yield,"Tropics, highland; sub-humid, no soil/terrain limitations",12,0,1
Maize,Cereals,NA,C: Crop residues incorporated_vs_T: Crop residues incorporated,NA,NA,NA,Product Yield,"Tropics, highland; sub-humid, no soil/terrain limitations",32,0.09375,0.90625
Maize,Cereals,NA,C: Crop residues removed_vs_T: Crop residues removed,NA,C: Conventional Tillage_vs_T: Zero Tillage,NA,Income,Land with severe soil/terrain limitations,3,0,1
Maize,Cereals,NA,C: Crop residues removed_vs_T: Crop residues removed,NA,C: Conventional Tillage_vs_T: Zero Tillage,NA,Non-Product Yield,Land with severe soil/terrain limitations,3,0.3333333333333333,0.6666666666666666
Maize,Cereals,NA,C: Crop residues removed_vs_T: Crop residues removed,NA,C: Conventional Tillage_vs_T: Zero Tillage,NA,Product Yield,Land with severe soil/terrain limitations,3,0,1
Maize,Cereals,NA,C: Crop residues removed_vs_T: Crop residues removed,NA,C: Conventional Tillage_vs_T: Zero Tillage,NA,Soil Quality,Land with severe soil/terrain limitations,2,0,1
Maize,Cereals,NA,C: Crop residues removed_vs_T: Crop residues removed,NA,NA,NA,Costs,Ample irrigated soils,4,0.5,0.5
Maize,Cereals,NA,C: Crop residues removed_vs_T: Crop residues removed,NA,NA,NA,Costs,"Tropics, lowland; sub-humid, no soil/terrain limitations",4,0.5,0.5
Maize,Cereals,NA,C: Crop residues removed_vs_T: Crop residues removed,NA,NA,NA,Income,Ample irrigated soils,4,1,0
Maize,Cereals,NA,C: Crop residues removed_vs_T: Crop residues removed,NA,NA,NA,Income,"Tropics, lowland; sub-humid, no soil/terrain limitations",4,1,0
Maize,Cereals,NA,C: Crop residues removed_vs_T: Crop residues removed,NA,NA,NA,Labour,Ample irrigated soils,2,0,1
Maize,Cereals,NA,C: Crop residues removed_vs_T: Crop residues removed,NA,NA,NA,Labour,"Tropics, lowland; sub-humid, no soil/terrain limitations",2,0,1
Maize,Cereals,NA,C: Crop residues removed_vs_T: Crop residues removed,NA,NA,NA,Product Yield,"Tropics, lowland; semi-arid, no soil/terrain limitations",2,1,0
Maize,Cereals,NA,C: Crop residues removed_vs_T: Organic mulch (herbaceus),NA,NA,NA,Product Yield,"Tropics, highland; humid, with soil/terrain limitations",2,0,1
Maize,Cereals,NA,C: Crop residues removed_vs_T: Organic mulch (herbaceus),NA,NA,NA,Product Yield,"Tropics, highland; sub-humid, with soil/terrain limitations",2,0,1
Maize,Cereals,NA,C: Crop residues removed_vs_T: Organic mulch (herbaceus),NA,NA,NA,Soil Quality,"Tropics, highland; semi-arid, no soil/terrain limitations",25,0.16,0.84
Maize,Cereals,NA,C: Crop residues removed_vs_T: Organic mulch (unspecified),C: Inorganic Fertilizer_vs_T: Inorganic Fertilizer,NA,NA,Product Yield,Ample irrigated soils,1,0,1
Maize,Cereals,NA,C: Crop residues removed_vs_T: Organic mulch (unspecified),NA,NA,NA,Costs,Ample irrigated soils,6,0.8333333333333334,0.16666666666666666
Maize,Cereals,NA,C: Crop residues removed_vs_T: Organic mulch (unspecified),NA,NA,NA,Costs,"Tropics, lowland; sub-humid, no soil/terrain limitations",6,0.8333333333333334,0.16666666666666666
Maize,Cereals,NA,C: Crop residues removed_vs_T: Organic mulch (unspecified),NA,NA,NA,Income,Ample irrigated soils,6,0.3333333333333333,0.6666666666666666
Maize,Cereals,NA,C: Crop residues removed_vs_T: Organic mulch (unspecified),NA,NA,NA,Income,"Tropics, lowland; sub-humid, no soil/terrain limitations",6,0.3333333333333333,0.6666666666666666
Maize,Cereals,NA,C: Crop residues removed_vs_T: Organic mulch (unspecified),NA,NA,NA,Labour,Ample irrigated soils,3,0.6666666666666666,0.3333333333333333
