column,value,n
CT_intercrop_practice,C: Other Agroforestry_vs_T: Other Agroforestry,87
CT_crop_seq_practice,C: Crop Rotation (N fixing mixed)_vs_T: Crop Rotation (N fixing mixed),14630
CT_crop_seq_practice,C: Crop Rotation (N fixing mixed)_vs_T: Crop Rotation (Non N fixing),176
CT_crop_seq_practice,C: Crop Rotation (N fixing mixed)_vs_T: Fallow Unimproved,22
CT_crop_seq_practice,C: Crop Rotation (N fixing mixed)_vs_T: Green Manure (N fixing),6
CT_crop_seq_practice,C: Crop Rotation (N fixing mixed)_vs_T: Improved Fallow (Non N fixing),48
CT_crop_seq_practice,C: Crop Rotation (N fixing mixed)_vs_T: Monoculture,161
CT_crop_seq_practice,C: Crop Rotation (N fixing)_vs_T: Crop Rotation (N fixing mixed),10
CT_crop_seq_practice,C: Crop Rotation (N fixing)_vs_T: Crop Rotation (N fixing),940
CT_crop_seq_practice,C: Crop Rotation (Non N fixing)_vs_T: Crop Rotation (N fixing mixed),314
CT_crop_seq_practice,C: Crop Rotation (Non N fixing)_vs_T: Crop Rotation (Non N fixing),5114
CT_crop_seq_practice,C: Crop Rotation (Non N fixing)_vs_T: Fallow Unimproved,30
CT_crop_seq_practice,C: Crop Rotation (Non N fixing)_vs_T: Green Manure (N fixing),8
CT_crop_seq_practice,C: Crop Rotation (Non N fixing)_vs_T: Monoculture,202
CT_crop_seq_practice,C: Fallow Unimproved_vs_T: Crop Rotation (N fixing mixed),15
CT_crop_seq_practice,C: Fallow Unimproved_vs_T: Crop Rotation (N fixing),1
CT_crop_seq_practice,C: Fallow Unimproved_vs_T: Crop Rotation (Non N fixing),19
CT_crop_seq_practice,C: Fallow Unimproved_vs_T: Fallow Unimproved,223
CT_crop_seq_practice,C: Fallow Unimproved_vs_T: Green Manure (N fixing),8
CT_crop_seq_practice,C: Fallow Unimproved_vs_T: Improved Fallow (Mixed),36
CT_crop_seq_practice,C: Fallow Unimproved_vs_T: Improved Fallow (N fixing),58
CT_crop_seq_practice,C: Fallow Unimproved_vs_T: Improved Fallow (Non N fixing),26
CT_crop_seq_practice,C: Fallow Unimproved_vs_T: Improved Fallow (Unspecified),4
CT_crop_seq_practice,C: Fallow Unimproved_vs_T: Monoculture,7
CT_crop_seq_practice,C: Green Manure (N fixing)_vs_T: Crop Rotation (N fixing mixed),6
CT_crop_seq_practice,C: Green Manure (N fixing)_vs_T: Crop Rotation (N fixing),4
CT_crop_seq_practice,C: Green Manure (N fixing)_vs_T: Crop Rotation (Non N fixing),8
CT_crop_seq_practice,C: Green Manure (N fixing)_vs_T: Fallow Unimproved,8
CT_crop_seq_practice,C: Green Manure (N fixing)_vs_T: Green Manure (N fixing),88
CT_crop_seq_practice,C: Green Manure (N fixing)_vs_T: Monoculture,7
CT_crop_seq_practice,C: Improved Fallow (Mixed)_vs_T: Improved Fallow (Mixed),247
CT_crop_seq_practice,C: Improved Fallow (Mixed)_vs_T: Improved Fallow (N fixing),2
CT_crop_seq_practice,C: Improved Fallow (N fixing)_vs_T: Fallow Unimproved,26
CT_crop_seq_practice,C: Improved Fallow (N fixing)_vs_T: Improved Fallow (Mixed),2
CT_crop_seq_practice,C: Improved Fallow (N fixing)_vs_T: Improved Fallow (N fixing),66
CT_crop_seq_practice,C: Improved Fallow (N fixing)_vs_T: Improved Fallow (Non N fixing),52
CT_crop_seq_practice,C: Improved Fallow (Non N fixing)_vs_T: Crop Rotation (N fixing mixed),48
CT_crop_seq_practice,C: Improved Fallow (Non N fixing)_vs_T: Fallow Unimproved,26
CT_crop_seq_practice,C: Improved Fallow (Non N fixing)_vs_T: Improved Fallow (N fixing),52
CT_crop_seq_practice,C: Improved Fallow (Non N fixing)_vs_T: Improved Fallow (Non N fixing),104
CT_crop_seq_practice,C: Improved Fallow (Non N fixing)_vs_T: Monoculture,18
CT_crop_seq_practice,C: Improved Fallow (Unspecified)_vs_T: Fallow Unimproved,12
CT_crop_seq_practice,C: Improved Fallow (Unspecified)_vs_T: Improved Fallow (Unspecified),8
CT_crop_seq_practice,C: Monoculture_vs_T: Agroforestry Fallow (N fixing),10
CT_crop_seq_practice,C: Monoculture_vs_T: Crop Rotation (N fixing mixed),564
CT_crop_seq_practice,C: Monoculture_vs_T: Crop Rotation (N fixing),52
CT_crop_seq_practice,C: Monoculture_vs_T: Crop Rotation (Non N fixing),269
CT_crop_seq_practice,C: Monoculture_vs_T: Fallow Unimproved,7
CT_crop_seq_practice,C: Monoculture_vs_T: Green Manure (N fixing),25
CT_crop_seq_practice,C: Monoculture_vs_T: Improved Fallow (N fixing),22
CT_crop_seq_practice,C: Monoculture_vs_T: Improved Fallow (Non N fixing),22
CT_agrof_practice,C: Agrosilvopasture_vs_T: Agrosilvopasture,64
CT_agrof_practice,C: Boundary Planting_vs_T: Boundary Planting,52
CT_agrof_practice,C: Monoculture_vs_T: Boundary Planting,90
CT_agrof_practice,C: Monoculture_vs_T: Multistrata Agroforestry,266
CT_agrof_practice,C: Monoculture_vs_T: Parklands,685
CT_agrof_practice,C: Monoculture_vs_T: Silvopasture,8
CT_agrof_practice,C: Silvopasture_vs_T: Silvopasture,150
CT_fert_practice,C: Inorganic Fertilizer..Organic Fertilizer_vs_T: Inorganic Fertilizer,136
CT_fert_practice,C: Inorganic Fertilizer..Organic Fertilizer_vs_T: Inorganic Fertilizer..Organic Fertilizer,557
CT_fert_practice,C: Inorganic Fertilizer..Organic Fertilizer_vs_T: Organic Fertilizer,27
CT_fert_practice,C: Inorganic Fertilizer_vs_T: Biochar..Inorganic Fertilizer,10
CT_fert_practice,C: Inorganic Fertilizer_vs_T: Inorganic Fertilizer,17243
CT_fert_practice,C: Inorganic Fertilizer_vs_T: Inorganic Fertilizer..Organic Fertilizer,333
CT_fert_practice,C: Inorganic Fertilizer_vs_T: Organic Fertilizer,436
CT_fert_practice,C: Inorganic Fertilizer_vs_T: Organic Fertilizer..Inorganic Fertilizer,460
CT_fert_practice,C: Organic Fertilizer..Inorganic Fertilizer_vs_T: Inorganic Fertilizer,78
CT_fert_practice,C: Organic Fertilizer..Inorganic Fertilizer_vs_T: Organic Fertilizer..Inorganic Fertilizer,45
CT_fert_practice,C: Organic Fertilizer_vs_T: Inorganic Fertilizer,217
CT_fert_practice,C: Organic Fertilizer_vs_T: Inorganic Fertilizer..Organic Fertilizer,474
CT_fert_practice,C: Organic Fertilizer_vs_T: Organic Fertilizer,1157
CT_fert_practice,C: Organic Fertilizer_vs_T: Organic Fertilizer..Inorganic Fertilizer,128
CT_chem_practice,C: Antistress_vs_T: Antistress,64
CT_chem_practice,C: Inoculation..Synthetic pesticide_vs_T: Inoculation..Synthetic pesticide,24
CT_chem_practice,C: Inoculation_vs_T: Inoculation,195
CT_chem_practice,C: Inoculation_vs_T: Synthetic pesticide,24
CT_chem_practice,C: Non-synthetic pesticide_vs_T: Non-synthetic pesticide,133
CT_chem_practice,C: Synthetic pesticide_vs_T: Inoculation,24
CT_chem_practice,C: Synthetic pesticide_vs_T: Non-synthetic pesticide,8
CT_chem_practice,C: Synthetic pesticide_vs_T: Non-synthetic pesticide..Synthetic pesticide,2
CT_chem_practice,C: Synthetic pesticide_vs_T: Synthetic pesticide,3992
CT_residues_practice,C: Crop residues incorporated_vs_T: Crop residues incorporated,218
CT_residues_practice,C: Crop residues incorporated_vs_T: Crop residues retained,19
CT_residues_practice,C: Crop residues incorporated_vs_T: Organic mulch (herbaceus),898
CT_residues_practice,C: Crop residues retained_vs_T: Crop residues retained,4178
CT_residues_practice,C: Organic mulch (herbaceus)_vs_T: Crop residues incorporated,80
CT_residues_practice,C: Organic mulch (herbaceus)_vs_T: Organic mulch (herbaceus),800
CT_residues_practice,C: Organic mulch (unspecified)_vs_T: Organic mulch (unspecified),3
CT_residues_practice,C: Organic mulch (woody/other)_vs_T: Organic mulch (woody/other),344
CT_residues_practice,C: Tree pruning incorporated_vs_T: Tree pruning incorporated,1
CT_irrig_practice,C: Deficit Irrigation..Irrigation_vs_T: Deficit Irrigation..Irrigation,64
CT_irrig_practice,C: Deficit Irrigation_vs_T: Deficit Irrigation,2171
CT_irrig_practice,C: Deficit Irrigation_vs_T: Irrigation,913
CT_irrig_practice,C: Irrigation..Deficit Irrigation_vs_T: Irrigation..Deficit Irrigation,216
CT_irrig_practice,C: Irrigation_vs_T: Deficit Irrigation,7195
CT_irrig_practice,C: Irrigation_vs_T: Irrigation,3485
CT_irrig_practice,C: Irrigation_vs_T: Supplemental Irrigation,312
CT_irrig_practice,C: No irrigation_vs_T: Deficit Irrigation,84
CT_irrig_practice,C: No irrigation_vs_T: Irrigation,34
CT_irrig_practice,C: No irrigation_vs_T: No irrigation,88
CT_irrig_practice,C: No irrigation_vs_T: Supplemental Irrigation,136
CT_irrig_practice,C: Supplemental Irrigation_vs_T: Irrigation,160
CT_irrig_practice,C: Supplemental Irrigation_vs_T: No irrigation,30
CT_irrig_practice,C: Supplemental Irrigation_vs_T: Supplemental Irrigation,2670
