T_crop_tree_diversity,CT_crop_FAO_Food_Group_clean,diversification_spatial_temporal_theme,biomass_management_practice,nutrient_management_practice,soil_management_theme,water_management_practice,impact,n,neg,pos,combo_clean
Durum Wheat/Lentil/Teff,Cereals..Leguminous crops,C: Crop rotation_vs_T: Crop rotation,NA,NA,C: Reduced Tillage_vs_T: Conventional Tillage,NA,Income,3,0.6666666666666666,0.3333333333333333,Durum Wheat + Lentil + Teff
Durum Wheat/Lentil/Teff,Cereals..Leguminous crops,C: Crop rotation_vs_T: Crop rotation,NA,NA,C: Reduced Tillage_vs_T: Conventional Tillage,NA,Product Yield,12,0.6666666666666666,0.3333333333333333,Durum Wheat + Lentil + Teff
Durum Wheat/Lentil/Teff,Cereals..Leguminous crops,C: Crop rotation_vs_T: Crop rotation,NA,NA,C: Reduced Tillage_vs_T: Reduced Tillage,NA,Costs,3,1,0,Durum Wheat + Lentil + Teff
Durum Wheat/Lentil/Teff,Cereals..Leguminous crops,C: Crop rotation_vs_T: Crop rotation,NA,NA,C: Reduced Tillage_vs_T: Reduced Tillage,NA,Income,3,0.6666666666666666,0.3333333333333333,Durum Wheat + Lentil + Teff
Durum Wheat/Lentil/Teff,Cereals..Leguminous crops,C: Crop rotation_vs_T: Crop rotation,NA,NA,C: Reduced Tillage_vs_T: Reduced Tillage,NA,Product Yield,12,0.5,0.5,Durum Wheat + Lentil + Teff
Ethiopian Mustard-Maize,Cereals,C: Monoculture_vs_T: Intercropping,NA,NA,NA,NA,Product Yield,2,0,1,Ethiopian Mustard + Maize
Fava Bean-Maize,Cereals,C: Monoculture_vs_T: Intercropping,NA,NA,NA,NA,Product Yield,2,0.5,0.5,Fava Bean + Maize
Fava Bean/Maize/Wheat,Cereals..Leguminous crops,NA,NA,C: No Fertilizers Applied_vs_T: Inorganic Fertilizer,NA,NA,Product Yield,4,0,1,Fava Bean + Maize + Wheat
Fava Bean/Maize/Wheat,Cereals..Leguminous crops,NA,NA,C: No Fertilizers Applied_vs_T: Organic Fertilizer,NA,NA,Product Yield,4,0,1,Fava Bean + Maize + Wheat
Fava Bean/Maize/Wheat,Cereals..Leguminous crops,NA,NA,C: No Fertilizers Applied_vs_T: Organic Fertilizer + Inorganic Fertilizer,NA,NA,Product Yield,4,0,1,Fava Bean + Maize + Wheat
Finger Millet,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Inorganic Fertilizer,NA,NA,Product Yield,16,0,1,Finger Millet
Finger Millet-Acacia abyssinica,Cereals,C: Monoculture_vs_T: Agroforestry,C: Crop residues incorporated_vs_T: Crop residues incorporated,NA,NA,NA,Product Yield,4,0.75,0.25,Acacia abyssinica + Finger Millet
Finger Millet-Acacia abyssinica-Cordia africana-Grevillea robusta-Croton macrostachyus,Cereals,C: Monoculture_vs_T: Agroforestry,C: Crop residues incorporated_vs_T: Crop residues incorporated,NA,NA,NA,Product Yield,4,0.75,0.25,Acacia abyssinica + Cordia africana + Croton macrostachyus + Finger Millet + Grevillea robusta
Finger Millet-Common Bean,Cereals,C: Monoculture_vs_T: Intercropping,NA,NA,NA,NA,Product Yield,30,0.5333333333333333,0.4666666666666667,Common Bean + Finger Millet
Finger Millet-Common Bean,Cereals..Leguminous crops,C: Intercropping_vs_T: Intercropping,NA,C: Inorganic Fertilizer_vs_T: Inorganic Fertilizer,NA,NA,Product Yield,24,0.5833333333333334,0.4166666666666667,Common Bean + Finger Millet
Finger Millet-Common Bean,Cereals..Leguminous crops,C: Intercropping_vs_T: Intercropping,NA,C: No Fertilizers Applied_vs_T: Inorganic Fertilizer,NA,NA,Product Yield,28,0,1,Common Bean + Finger Millet
Finger Millet-Common Vetch,Cereals,C: Monoculture_vs_T: Intercropping,NA,C: Inorganic Fertilizer_vs_T: Inorganic Fertilizer,NA,NA,Product Yield,9,1,0,Common Vetch + Finger Millet
Finger Millet-Cordia africana,Cereals,C: Monoculture_vs_T: Agroforestry,C: Crop residues incorporated_vs_T: Crop residues incorporated,NA,NA,NA,Product Yield,4,0.5,0.5,Cordia africana + Finger Millet
Finger Millet-Croton macrostachyus,Cereals,C: Monoculture_vs_T: Agroforestry,C: Crop residues incorporated_vs_T: Crop residues incorporated,NA,NA,NA,Product Yield,4,0.5,0.5,Croton macrostachyus + Finger Millet
Finger Millet-Grevillea robusta,Cereals,C: Monoculture_vs_T: Agroforestry,C: Crop residues incorporated_vs_T: Crop residues incorporated,NA,NA,NA,Product Yield,4,0.25,0.75,Finger Millet + Grevillea robusta
Finger Millet-Hairy Vetch,Cereals,C: Monoculture_vs_T: Intercropping,NA,C: Inorganic Fertilizer_vs_T: Inorganic Fertilizer,NA,NA,Product Yield,3,1,0,Finger Millet + Hairy Vetch
Finger Millet-Lupin,Cereals..Leguminous crops,C: Intercropping_vs_T: Intercropping,NA,C: Inorganic Fertilizer_vs_T: Inorganic Fertilizer,NA,NA,Product Yield,24,1,0,Finger Millet + Lupin
Finger Millet-Purple Vetch,Cereals,C: Monoculture_vs_T: Intercropping,NA,C: Inorganic Fertilizer_vs_T: Inorganic Fertilizer,NA,NA,Product Yield,6,1,0,Finger Millet + Purple Vetch
Finger Millet/Soybean,Cereals..Oilseed crops and oleaginous fruits,NA,NA,C: No Fertilizers Applied_vs_T: Inorganic and Organic Fertilizers,NA,NA,Product Yield,72,0,1,Finger Millet + Soybean
Finger Millet/Soybean,Cereals..Oilseed crops and oleaginous fruits,NA,NA,C: No Fertilizers Applied_vs_T: Inorganic and Organic Fertilizers,NA,NA,Soil Quality,144,0.4930555555555556,0.5069444444444444,Finger Millet + Soybean
Lablab/Maize,Cereals,C: Monoculture_vs_T: Green manure,NA,NA,NA,NA,Non-Product Yield,1,0,1,Lablab + Maize
Lablab/Maize,Cereals,C: Monoculture_vs_T: Green manure,NA,NA,NA,NA,Product Yield,1,0,1,Lablab + Maize
Lablab/Maize,Cereals,C: Monoculture_vs_T: Green manure,NA,NA,NA,NA,Soil Quality,1,0,1,Lablab + Maize
Maize,Cereals,C: Monoculture_vs_T: Crop rotation,C: Organic mulch (herbaceus)_vs_T: Organic mulch (herbaceus),NA,C: Conventional Tillage_vs_T: Zero Tillage,NA,Product Yield,1,1,0,Maize
Maize,Cereals,NA,C: Crop residues incorporated_vs_T: Crop residues incorporated,C: No Fertilizers Applied_vs_T: Inorganic Fertilizer,NA,NA,Product Yield,12,0,1,Maize
Maize,Cereals,NA,C: Crop residues incorporated_vs_T: Crop residues incorporated,NA,NA,NA,Product Yield,32,0.09375,0.90625,Maize
Maize,Cereals,NA,C: Crop residues removed_vs_T: Crop residues removed,NA,C: Conventional Tillage_vs_T: Zero Tillage,NA,Income,3,0,1,Maize
Maize,Cereals,NA,C: Crop residues removed_vs_T: Crop residues removed,NA,C: Conventional Tillage_vs_T: Zero Tillage,NA,Non-Product Yield,3,0.3333333333333333,0.6666666666666666,Maize
Maize,Cereals,NA,C: Crop residues removed_vs_T: Crop residues removed,NA,C: Conventional Tillage_vs_T: Zero Tillage,NA,Product Yield,3,0,1,Maize
Maize,Cereals,NA,C: Crop residues removed_vs_T: Crop residues removed,NA,C: Conventional Tillage_vs_T: Zero Tillage,NA,Soil Quality,2,0,1,Maize
Maize,Cereals,NA,C: Crop residues removed_vs_T: Crop residues removed,NA,NA,NA,Costs,8,0.5,0.5,Maize
Maize,Cereals,NA,C: Crop residues removed_vs_T: Crop residues removed,NA,NA,NA,Income,8,1,0,Maize
Maize,Cereals,NA,C: Crop residues removed_vs_T: Crop residues removed,NA,NA,NA,Labour,4,0,1,Maize
Maize,Cereals,NA,C: Crop residues removed_vs_T: Crop residues removed,NA,NA,NA,Product Yield,2,1,0,Maize
Maize,Cereals,NA,C: Crop residues removed_vs_T: Organic mulch (herbaceus),NA,NA,NA,Product Yield,4,0,1,Maize
Maize,Cereals,NA,C: Crop residues removed_vs_T: Organic mulch (herbaceus),NA,NA,NA,Soil Quality,25,0.16,0.84,Maize
Maize,Cereals,NA,C: Crop residues removed_vs_T: Organic mulch (unspecified),C: Inorganic Fertilizer_vs_T: Inorganic Fertilizer,NA,NA,Product Yield,1,0,1,Maize
Maize,Cereals,NA,C: Crop residues removed_vs_T: Organic mulch (unspecified),NA,NA,NA,Costs,12,0.8333333333333334,0.16666666666666666,Maize
Maize,Cereals,NA,C: Crop residues removed_vs_T: Organic mulch (unspecified),NA,NA,NA,Income,12,0.3333333333333333,0.6666666666666666,Maize
Maize,Cereals,NA,C: Crop residues removed_vs_T: Organic mulch (unspecified),NA,NA,NA,Labour,6,0.6666666666666666,0.3333333333333333,Maize
Maize,Cereals,NA,C: Crop residues removed_vs_T: Organic mulch (unspecified),NA,NA,NA,Product Yield,2,1,0,Maize
Maize,Cereals,NA,C: Crop residues retained_vs_T: Crop residues retained,NA,C: Reduced Tillage + Conventional Tillage_vs_T: Reduced Tillage + Conventional Tillage,NA,Product Yield,4,0,1,Maize
Maize,Cereals,NA,C: Crop residues retained_vs_T: Crop residues retained,NA,C: Reduced Tillage + Conventional Tillage_vs_T: Reduced Tillage + Conventional Tillage,NA,Soil Quality,6,0,1,Maize
Maize,Cereals,NA,C: Organic mulch (herbaceus)_vs_T: Organic mulch (herbaceus),C: Inorganic Fertilizer_vs_T: Inorganic Fertilizer,C: Conventional Tillage_vs_T: Zero Tillage,NA,Non-Product Yield,6,0.5,0.5,Maize
Maize,Cereals,NA,C: Organic mulch (herbaceus)_vs_T: Organic mulch (herbaceus),C: Inorganic Fertilizer_vs_T: Inorganic Fertilizer,C: Conventional Tillage_vs_T: Zero Tillage,NA,Product Yield,5,0.6,0.4,Maize
Maize,Cereals,NA,NA,C: Inorganic Fertilizer_vs_T: Inorganic Fertilizer,NA,C: Full irrigation_vs_T: Deficit Irrigation,Costs,18,1,0,Maize
Maize,Cereals,NA,NA,C: Inorganic Fertilizer_vs_T: Inorganic Fertilizer,NA,C: Full irrigation_vs_T: Deficit Irrigation,Economic Performance,15,0.8666666666666667,0.13333333333333333,Maize
Maize,Cereals,NA,NA,C: Inorganic Fertilizer_vs_T: Inorganic Fertilizer,NA,C: Full irrigation_vs_T: Deficit Irrigation,Income,36,0.8055555555555556,0.19444444444444445,Maize
Maize,Cereals,NA,NA,C: Inorganic Fertilizer_vs_T: Inorganic Fertilizer,NA,C: Full irrigation_vs_T: Deficit Irrigation,Product Yield,18,0.8333333333333334,0.16666666666666666,Maize
Maize,Cereals,NA,NA,C: Inorganic Fertilizer_vs_T: Inorganic Fertilizer,NA,C: Full irrigation_vs_T: Full irrigation,Costs,3,1,0,Maize
Maize,Cereals,NA,NA,C: Inorganic Fertilizer_vs_T: Inorganic Fertilizer,NA,C: Full irrigation_vs_T: Full irrigation,Income,3,0,1,Maize
Maize,Cereals,NA,NA,C: Inorganic Fertilizer_vs_T: Inorganic Fertilizer,NA,C: Supplemental Irrigation_vs_T: Supplemental Irrigation,Costs,3,1,0,Maize
Maize,Cereals,NA,NA,C: Inorganic Fertilizer_vs_T: Inorganic Fertilizer,NA,C: Supplemental Irrigation_vs_T: Supplemental Irrigation,Income,3,0,1,Maize
Maize,Cereals,NA,NA,C: Inorganic Fertilizer_vs_T: Inorganic Fertilizer,NA,NA,Costs,12,0.75,0.25,Maize
Maize,Cereals,NA,NA,C: Inorganic Fertilizer_vs_T: Inorganic Fertilizer,NA,NA,Income,24,0.041666666666666664,0.9583333333333334,Maize
Maize,Cereals,NA,NA,C: Inorganic Fertilizer_vs_T: Inorganic Fertilizer,NA,NA,Non-Product Yield,12,0.08333333333333333,0.9166666666666666,Maize
Maize,Cereals,NA,NA,C: Inorganic Fertilizer_vs_T: Inorganic Fertilizer,NA,NA,Product Yield,1164,0.22422680412371135,0.7757731958762887,Maize
Maize,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Inorganic Fertilizer,NA,C: Deficit Irrigation_vs_T: Full irrigation,Costs,6,0,1,Maize
Maize,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Inorganic Fertilizer,NA,C: Deficit Irrigation_vs_T: Full irrigation,Income,12,0,1,Maize
Maize,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Inorganic Fertilizer,NA,C: Deficit Irrigation_vs_T: Full irrigation,Product Yield,6,0,1,Maize
Maize,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Inorganic Fertilizer,NA,C: Full irrigation_vs_T: Deficit Irrigation,Costs,6,0.5,0.5,Maize
Maize,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Inorganic Fertilizer,NA,C: Full irrigation_vs_T: Deficit Irrigation,Income,12,0,1,Maize
Maize,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Inorganic Fertilizer,NA,C: Full irrigation_vs_T: Deficit Irrigation,Product Yield,6,0,1,Maize
Maize,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Inorganic Fertilizer,NA,NA,Costs,39,0,1,Maize
Maize,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Inorganic Fertilizer,NA,NA,Gender Equity,2,1,0,Maize
Maize,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Inorganic Fertilizer,NA,NA,Income,92,0.10869565217391304,0.8913043478260869,Maize
Maize,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Inorganic Fertilizer,NA,NA,Labour,13,0.07692307692307693,0.9230769230769231,Maize
Maize,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Inorganic Fertilizer,NA,NA,Non-Product Yield,32,0,1,Maize
Maize,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Inorganic Fertilizer,NA,NA,Product Yield,247,0.048582995951417005,0.951417004048583,Maize
Maize,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Inorganic Fertilizer,NA,NA,Soil Quality,21,0.6190476190476191,0.38095238095238093,Maize
Maize,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Inorganic and Organic Fertilizers,NA,NA,Costs,9,0,1,Maize
Maize,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Inorganic and Organic Fertilizers,NA,NA,Income,18,0,1,Maize
Maize,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Inorganic and Organic Fertilizers,NA,NA,Product Yield,18,0,1,Maize
Maize,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Organic Fertilizer,NA,NA,Costs,8,0,1,Maize
Maize,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Organic Fertilizer,NA,NA,Income,16,0,1,Maize
Maize,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Organic Fertilizer,NA,NA,Non-Product Yield,4,0.25,0.75,Maize
Maize,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Organic Fertilizer,NA,NA,Product Yield,19,0.05263157894736842,0.9473684210526315,Maize
Maize,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Organic Fertilizer,NA,NA,Soil Quality,11,0,1,Maize
Maize,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Organic Fertilizer + Inorganic Fertilizer,NA,NA,Costs,13,0,1,Maize
Maize,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Organic Fertilizer + Inorganic Fertilizer,NA,NA,Income,26,0,1,Maize
Maize,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Organic Fertilizer + Inorganic Fertilizer,NA,NA,Non-Product Yield,4,0,1,Maize
Maize,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Organic Fertilizer + Inorganic Fertilizer,NA,NA,Product Yield,47,0,1,Maize
Maize,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Organic Fertilizer + Inorganic Fertilizer,NA,NA,Soil Quality,36,0.19444444444444445,0.8055555555555556,Maize
Maize,Cereals,NA,NA,NA,C: Conventional Tillage_vs_T: Reduced Tillage,NA,Costs,2,1,0,Maize
Maize,Cereals,NA,NA,NA,C: Conventional Tillage_vs_T: Reduced Tillage,NA,Efficiency,10,0.3,0.7,Maize
Maize,Cereals,NA,NA,NA,C: Conventional Tillage_vs_T: Reduced Tillage,NA,Income,5,0,1,Maize
Maize,Cereals,NA,NA,NA,C: Conventional Tillage_vs_T: Reduced Tillage,NA,Product Yield,31,0.3225806451612903,0.6774193548387096,Maize
Maize,Cereals,NA,NA,NA,C: Conventional Tillage_vs_T: Reduced Tillage,NA,Soil Quality,1196,0.21321070234113712,0.7867892976588629,Maize
Maize,Cereals,NA,NA,NA,C: No liming_vs_T: Liming,NA,Costs,9,0,1,Maize
Maize,Cereals,NA,NA,NA,C: No liming_vs_T: Liming,NA,Income,18,0.2222222222222222,0.7777777777777778,Maize
Maize,Cereals,NA,NA,NA,C: No liming_vs_T: Liming,NA,Product Yield,18,0,1,Maize
Maize,Cereals,NA,NA,NA,C: No liming_vs_T: Liming,NA,Soil Quality,27,0.3333333333333333,0.6666666666666666,Maize
Maize,Cereals,NA,NA,NA,C: Reduced Tillage + Conventional Tillage_vs_T: Reduced Tillage + Conventional Tillage,NA,Product Yield,6,0,1,Maize
Maize,Cereals,NA,NA,NA,C: Reduced Tillage + Conventional Tillage_vs_T: Reduced Tillage + Conventional Tillage,NA,Soil Quality,9,0,1,Maize
Maize,Cereals,NA,NA,NA,C: Reduced Tillage_vs_T: Reduced Tillage,NA,Product Yield,8,0.75,0.25,Maize
Maize,Cereals,NA,NA,NA,C: Zero Tillage_vs_T: Conventional Tillage,NA,Costs,4,1,0,Maize
Maize,Cereals,NA,NA,NA,C: Zero Tillage_vs_T: Conventional Tillage,NA,Income,4,0,1,Maize
Maize,Cereals,NA,NA,NA,C: Zero Tillage_vs_T: Conventional Tillage,NA,Product Yield,4,0,1,Maize
