DOI for Zotero,DOI for Zotero-formula,id,authorships.author.display_name,authorships.author.orcid,best_oa_location.license,display_name,doi,is_retracted,language,open_access.is_oa,publication_date,type
10.21203/rs.3.rs-1997841/v1,10.21203/rs.3.rs-1997841/v1,https://openalex.org/W4295932300,Timo Breure|Natalia Estrada-Carmona|Athanasios Petsakos|Elisabetta Gotor|Boris Jansen|J.C.J. Groot,https://orcid.org/0000-0001-5695-8064|https://orcid.org/0000-0003-4329-5470|https://orcid.org/0000-0003-0224-4087|https://orcid.org/0000-0003-0533-3077|https://orcid.org/0000-0002-4493-1734|https://orcid.org/0000-0001-6516-5170,cc-by,A systematic review on trade-off analysis in agriculture,https://doi.org/10.21203/rs.3.rs-1997841/v1,FALSE,en,TRUE,15/09/2022,review
10.48565/scfss2021-h174,10.48565/scfss2021-h174,https://openalex.org/W3190939447,Fabrice DeClerck|Izabella Koziell|Tim G. Benton|Lucas A. Garibaldi|Claire Kremen|Martine Maron|Cristina Rumbaitis del Rio|Aman Sidhu|Jonathan Wirths|Michael Clark|Chris Dickens|Natalia Estrada-Carmona|Alexander K. Fremier|Sarah K. Jones|Colin K. Khoury|Rattan Lal|Michael Obersteiner|Roseline Remans|Adrien Rusch|Lisa A. Schulte|Jeremy S. Simmonds|Lindsay C. Stringer|Christopher Weber|Leigh Winowiecki,https://orcid.org/0000-0002-3631-8745||https://orcid.org/0000-0002-7448-1973|https://orcid.org/0000-0003-0725-4049|https://orcid.org/0000-0001-6909-4605|https://orcid.org/0000-0002-5563-5789||||https://orcid.org/0000-0001-7161-7751|https://orcid.org/0000-0002-4251-7767|https://orcid.org/0000-0003-4329-5470|https://orcid.org/0000-0002-4104-6633|https://orcid.org/0000-0002-9422-5563|https://orcid.org/0000-0001-7893-5744||https://orcid.org/0000-0001-6981-2769|https://orcid.org/0000-0003-3659-8529|https://orcid.org/0000-0002-3921-9750|https://orcid.org/0000-0003-4433-5008|https://orcid.org/0000-0002-1662-5908|https://orcid.org/0000-0003-0017-1654|https://orcid.org/0009-0009-5045-1778|https://orcid.org/0000-0001-5572-1284,,A Whole Earth Approach to Nature Positive Food: Biodiversity and Agriculture,https://doi.org/10.48565/scfss2021-h174,FALSE,en,TRUE,01/07/2021,article
10.1007/978-3-031-15703-5_25,10.1007/978-3-031-15703-5_25,https://openalex.org/W4313380983,Fabrice DeClerck|Izabella Koziell|Tim G. Benton|Lucas A. Garibaldi|Claire Kremen|Martine Maron|Cristina Rumbaitis del Rio|Aman Sidhu|Jonathan Wirths|Michael Clark|Chris Dickens|Natalia Estrada-Carmona|Alexander K. Fremier|Sarah K. Jones|Colin K. Khoury|Rattan Lal|Michael Obersteiner|Roseline Remans|Adrien Rusch|Lisa A. Schulte|Jeremy S. Simmonds|Lindsay C. Stringer|Christopher L. Weber|Leigh Winowiecki,https://orcid.org/0000-0002-3631-8745||https://orcid.org/0000-0002-7448-1973|https://orcid.org/0000-0003-0725-4049|https://orcid.org/0000-0001-6909-4605|https://orcid.org/0000-0002-5563-5789||||https://orcid.org/0000-0001-7161-7751|https://orcid.org/0000-0002-4251-7767|https://orcid.org/0000-0003-4329-5470|https://orcid.org/0000-0002-4104-6633|https://orcid.org/0000-0002-9422-5563|https://orcid.org/0000-0001-7893-5744|https://orcid.org/0000-0002-9016-2972|https://orcid.org/0000-0001-6981-2769|https://orcid.org/0000-0003-3659-8529|https://orcid.org/0000-0002-3921-9750|https://orcid.org/0000-0003-4433-5008|https://orcid.org/0000-0002-1662-5908|https://orcid.org/0000-0003-0017-1654|https://orcid.org/0000-0002-6245-525X|https://orcid.org/0000-0001-5572-1284,cc-by,A Whole Earth Approach to Nature-Positive Food: Biodiversity and Agriculture,https://doi.org/10.1007/978-3-031-15703-5_25,FALSE,en,TRUE,01/01/2023,book-chapter
10.1016/j.baae.2022.12.005,10.1016/j.baae.2022.12.005,https://openalex.org/W4312058706,Sarah K. Jones|Andrea C. Sánchez|Damien Beillouin|Stella D. Juventia|Aline Mosnier|Roseline Remans|Natalia Estrada-Carmona,https://orcid.org/0000-0002-9422-5563|https://orcid.org/0000-0003-4549-6970|https://orcid.org/0000-0003-2014-3482|https://orcid.org/0000-0003-4393-624X|https://orcid.org/0000-0001-8566-1593|https://orcid.org/0000-0003-3659-8529|https://orcid.org/0000-0003-4329-5470,cc-by,Achieving win-win outcomes for biodiversity and yield through diversified farming,https://doi.org/10.1016/j.baae.2022.12.005,FALSE,en,TRUE,21/12/2022,article
10.1038/s41893-024-01427-2,10.1038/s41893-024-01427-2,https://openalex.org/W4402646564,Sophie Jago|K. F. V. A. Elliott|Carolina Tovar|Marybel Soto Gomez|Thomas Starnes|Wendawek M. Abebe|C.A. Alexander|Alexandre Antonelli|Ludwig Baldaszti|Gianluca Cerullo|Christopher Cockel|D.J. Collison|C. Cowell|R. Delgado|Sebsebe Demissew|Adam J. M. Devenish|Kiran L. Dhanjal‐Adams|Mauricio Diazgranados|Adam G. Drucker|Ehsan Dulloo|Broghan M. Erland|S. Fadika|W. Huang|Kris Inwood|Sarah K. Jones|Bente Klitgaard|Aiah Lebbie|Felix K. S. Lim|Ermias Lulekal|Clara Morales-Rozo|Fatimata Niang|Eimear Nic Lughadha|Reyjane P. Oliveira|Alejandro Ortega‐Argueta|Samuel Pironon|Jack Plummer|Mario Aguilar Ramírez|Philippa Ryan|Faya Julien Simbiano|Robert J. Smith|Philip C. Stevenson|Anna C. Treydte|Janine E. Victor|Odile Weber|Cynthia D. Williams|C. T. Yohanna|Olwen M. Grace|Iain Darbyshire|James S. Borrell,https://orcid.org/0009-0007-7452-0163||https://orcid.org/0000-0002-8256-9174|https://orcid.org/0000-0003-1812-7416|https://orcid.org/0000-0002-6190-6098|||https://orcid.org/0000-0003-1842-9297|https://orcid.org/0000-0003-0548-8503|https://orcid.org/0000-0002-6855-1090|https://orcid.org/0000-0002-7589-3910||||https://orcid.org/0000-0002-0123-9596|https://orcid.org/0000-0001-5240-622X|https://orcid.org/0000-0002-0496-8428|https://orcid.org/0000-0003-0448-5706|https://orcid.org/0000-0002-9800-6800|https://orcid.org/0000-0001-5567-8220|https://orcid.org/0000-0001-5489-1206|||https://orcid.org/0000-0002-3533-7047|https://orcid.org/0000-0002-9422-5563|https://orcid.org/0000-0002-8509-0556|https://orcid.org/0000-0001-8725-3593|https://orcid.org/0000-0003-1227-460X|https://orcid.org/0000-0001-9856-3204|https://orcid.org/0000-0001-8595-2825|https://orcid.org/0000-0001-9001-0330|https://orcid.org/0000-0002-8806-4345|https://orcid.org/0000-0001-8831-2882|https://orcid.org/0000-0001-6337-3822|https://orcid.org/0000-0002-8937-7626|https://orcid.org/0000-0002-1575-5241||https://orcid.org/0000-0001-6645-9744|https://orcid.org/0009-0006-7058-4592|https://orcid.org/0000-0003-1599-9171|https://orcid.org/0000-0002-0736-3619|https://orcid.org/0000-0003-0605-3069|https://orcid.org/0000-0001-5703-1762|https://orcid.org/0000-0002-0861-2752|||https://orcid.org/0000-0003-1431-2761||https://orcid.org/0000-0001-9902-7681,,Adapting wild biodiversity conservation approaches to conserve agrobiodiversity,https://doi.org/10.1038/s41893-024-01427-2,FALSE,en,FALSE,19/09/2024,article
10.7910/dvn/75e7hv,10.7910/dvn/75e7hv,https://openalex.org/W4398364526,"Todd S. Rosenstock|Peter Steward|Namita Joshi|Muller, Lolita|JUMA, CHARITY EPHAMIA NABWIRE",https://orcid.org/0000-0002-1958-9500|https://orcid.org/0000-0003-3985-4911|https://orcid.org/0000-0002-1623-6910|https://orcid.org/0009-0002-8345-7219|https://orcid.org/0009-0009-5367-5427,other-oa,Agriculture Ontology for Meta-analysis (AOM): Livestock Prototype,https://doi.org/10.7910/dvn/75e7hv,FALSE,en,TRUE,18/12/2023,dataset
10.7910/dvn/2peplh,10.7910/dvn/2peplh,https://openalex.org/W4398591299,Sarah K. Jones|Natalia Estrada-Carmona|Roseline Remans,https://orcid.org/0000-0002-9422-5563|https://orcid.org/0000-0003-4329-5470|https://orcid.org/0000-0003-3659-8529,cc-by,Agrobiodiversity Index gridded datasets,https://doi.org/10.7910/dvn/2peplh,FALSE,en,TRUE,12/07/2022,dataset
10.1038/s43016-021-00344-3,10.1038/s43016-021-00344-3,https://openalex.org/W3196813640,Sarah K. Jones|Natalia Estrada-Carmona|Stella D. Juventia|Ehsan Dulloo|Marie‐Angélique Laporte|Chiara Villani|Roseline Remans,https://orcid.org/0000-0002-9422-5563|https://orcid.org/0000-0003-4329-5470|https://orcid.org/0000-0003-4393-624X|https://orcid.org/0000-0001-5567-8220|https://orcid.org/0000-0002-8461-9745|https://orcid.org/0000-0001-9750-3867|https://orcid.org/0000-0003-3659-8529,,Agrobiodiversity Index scores show agrobiodiversity is underutilized in national food systems,https://doi.org/10.1038/s43016-021-00344-3,FALSE,en,FALSE,06/09/2021,article
10.17615/mejx-da06,10.17615/mejx-da06,https://openalex.org/W4299528801,"WD Wilson|BK Bender|RR Tidwell|DW Boykin|CC Dykstra|Janet E. Hall|Sarah K. Jones|Kumar, A",|||||https://orcid.org/0000-0003-4644-3061|https://orcid.org/0000-0002-9422-5563|,,"Anti-Pneumocystis carinii pneumonia activity of dicationic 2,4-diarylpyrimidines",https://doi.org/10.17615/mejx-da06,FALSE,en,TRUE,02/11/2020,article
10.1017/s136898001500169x,10.1017/s136898001500169x,https://openalex.org/W2159829731,Brian Luckett|Fabrice DeClerck|Jessica Fanzo|Adrienne R. Mundorf|Donald Rose,https://orcid.org/0000-0001-7561-7329|https://orcid.org/0000-0002-3631-8745|https://orcid.org/0000-0002-6760-1359||https://orcid.org/0000-0002-2110-8059,,Application of the Nutrition Functional Diversity indicator to assess food system contributions to dietary diversity and sustainable diets of Malawian households,https://doi.org/10.1017/s136898001500169x,FALSE,en,TRUE,01/06/2015,review
10.1371/journal.pone.0021235,10.1371/journal.pone.0021235,https://openalex.org/W1976317663,Roseline Remans|Dan F. B. Flynn|Fabrice DeClerck|Willy Diru|Jessica Fanzo|Kaitlyn M. Gaynor|Isabel Lambrecht|J. Mudiope|Patrick K. Mutuo|Phelire Nkhoma|David Siriri|Clare Sullivan|Cheryl Palm,https://orcid.org/0000-0003-3659-8529|https://orcid.org/0000-0002-2978-5257|https://orcid.org/0000-0002-3631-8745||https://orcid.org/0000-0002-6760-1359|https://orcid.org/0000-0002-5747-0543|https://orcid.org/0000-0003-1709-6611||https://orcid.org/0000-0002-9824-2504|||https://orcid.org/0009-0006-8293-9987|,cc-by,Assessing Nutritional Diversity of Cropping Systems in African Villages,https://doi.org/10.1371/journal.pone.0021235,FALSE,en,TRUE,16/06/2011,article
10.1016/j.envdev.2023.100854,10.1016/j.envdev.2023.100854,https://openalex.org/W4360955700,Wuletawu Abera|Lulseged Tamene|Dawit Mekonnen|Natalia Estrada-Carmona|Marlène Elias|Deepa Joshi|Ermias Aynekulu,https://orcid.org/0000-0002-3657-5223|https://orcid.org/0000-0002-4846-2330|https://orcid.org/0000-0003-3642-3497|https://orcid.org/0000-0003-4329-5470||https://orcid.org/0000-0003-1986-3431|https://orcid.org/0000-0002-1955-6995,cc-by,Assessing the application of gender perspectives in land restoration studies in Ethiopia using text mining,https://doi.org/10.1016/j.envdev.2023.100854,FALSE,en,TRUE,25/03/2023,article
10.13140/rg.2.2.10162.91844,10.13140/rg.2.2.10162.91844,https://openalex.org/W4294568935,Damien Beillouin|Tamara Ben‐Ari|David Makoswki,https://orcid.org/0000-0003-2014-3482|https://orcid.org/0000-0001-7157-7905|,other-oa,Assessing the quality and results of meta-analyses on crop diversification Protocol for systematic review and evidence map,https://doi.org/10.13140/rg.2.2.10162.91844,FALSE,en,TRUE,01/01/2018,preprint
10.1038/s43016-024-00962-7,10.1038/s43016-024-00962-7,https://openalex.org/W4392916613,Andy Jarvis|Jenny Johana Gallo‐Franco|Julian Portilla|Bruce German|Daniel G. Debouck|Maya Rajasekharan|Colin K. Khoury|Anna Herforth|Selena Ahmed|Joe Tohmé|Elizabeth Arnaud|Christopher D. Golden|Corinna Dawid|Stef de Haan|Fabrice DeClerck|Edith J. M. Feskens|Vincenzo Fogliano|Gayle J. Fritz|Christoph Hald|Robert D. Hall|Robbie Hart|Audrey Henry|Sanwen Huang|Danny Hunter|Bermet Imanbaeva|Andrew J. Lowe|Nancy J. Turner|Gengjie Jia|Elizabeth Johnson|Geetha Kalaiah|Salwa Karboune|Stefan Klade|Gina Rae La Cerva|Vincent Lal|Avraham A. Levy|T. Longvah|Mari Maeda‐Yamamoto|Paul E. Minnis|Marília Regini Nuti|Mariaelena Octavio|Coralia Osorio|Lukas Pawera|Sonia Peter|Rajendra Prasad|Cassandra L. Quave|Howard‐Yana Shapiro|Sheshshayee Sreeman|Warangkana Srichamnong|Roy Steiner|Muhabbat Turdieva|Tiziana Ulian|Tinde van Andel|Ren Wang|Lily Weissgold|Jianbin Yan|John de la Parra,https://orcid.org/0000-0001-6543-0798|https://orcid.org/0000-0003-3653-3805|||https://orcid.org/0000-0002-7618-9570|https://orcid.org/0000-0002-2724-7711|https://orcid.org/0000-0001-7893-5744|https://orcid.org/0000-0002-6079-9374|https://orcid.org/0000-0001-5779-0697|https://orcid.org/0000-0003-2765-7101|https://orcid.org/0000-0002-6020-5919|https://orcid.org/0000-0002-2258-7493|https://orcid.org/0000-0001-5342-2600|https://orcid.org/0000-0001-8690-1886|https://orcid.org/0000-0002-3631-8745|https://orcid.org/0000-0001-5819-2488|https://orcid.org/0000-0001-8786-9355|https://orcid.org/0000-0002-6433-2771||https://orcid.org/0000-0002-5786-768X|https://orcid.org/0000-0002-8803-8059|https://orcid.org/0000-0001-9947-5919|https://orcid.org/0000-0002-8547-5309|https://orcid.org/0000-0002-4267-595X|https://orcid.org/0009-0007-8495-6614|https://orcid.org/0000-0003-1139-2516|https://orcid.org/0000-0002-6810-619X|https://orcid.org/0009-0001-2881-962X|https://orcid.org/0000-0001-8242-5501||https://orcid.org/0000-0002-8718-8725|https://orcid.org/0000-0001-8125-3007||https://orcid.org/0000-0002-7140-5609|https://orcid.org/0000-0002-3097-1540|https://orcid.org/0000-0002-5528-8676|https://orcid.org/0000-0002-4494-7509|https://orcid.org/0009-0006-3769-1417|https://orcid.org/0000-0001-8226-9975||https://orcid.org/0000-0001-6222-0138|https://orcid.org/0000-0001-8548-3491||https://orcid.org/0000-0002-1627-6699|https://orcid.org/0000-0001-9615-7886||https://orcid.org/0000-0002-2634-8596|https://orcid.org/0000-0002-4254-591X|||https://orcid.org/0000-0001-8298-256X|https://orcid.org/0000-0002-4951-1894|||https://orcid.org/0000-0001-7934-8808|https://orcid.org/0000-0003-1425-6288,,Author Correction: Periodic Table of Food Initiative for generating biomolecular knowledge of edible biodiversity,https://doi.org/10.1038/s43016-024-00962-7,FALSE,en,TRUE,18/03/2024,erratum
10.1111/ele.70220/v2/response1,10.1111/ele.70220/v2/response1,https://openalex.org/W4415069067,Jonathan Bonfanti|Joseph Langridge|Ángel Avadí|Nicolas Casajus|Abhishek Chaudhary|Gaëlle Damour|Natalia Estrada-Carmona|S. K. Jones|David Makowski|Matthew G. E. Mitchell|Ralf Seppelt|Damien Beillouin,https://orcid.org/0000-0003-0049-4410|https://orcid.org/0000-0002-9427-439X|https://orcid.org/0000-0002-8114-916X|https://orcid.org/0000-0002-5537-5294|https://orcid.org/0000-0002-6602-7279|https://orcid.org/0000-0001-6080-7306|https://orcid.org/0000-0003-4329-5470||https://orcid.org/0000-0001-6385-3703|https://orcid.org/0000-0002-3490-9314|https://orcid.org/0000-0002-2723-7150|https://orcid.org/0000-0003-2014-3482,,"Author response for ""Geographic, Taxonomic and Metric Gaps in Biodiversity Research Limit Evidence‐Based Conservation in Agricultural Landscapes: An Umbrella Review""",https://doi.org/10.1111/ele.70220/v2/response1,FALSE,en,FALSE,20/12/2024,peer-review
10.1111/ele.70220/v3/response1,10.1111/ele.70220/v3/response1,https://openalex.org/W4415069102,Jonathan Bonfanti|Joseph Langridge|Ángel Avadí|Nicolas Casajus|Abhishek Chaudhary|Gaëlle Damour|Natalia Estrada-Carmona|Sarah K. Jones|David Makowski|Matthew G. E. Mitchell|Ralf Seppelt|Damien Beillouin,https://orcid.org/0000-0003-0049-4410|https://orcid.org/0000-0002-9427-439X|https://orcid.org/0000-0002-8114-916X|https://orcid.org/0000-0002-5537-5294|https://orcid.org/0000-0002-6602-7279|https://orcid.org/0000-0001-6080-7306|https://orcid.org/0000-0003-4329-5470|https://orcid.org/0000-0002-9422-5563|https://orcid.org/0000-0001-6385-3703|https://orcid.org/0000-0002-3490-9314|https://orcid.org/0000-0002-2723-7150|https://orcid.org/0000-0003-2014-3482,,"Author response for ""Geographic, Taxonomic and Metric Gaps in Biodiversity Research Limit Evidence‐Based Conservation in Agricultural Landscapes: An Umbrella Review""",https://doi.org/10.1111/ele.70220/v3/response1,FALSE,en,FALSE,22/01/2025,peer-review
10.1016/j.agrformet.2018.06.002,10.1016/j.agrformet.2018.06.002,https://openalex.org/W2883137702,Damien Beillouin|Margot Leclère|Corentin Barbu|Maud Bénézit|Ronan Trépos|Arnaud Gauffreteau|Marie-Hélène Jeuffroy,https://orcid.org/0000-0003-2014-3482|https://orcid.org/0000-0003-2212-8307|https://orcid.org/0000-0001-6869-5345||https://orcid.org/0000-0002-3338-9337|https://orcid.org/0000-0003-1858-1897|,,"Azodyn-Barley, a winter-barley crop model for predicting and ranking genotypic yield, grain protein and grain size in contrasting pedoclimatic conditions",https://doi.org/10.1016/j.agrformet.2018.06.002,FALSE,en,FALSE,24/07/2018,article
10.7910/dvn/lsqls7/bbcd94,10.7910/dvn/lsqls7/bbcd94,https://openalex.org/W4398405291,Alejandra Martínez|Fabrice DeClerck|Fernando Casanoves,https://orcid.org/0000-0002-6337-8890|https://orcid.org/0000-0002-3631-8745|https://orcid.org/0000-0001-8765-9382,,Base de datos capturas aves_BNPP.xls,https://doi.org/10.7910/dvn/lsqls7/bbcd94,FALSE,es,TRUE,01/01/2013,dataset
10.7910/dvn/lsqls7/ta8xuf,10.7910/dvn/lsqls7/ta8xuf,https://openalex.org/W4398441122,Alejandra Martínez|Fabrice DeClerck|Fernando Casanoves,https://orcid.org/0000-0002-6337-8890|https://orcid.org/0000-0002-3631-8745|https://orcid.org/0000-0001-8765-9382,,Base de datos telemetria_BNPP.xls,https://doi.org/10.7910/dvn/lsqls7/ta8xuf,FALSE,es,TRUE,01/01/2013,dataset
10.7910/dvn/lsqls7/sz4ygk,10.7910/dvn/lsqls7/sz4ygk,https://openalex.org/W4398395425,Alejandra Martínez|Fabrice DeClerck|Fernando Casanoves,https://orcid.org/0000-0002-6337-8890|https://orcid.org/0000-0002-3631-8745|https://orcid.org/0000-0001-8765-9382,,Base de datos transectos_BNPP.xls,https://doi.org/10.7910/dvn/lsqls7/sz4ygk,FALSE,es,TRUE,01/01/2013,dataset
10.1186/2048-7010-2-12,10.1186/2048-7010-2-12,https://openalex.org/W2153538771,Henry Neufeldt|Molly Jahn|Bruce Campbell|J. R. Beddington|Fabrice DeClerck|Alessandro De Pinto|Jay Gulledge|Jon Hellin|Mario Herrero|Andy Jarvis|David LeZaks|Holger Meinke|Todd S. Rosenstock|Mary C. Scholes|Robert J. Scholes|Sonja Vermeulen|Eva Wollenberg|Robert B. Zougmoré,https://orcid.org/0000-0002-0880-9395|https://orcid.org/0000-0003-0181-0374|https://orcid.org/0000-0002-0123-4859||https://orcid.org/0000-0002-3631-8745|https://orcid.org/0000-0003-0327-494X|https://orcid.org/0000-0002-9779-8690|https://orcid.org/0000-0002-2686-8065|https://orcid.org/0000-0002-7741-5090|https://orcid.org/0000-0001-6543-0798||https://orcid.org/0000-0003-2657-3264|https://orcid.org/0000-0002-1958-9500|https://orcid.org/0000-0001-5762-9537|https://orcid.org/0000-0001-5537-6935||https://orcid.org/0000-0002-4335-2562|https://orcid.org/0000-0002-6215-4852,cc-by,Beyond climate-smart agriculture: toward safe operating spaces for global food systems,https://doi.org/10.1186/2048-7010-2-12,FALSE,en,TRUE,30/08/2013,article
10.21203/rs.3.rs-6477627/v1,10.21203/rs.3.rs-6477627/v1,https://openalex.org/W4409798109,Loekie Schreefel|Emile Steenman|Fabian Adler|Ricardo Buffara|Stephan Freundt|Fabrice DeClerck|Jessica Duncan|K.E. Giller|Howard Koster|H.H.E. van Zanten,https://orcid.org/0000-0001-6794-7221|||||https://orcid.org/0000-0002-3631-8745|https://orcid.org/0000-0003-0511-0068|https://orcid.org/0000-0002-5998-4652||https://orcid.org/0000-0002-5262-5518,cc-by,Beyond the buzz: analysing actors promoting regenerative agriculture in Europe,https://doi.org/10.21203/rs.3.rs-6477627/v1,FALSE,en,TRUE,25/04/2025,preprint
